estimator,scale,train_family,kappa,total_drop,max_drop,drop_eff_steps,feature_max,feature_mean,feature_peak_to_mean,raw_kappa,identifiable
raw_ls,25,Cosine decay,0.4814157232423704,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.4814157232423704,0.0
raw_ls,100,Cosine decay,0.5358652541815775,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.5358652541815775,0.0
raw_ls,400,Cosine decay,0.3423761046470629,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.3423761046470629,0.0
raw_ls,25,WSD sharp,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.04769636075258369,1.0
raw_ls,100,WSD sharp,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.07542027714846399,1.0
raw_ls,400,WSD sharp,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.10121370162592605,1.0
raw_ls,25,WSD linear,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0510121945505036,1.0
raw_ls,100,WSD linear,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.07879446245039477,1.0
raw_ls,400,WSD linear,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.1016427946242594,1.0
raw_ls,25,WSD-con step,0.017738466523894558,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.10036804649309604,8.966997280971366,0.017738466523894558,1.0
raw_ls,100,WSD-con step,0.020195301411305173,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.020195301411305173,1.0
raw_ls,400,WSD-con step,0.03469206327068293,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.03469206327068293,1.0
ident_gate_raw,25,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.4814157232423704,0.0
ident_gate_raw,100,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.5358652541815775,0.0
ident_gate_raw,400,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.3423761046470629,0.0
ident_gate_raw,25,WSD sharp,0.04769636075258369,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.04769636075258369,1.0
ident_gate_raw,100,WSD sharp,0.07542027714846399,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.07542027714846399,1.0
ident_gate_raw,400,WSD sharp,0.10121370162592605,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.10121370162592605,1.0
ident_gate_raw,25,WSD linear,0.0510121945505036,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0510121945505036,1.0
ident_gate_raw,100,WSD linear,0.07879446245039477,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.07879446245039477,1.0
ident_gate_raw,400,WSD linear,0.1016427946242594,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.1016427946242594,1.0
ident_gate_raw,25,WSD-con step,0.017738466523894558,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.10036804649309604,8.966997280971366,0.017738466523894558,1.0
ident_gate_raw,100,WSD-con step,0.020195301411305173,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.020195301411305173,1.0
ident_gate_raw,400,WSD-con step,0.03469206327068293,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.03469206327068293,1.0
gated_cap_0p04,25,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.4814157232423704,0.0
gated_cap_0p04,100,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.5358652541815775,0.0
gated_cap_0p04,400,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.3423761046470629,0.0
gated_cap_0p04,25,WSD sharp,0.04,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.04769636075258369,1.0
gated_cap_0p04,100,WSD sharp,0.04,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.07542027714846399,1.0
gated_cap_0p04,400,WSD sharp,0.04,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.10121370162592605,1.0
gated_cap_0p04,25,WSD linear,0.04,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0510121945505036,1.0
gated_cap_0p04,100,WSD linear,0.04,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.07879446245039477,1.0
gated_cap_0p04,400,WSD linear,0.04,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.1016427946242594,1.0
gated_cap_0p04,25,WSD-con step,0.017738466523894558,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.10036804649309604,8.966997280971366,0.017738466523894558,1.0
gated_cap_0p04,100,WSD-con step,0.020195301411305173,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.020195301411305173,1.0
gated_cap_0p04,400,WSD-con step,0.03469206327068293,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.03469206327068293,1.0
gated_cap_0p03,25,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.4814157232423704,0.0
gated_cap_0p03,100,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.5358652541815775,0.0
gated_cap_0p03,400,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.3423761046470629,0.0
gated_cap_0p03,25,WSD sharp,0.03,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.04769636075258369,1.0
gated_cap_0p03,100,WSD sharp,0.03,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.07542027714846399,1.0
gated_cap_0p03,400,WSD sharp,0.03,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.10121370162592605,1.0
gated_cap_0p03,25,WSD linear,0.03,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0510121945505036,1.0
gated_cap_0p03,100,WSD linear,0.03,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.07879446245039477,1.0
gated_cap_0p03,400,WSD linear,0.03,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.1016427946242594,1.0
gated_cap_0p03,25,WSD-con step,0.017738466523894558,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.10036804649309604,8.966997280971366,0.017738466523894558,1.0
gated_cap_0p03,100,WSD-con step,0.020195301411305173,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.020195301411305173,1.0
gated_cap_0p03,400,WSD-con step,0.03,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.03469206327068293,1.0
gated_cap_0p02,25,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.4814157232423704,0.0
gated_cap_0p02,100,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.5358652541815775,0.0
gated_cap_0p02,400,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.3423761046470629,0.0
gated_cap_0p02,25,WSD sharp,0.02,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.04769636075258369,1.0
gated_cap_0p02,100,WSD sharp,0.02,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.07542027714846399,1.0
gated_cap_0p02,400,WSD sharp,0.02,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.10121370162592605,1.0
gated_cap_0p02,25,WSD linear,0.02,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0510121945505036,1.0
gated_cap_0p02,100,WSD linear,0.02,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.07879446245039477,1.0
gated_cap_0p02,400,WSD linear,0.02,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.1016427946242594,1.0
gated_cap_0p02,25,WSD-con step,0.017738466523894558,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.10036804649309604,8.966997280971366,0.017738466523894558,1.0
gated_cap_0p02,100,WSD-con step,0.02,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.020195301411305173,1.0
gated_cap_0p02,400,WSD-con step,0.02,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.03469206327068293,1.0
local_peak_cap_0p04,25,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.4814157232423704,0.0
local_peak_cap_0p04,100,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193750734399514,0.01136141324156027,1.865415004611606,0.5358652541815775,0.0
local_peak_cap_0p04,400,Cosine decay,0.0,0.899999999544725,2.0242220699289173e-05,56610.171676919636,0.021193824707322208,0.011363254984441705,1.8651191701972967,0.3423761046470629,0.0
local_peak_cap_0p04,25,WSD sharp,0.04,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.03115714868201178,6.104594281058583,0.04769636075258369,1.0
local_peak_cap_0p04,100,WSD sharp,0.04,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19020175165830108,0.030974943134163758,6.140503659182457,0.07542027714846399,1.0
local_peak_cap_0p04,400,WSD sharp,0.04,0.8999424188010638,0.0005754806207201073,2842.3242127574717,0.19021940771026472,0.031238178436595314,6.089324577499179,0.10121370162592605,1.0
local_peak_cap_0p04,25,WSD linear,0.04,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.022420587773571067,11.103998049458134,0.0510121945505036,1.0
local_peak_cap_0p04,100,WSD linear,0.04,0.899775,0.0002250000000002901,3999.000000000001,0.24895816290543804,0.02228947322518761,11.169315685043184,0.07879446245039477,1.0
local_peak_cap_0p04,400,WSD linear,0.04,0.899775,0.0002250000000002901,3999.000000000001,0.25331762618423714,0.022663865639948686,11.177158839916714,0.1016427946242594,1.0
local_peak_cap_0p04,25,WSD-con step,0.01858356496794944,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.10036804649309604,8.966997280971366,0.017738466523894558,1.0
local_peak_cap_0p04,100,WSD-con step,0.02340921606912759,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.020195301411305173,1.0
local_peak_cap_0p04,400,WSD-con step,0.03795584982911745,1.9999999999999998,0.8999999999999999,2.73972602739726,0.8999999999999999,0.09216105581482778,9.765513123116794,0.03469206327068293,1.0
