estimator,train_family,test_family,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,max_kappa
raw_ls,Cosine decay,Cosine decay,0.006774363885652582,0.004108030477837909,-39.3591701423317,3,3,0.4532190273570036,0.5358652541815775
raw_ls,Cosine decay,WSD sharp,0.003952818425392253,0.013462465700871958,240.57890477314365,0,3,0.4532190273570036,0.5358652541815775
raw_ls,Cosine decay,WSD linear,0.003412655220675277,0.010063433151349865,194.88572682002635,0,3,0.4532190273570036,0.5358652541815775
raw_ls,Cosine decay,WSD-con step,0.0043692244325636825,0.043465153318632474,894.8024870200795,0,9,0.4532190273570036,0.5358652541815775
raw_ls,WSD sharp,Cosine decay,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457,0.10121370162592605
raw_ls,WSD sharp,WSD sharp,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457,0.10121370162592605
raw_ls,WSD sharp,WSD linear,0.003412655220675277,0.0018483036698383195,-45.83971862611461,3,3,0.07477677984232457,0.10121370162592605
raw_ls,WSD sharp,WSD-con step,0.0043692244325636825,0.007480070890289203,71.19905387648404,1,9,0.07477677984232457,0.10121370162592605
raw_ls,WSD linear,Cosine decay,0.006774363885652582,0.006061274204805147,-10.526297271359851,3,3,0.07714981720838593,0.1016427946242594
raw_ls,WSD linear,WSD sharp,0.003952818425392253,0.0019066796824515925,-51.76404587158881,3,3,0.07714981720838593,0.1016427946242594
raw_ls,WSD linear,WSD linear,0.003412655220675277,0.0018319750296897214,-46.31819181173478,3,3,0.07714981720838593,0.1016427946242594
raw_ls,WSD linear,WSD-con step,0.0043692244325636825,0.007704838344851094,76.3433868818272,1,9,0.07714981720838593,0.1016427946242594
raw_ls,WSD-con step,Cosine decay,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960887,0.03469206327068293
raw_ls,WSD-con step,WSD sharp,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960887,0.03469206327068293
raw_ls,WSD-con step,WSD linear,0.003412655220675277,0.0028705005878308584,-15.886592632030972,3,3,0.024208610401960887,0.03469206327068293
raw_ls,WSD-con step,WSD-con step,0.0043692244325636825,0.00345515907794588,-20.92054021773988,9,9,0.024208610401960887,0.03469206327068293
ident_gate_raw,Cosine decay,Cosine decay,0.006774363885652582,0.006774363885652582,0.0,0,3,0.0,0.0
ident_gate_raw,Cosine decay,WSD sharp,0.003952818425392253,0.003952818425392253,0.0,0,3,0.0,0.0
ident_gate_raw,Cosine decay,WSD linear,0.003412655220675277,0.003412655220675277,0.0,0,3,0.0,0.0
ident_gate_raw,Cosine decay,WSD-con step,0.0043692244325636825,0.0043692244325636825,0.0,0,9,0.0,0.0
ident_gate_raw,WSD sharp,Cosine decay,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457,0.10121370162592605
ident_gate_raw,WSD sharp,WSD sharp,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457,0.10121370162592605
ident_gate_raw,WSD sharp,WSD linear,0.003412655220675277,0.0018483036698383195,-45.83971862611461,3,3,0.07477677984232457,0.10121370162592605
ident_gate_raw,WSD sharp,WSD-con step,0.0043692244325636825,0.007480070890289203,71.19905387648404,1,9,0.07477677984232457,0.10121370162592605
ident_gate_raw,WSD linear,Cosine decay,0.006774363885652582,0.006061274204805147,-10.526297271359851,3,3,0.07714981720838593,0.1016427946242594
ident_gate_raw,WSD linear,WSD sharp,0.003952818425392253,0.0019066796824515925,-51.76404587158881,3,3,0.07714981720838593,0.1016427946242594
ident_gate_raw,WSD linear,WSD linear,0.003412655220675277,0.0018319750296897214,-46.31819181173478,3,3,0.07714981720838593,0.1016427946242594
ident_gate_raw,WSD linear,WSD-con step,0.0043692244325636825,0.007704838344851094,76.3433868818272,1,9,0.07714981720838593,0.1016427946242594
ident_gate_raw,WSD-con step,Cosine decay,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960887,0.03469206327068293
ident_gate_raw,WSD-con step,WSD sharp,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960887,0.03469206327068293
ident_gate_raw,WSD-con step,WSD linear,0.003412655220675277,0.0028705005878308584,-15.886592632030972,3,3,0.024208610401960887,0.03469206327068293
ident_gate_raw,WSD-con step,WSD-con step,0.0043692244325636825,0.00345515907794588,-20.92054021773988,9,9,0.024208610401960887,0.03469206327068293
gated_cap_0p04,Cosine decay,Cosine decay,0.006774363885652582,0.006774363885652582,0.0,0,3,0.0,0.0
gated_cap_0p04,Cosine decay,WSD sharp,0.003952818425392253,0.003952818425392253,0.0,0,3,0.0,0.0
gated_cap_0p04,Cosine decay,WSD linear,0.003412655220675277,0.003412655220675277,0.0,0,3,0.0,0.0
gated_cap_0p04,Cosine decay,WSD-con step,0.0043692244325636825,0.0043692244325636825,0.0,0,9,0.0,0.0
gated_cap_0p04,WSD sharp,Cosine decay,0.006774363885652582,0.006374561663766564,-5.901693924838591,3,3,0.04,0.04
gated_cap_0p04,WSD sharp,WSD sharp,0.003952818425392253,0.0027226187683259393,-31.122088714313666,3,3,0.04,0.04
gated_cap_0p04,WSD sharp,WSD linear,0.003412655220675277,0.0025172732156283632,-26.237107095446365,3,3,0.04,0.04
gated_cap_0p04,WSD sharp,WSD-con step,0.0043692244325636825,0.004434346524167171,1.4904725680405795,4,9,0.04,0.04
gated_cap_0p04,WSD linear,Cosine decay,0.006774363885652582,0.006374561663766564,-5.901693924838591,3,3,0.04,0.04
gated_cap_0p04,WSD linear,WSD sharp,0.003952818425392253,0.0027226187683259393,-31.122088714313666,3,3,0.04,0.04
gated_cap_0p04,WSD linear,WSD linear,0.003412655220675277,0.0025172732156283632,-26.237107095446365,3,3,0.04,0.04
gated_cap_0p04,WSD linear,WSD-con step,0.0043692244325636825,0.004434346524167171,1.4904725680405795,4,9,0.04,0.04
gated_cap_0p04,WSD-con step,Cosine decay,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960887,0.03469206327068293
