estimator,median_offdiag,worst_offdiag,probe_to_wsd,cosine_to_wsd,mean_all
raw_ls,-6.756664233745813,894.8024870200795,-19.058523204137867,240.57890477314365,72.68897111949946
ident_gate_raw,-6.756664233745813,76.3433868818272,-19.058523204137867,0.0,-7.9927756599329065
gated_cap_0p04,-4.637001352020231,1.4904725680405795,-19.058523204137867,0.0,-11.423674947889168
gated_cap_0p03,-8.308643111825287,0.0,-17.838526650397014,0.0,-11.024235412613619
gated_cap_0p02,-7.798707268331112,0.0,-15.1532592436474,0.0,-9.338538653551542
local_peak_cap_0p04,-4.805224566500277,1.4904725680405795,-20.964706585780323,0.0,-11.616468983232062
