base_locality,base_mae,coef,corr_mae,delta_pct,group,lambda,locality,power,scale,test_curve,test_label,win
0.8168498168498168,0.003408385839825258,0.04192488930132332,0.002164240085198101,-36.502491592646145,core_wsd,7.2284552974545955,1.0,0.0,25,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.0031360955249893426,0.041928432867079216,0.002074773419968444,-33.842148511228956,core_wsd,7.223478858982098,1.0,0.0,25,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.004487187642230267,0.030435154786451212,0.001925827099706994,-57.08164549254731,core_wsd,20.0,1.0,0.0,25,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.002926482771138891,0.030435154786451212,0.0023405053646304817,-20.023265207208652,core_wsd,20.0,1.0,0.0,25,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,0.002504818961791151,0.030435154786451212,0.002193292470898778,-12.437086098613914,core_wsd,20.0,1.0,0.0,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0,0.004428106847791531,0.041930053082818906,0.005420510962215321,22.41147624788551,extra_control,7.221202285244404,1.0,0.0,25,cosine_24000.csv,Cosine 24k,0
0.0,0.003761619732988638,0.04193070708296342,0.003761619732988638,0.0,extra_control,7.220283130832764,1.0,0.0,25,constant_24000.csv,Constant 24k,0
0.0,0.0015795124507172926,0.04193070708296342,0.0015795124507172926,0.0,extra_control,7.220283130832764,1.0,0.0,25,constant_72000.csv,Constant 72k,0
0.8168498168498168,0.0037480705220761528,0.05858811366379673,0.0015636411792666284,-58.28143654030055,core_wsd,7.2284552974545955,1.0,0.0,100,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,0.003248313740665229,0.05859225603181786,0.001622157668636889,-50.06154583132465,core_wsd,7.223478858982098,1.0,0.0,100,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,0.0056693997340904675,0.04304751774595571,0.003322186323631867,-41.40144495976627,core_wsd,20.0,1.0,0.0,100,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,0.004934623402238123,0.04304751774595571,0.004673263869062348,-5.296443352845004,core_wsd,20.0,1.0,0.0,100,wsdcon_9.csv,WSD-con 9e-5,1
