mean_delta_pct,method,scale_rows,test_curve,test_label,train_curve,train_label,wins,worst_scale_delta_pct
-10.87971216575668,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,3,-5.211384512918881
-12.977534265903948,nextgen_safe_rho0p5_Rtarget0p01,3,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,3,-7.799722310646828
-1.875083780290802,nextgen_safe_rho0p5_Rtarget0p01,3,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,3,-1.5544518836964838
-10.081319024678137,nextgen_safe_rho0p5_Rtarget0p01,3,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,3,-8.21743048457514
-24.980631308999108,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,3,-16.33314298053866
-10.724448125174016,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,3,-5.312375122196222
-8.369498211880725,nextgen_safe_rho0p5_Rtarget0p01,3,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,3,-6.822995902006623
-1.541387189647318,nextgen_safe_rho0p5_Rtarget0p01,3,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,3,-1.0263101049168721
-8.149305639981364,nextgen_safe_rho0p5_Rtarget0p01,3,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,3,-6.148089041587501
-6.477971758561722,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,3,-4.59224298800468
-7.7175068240428,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,3,-5.309824428120913
-6.823709824660928,nextgen_safe_rho0p5_Rtarget0p01,3,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,3,-4.808270648528978
-1.6464354548144324,nextgen_safe_rho0p5_Rtarget0p01,3,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,3,-1.0679879778000445
-8.696181868622018,nextgen_safe_rho0p5_Rtarget0p01,3,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,3,-6.39775946022767
-6.733084186663859,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,3,-5.053693089086231
-21.338707872278913,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,3,-16.413539904449202
-7.293931290809304,nextgen_safe_rho0p5_Rtarget0p01,3,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,3,-5.003531800023975
-3.3165467648880806,nextgen_safe_rho0p5_Rtarget0p01,3,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,3,-1.950514631796274
-17.675275296920265,nextgen_safe_rho0p5_Rtarget0p01,3,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,3,-11.68451677105271
-9.376310631137473,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,3,-6.361337455718486
-31.79973869894754,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,3,-21.826422136014667
-11.241929368935843,nextgen_safe_rho0p5_Rtarget0p01,3,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,3,-4.185289519606861
