mean_delta_pct,method,non_harm_rows,rows,wins,worst_delta_pct
-12.078853252037238,final_no_cap,87,90,82,2.540596648514515
-11.951446181935287,nextgen_safe_rho0p5_Rtarget0p01,90,90,90,-1.0263101049168721
