delta_pct,kappa,method,scale,target_factor,target_retention,test_curve,test_label,train_curve,train_label,win
-2.008813607344373,0.013164132074861909,final_no_cap,25,,,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
-12.033755554715498,0.013164132074861909,final_no_cap,25,,,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
-9.411307031163329,0.013164132074861909,final_no_cap,25,,,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
-22.548075775914544,0.013164132074861909,final_no_cap,25,,,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
-10.753130815541834,0.013164132074861909,final_no_cap,25,,,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
-2.675934862923879,0.017117152863536645,final_no_cap,100,,,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
-14.146020824419804,0.017117152863536645,final_no_cap,100,,,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
-11.745550180910813,0.017117152863536645,final_no_cap,100,,,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
-5.410597619707902,0.017117152863536645,final_no_cap,100,,,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
-11.538842672115102,0.017117152863536645,final_no_cap,100,,,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
-3.490007219495317,0.026355400498795593,final_no_cap,400,,,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
-17.509461796126224,0.026355400498795593,final_no_cap,400,,,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
-15.349711432563451,0.026355400498795593,final_no_cap,400,,,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
-8.003601461195142,0.026355400498795593,final_no_cap,400,,,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
-6.657840149950123,0.026355400498795593,final_no_cap,400,,,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
-2.1516605156049806,0.014100234638063053,final_no_cap,25,,,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
-12.889476946421963,0.014100234638063053,final_no_cap,25,,,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
-10.080545882980118,0.014100234638063053,final_no_cap,25,,,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
-37.01933328245859,0.014100234638063053,final_no_cap,25,,,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
-11.517786871985368,0.014100234638063053,final_no_cap,25,,,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
-2.818724193413391,0.01803053339126788,final_no_cap,100,,,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
-14.900860140801264,0.01803053339126788,final_no_cap,100,,,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
-12.37229908642432,0.01803053339126788,final_no_cap,100,,,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
-21.839097641896988,0.01803053339126788,final_no_cap,100,,,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
-11.487982154667097,0.01803053339126788,final_no_cap,100,,,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
