cells,mean_cell_delta_pct,method,winning_cells,worst_cell_delta_pct
30,-12.07885325203724,final_no_cap,30,-2.7249185632545228
30,-11.951446181935289,nextgen_safe_rho0p5_Rtarget0p01,30,-1.541387189647318
