model_family,run_id,scale,params,step,tokens_seen,loss,perplexity,schedule_type,eval_set
pythia,pythia-70m,70m,70000000.0,82000,171966464000,3.025631,20.607,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,85000,178257920000,3.026952,20.6342,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,88000,184549376000,3.036466,20.8315,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,91000,190840832000,3.023489,20.5629,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,94000,197132288000,3.029087,20.6783,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,97000,203423744000,3.033609,20.7721,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,100000,209715200000,3.019911,20.4895,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,103000,216006656000,3.015437,20.398,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,106000,222298112000,3.014828,20.3856,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,109000,228589568000,3.017977,20.4499,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,112000,234881024000,3.013311,20.3547,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,115000,241172480000,3.011123,20.3102,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,118000,247463936000,3.003973,20.1655,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,121000,253755392000,3.006735,20.2213,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,124000,260046848000,3.013398,20.3564,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,127000,266338304000,3.013847,20.3656,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,130000,272629760000,3.014775,20.3845,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,133000,278921216000,3.013627,20.3611,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,136000,285212672000,3.002121,20.1282,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,139000,291504128000,3.009842,20.2842,cosine,NeelNanda/pile-10k
pythia,pythia-70m,70m,70000000.0,142000,297795584000,3.01835,20.4575,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,1,2097152,11.072707,64389.5859,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,2,4194304,11.070875,64271.7305,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,4,8388608,10.992202,59409.0469,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,8,16777216,10.666298,42885.8789,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,16,33554432,10.002674,22085.4453,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,32,67108864,9.491428,13245.6895,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,64,134217728,8.671028,5831.4922,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,128,268435456,7.299038,1478.8772,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,256,536870912,6.144888,466.3274,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,512,1073741824,5.036279,153.8963,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,1000,2097152000,3.819936,45.6013,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,2000,4194304000,3.231608,25.3203,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,3000,6291456000,3.032718,20.7536,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,4000,8388608000,2.937079,18.8607,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,5000,10485760000,2.882898,17.866,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,6000,12582912000,2.846642,17.2298,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,7000,14680064000,2.809367,16.5994,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,8000,16777216000,2.788884,16.2629,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,9000,18874368000,2.767338,15.9162,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,10000,20971520000,2.749298,15.6316,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,11000,23068672000,2.740502,15.4948,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,12000,25165824000,2.727414,15.2933,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,13000,27262976000,2.721387,15.2014,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,14000,29360128000,2.709067,15.0153,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,15000,31457280000,2.704836,14.9519,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,16000,33554432000,2.699073,14.8659,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,17000,35651584000,2.695917,14.8191,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,18000,37748736000,2.682929,14.6279,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,19000,39845888000,2.682051,14.615,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,20000,41943040000,2.678622,14.565,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,22000,46137344000,2.667962,14.4106,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,25000,52428800000,2.659109,14.2836,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,28000,58720256000,2.655265,14.2288,cosine,NeelNanda/pile-10k
pythia,pythia-160m,160m,160000000.0,31000,65011712000,2.644504,14.0765,cosine,NeelNanda/pile-10k
