feature_retention,fit_start,kappa,orth_ols_kappa,orthogonal_alignment,protocol,raw_cosine_alignment,scale,shrinkage,tangent_dim,tangent_group
1.0,2160,5.601554514605409,5.601554514605409,5.601554514605409,frozen_official,5.601554514605409,25,orth_ols,0,none
1.0,2160,5.601554514605409,5.601554514605409,5.601554514605409,frozen_official,5.601554514605409,25,sqrt_retention,0,none
1.0,2160,5.601554514605409,5.601554514605409,5.601554514605409,frozen_official,5.601554514605409,25,full_energy,0,none
1.0,2160,5.102442551281379,5.102442551281379,5.102442551281379,frozen_official,5.102442551281379,100,orth_ols,0,none
1.0,2160,5.102442551281379,5.102442551281379,5.102442551281379,frozen_official,5.102442551281379,100,sqrt_retention,0,none
1.0,2160,5.102442551281379,5.102442551281379,5.102442551281379,frozen_official,5.102442551281379,100,full_energy,0,none
1.0,2160,0.1143240949729091,0.1143240949729091,0.1143240949729091,frozen_official,0.1143240949729091,400,orth_ols,0,none
1.0,2160,0.1143240949729091,0.1143240949729091,0.1143240949729091,frozen_official,0.1143240949729091,400,sqrt_retention,0,none
1.0,2160,0.1143240949729091,0.1143240949729091,0.1143240949729091,frozen_official,0.1143240949729091,400,full_energy,0,none
0.2163252894874263,2160,0.0,0.0,-0.14836639229934415,frozen_official,5.601554514605409,25,orth_ols,4,ld4
0.2163252894874263,2160,0.0,0.0,-0.14836639229934415,frozen_official,5.601554514605409,25,sqrt_retention,4,ld4
0.2163252894874263,2160,0.0,0.0,-0.14836639229934415,frozen_official,5.601554514605409,25,full_energy,4,ld4
0.21737639007073462,2160,0.0,0.0,-1.4941497945640134,frozen_official,5.102442551281379,100,orth_ols,4,ld4
0.21737639007073462,2160,0.0,0.0,-1.4941497945640134,frozen_official,5.102442551281379,100,sqrt_retention,4,ld4
0.21737639007073462,2160,0.0,0.0,-1.4941497945640134,frozen_official,5.102442551281379,100,full_energy,4,ld4
0.21211306273962896,2160,0.0,0.0,-5.409705384248694,frozen_official,0.1143240949729091,400,orth_ols,4,ld4
0.21211306273962896,2160,0.0,0.0,-5.409705384248694,frozen_official,0.1143240949729091,400,sqrt_retention,4,ld4
0.21211306273962896,2160,0.0,0.0,-5.409705384248694,frozen_official,0.1143240949729091,400,full_energy,4,ld4
0.027931715522077346,2160,4.104489257019204,4.104489257019204,4.104489257019204,frozen_official,5.601554514605409,25,orth_ols,7,all7
0.027931715522077346,2160,0.6859744314299728,4.104489257019204,4.104489257019204,frozen_official,5.601554514605409,25,sqrt_retention,7,all7
0.027931715522077346,2160,0.11464542629048302,4.104489257019204,4.104489257019204,frozen_official,5.601554514605409,25,full_energy,7,all7
0.02837702379261199,2160,0.0,0.0,-3.4953377673255193,frozen_official,5.102442551281379,100,orth_ols,7,all7
0.02837702379261199,2160,0.0,0.0,-3.4953377673255193,frozen_official,5.102442551281379,100,sqrt_retention,7,all7
0.02837702379261199,2160,0.0,0.0,-3.4953377673255193,frozen_official,5.102442551281379,100,full_energy,7,all7
0.02693874587195005,2160,0.0,0.0,-5.157596524185449,frozen_official,0.1143240949729091,400,orth_ols,7,all7
0.02693874587195005,2160,0.0,0.0,-5.157596524185449,frozen_official,0.1143240949729091,400,sqrt_retention,7,all7
0.02693874587195005,2160,0.0,0.0,-5.157596524185449,frozen_official,0.1143240949729091,400,full_energy,7,all7
1.0,5000,5.774052085538029,5.774052085538029,5.774052085538029,frozen_official,5.774052085538029,25,orth_ols,0,none
1.0,5000,5.774052085538029,5.774052085538029,5.774052085538029,frozen_official,5.774052085538029,25,sqrt_retention,0,none
1.0,5000,5.774052085538029,5.774052085538029,5.774052085538029,frozen_official,5.774052085538029,25,full_energy,0,none
1.0,5000,5.103235182207818,5.103235182207818,5.103235182207818,frozen_official,5.103235182207818,100,orth_ols,0,none
1.0,5000,5.103235182207818,5.103235182207818,5.103235182207818,frozen_official,5.103235182207818,100,sqrt_retention,0,none
1.0,5000,5.103235182207818,5.103235182207818,5.103235182207818,frozen_official,5.103235182207818,100,full_energy,0,none
1.0,5000,0.21990066591610474,0.21990066591610474,0.21990066591610474,frozen_official,0.21990066591610474,400,orth_ols,0,none
1.0,5000,0.21990066591610474,0.21990066591610474,0.21990066591610474,frozen_official,0.21990066591610474,400,sqrt_retention,0,none
1.0,5000,0.21990066591610474,0.21990066591610474,0.21990066591610474,frozen_official,0.21990066591610474,400,full_energy,0,none
0.03090320495150085,5000,2.6944960262661377,2.6944960262661377,2.6944960262661377,frozen_official,5.774052085538029,25,orth_ols,4,ld4
0.03090320495150085,5000,0.47367373999054135,2.6944960262661377,2.6944960262661377,frozen_official,5.774052085538029,25,sqrt_retention,4,ld4
0.03090320495150085,5000,0.08326856294070707,2.6944960262661377,2.6944960262661377,frozen_official,5.774052085538029,25,full_energy,4,ld4
0.0287314192942968,5000,6.77480950363985,6.77480950363985,6.77480950363985,frozen_official,5.103235182207818,100,orth_ols,4,ld4
0.0287314192942968,5000,1.1483535786118344,6.77480950363985,6.77480950363985,frozen_official,5.103235182207818,100,sqrt_retention,4,ld4
0.0287314192942968,5000,0.1946498924880633,6.77480950363985,6.77480950363985,frozen_official,5.103235182207818,100,full_energy,4,ld4
0.030339630488704597,5000,1.0139247366784272,1.0139247366784272,1.0139247366784272,frozen_official,0.21990066591610474,400,orth_ols,4,ld4
0.030339630488704597,5000,0.1766081991929452,1.0139247366784272,1.0139247366784272,frozen_official,0.21990066591610474,400,sqrt_retention,4,ld4
0.030339630488704597,5000,0.03076210185418059,1.0139247366784272,1.0139247366784272,frozen_official,0.21990066591610474,400,full_energy,4,ld4
0.0021302552116699187,5000,0.0,0.0,-39.963202959820926,frozen_official,5.774052085538029,25,orth_ols,7,all7
0.0021302552116699187,5000,0.0,0.0,-39.963202959820926,frozen_official,5.774052085538029,25,sqrt_retention,7,all7
0.0021302552116699187,5000,0.0,0.0,-39.963202959820926,frozen_official,5.774052085538029,25,full_energy,7,all7
0.0018814149963794606,5000,0.0,0.0,-34.16096765323779,frozen_official,5.103235182207818,100,orth_ols,7,all7
0.0018814149963794606,5000,0.0,0.0,-34.16096765323779,frozen_official,5.103235182207818,100,sqrt_retention,7,all7
0.0018814149963794606,5000,0.0,0.0,-34.16096765323779,frozen_official,5.103235182207818,100,full_energy,7,all7
0.002180085243380021,5000,0.0,0.0,-33.365481127282095,frozen_official,0.21990066591610474,400,orth_ols,7,all7
0.002180085243380021,5000,0.0,0.0,-33.365481127282095,frozen_official,0.21990066591610474,400,sqrt_retention,7,all7
0.002180085243380021,5000,0.0,0.0,-33.365481127282095,frozen_official,0.21990066591610474,400,full_energy,7,all7
1.0,8000,6.048188972762345,6.048188972762345,6.048188972762345,frozen_official,6.048188972762345,25,orth_ols,0,none
1.0,8000,6.048188972762345,6.048188972762345,6.048188972762345,frozen_official,6.048188972762345,25,sqrt_retention,0,none
1.0,8000,6.048188972762345,6.048188972762345,6.048188972762345,frozen_official,6.048188972762345,25,full_energy,0,none
1.0,8000,5.282537776929546,5.282537776929546,5.282537776929546,frozen_official,5.282537776929546,100,orth_ols,0,none
1.0,8000,5.282537776929546,5.282537776929546,5.282537776929546,frozen_official,5.282537776929546,100,sqrt_retention,0,none
1.0,8000,5.282537776929546,5.282537776929546,5.282537776929546,frozen_official,5.282537776929546,100,full_energy,0,none
1.0,8000,0.5360754766530683,0.5360754766530683,0.5360754766530683,frozen_official,0.5360754766530683,400,orth_ols,0,none
1.0,8000,0.5360754766530683,0.5360754766530683,0.5360754766530683,frozen_official,0.5360754766530683,400,sqrt_retention,0,none
1.0,8000,0.5360754766530683,0.5360754766530683,0.5360754766530683,frozen_official,0.5360754766530683,400,full_energy,0,none
0.021102798089649398,8000,3.8403814916618524,3.8403814916618524,3.8403814916618524,frozen_official,6.048188972762345,25,orth_ols,4,ld4
0.021102798089649398,8000,0.5578846213517344,3.8403814916618524,3.8403814916618524,frozen_official,6.048188972762345,25,sqrt_retention,4,ld4
0.021102798089649398,8000,0.08104279520576664,3.8403814916618524,3.8403814916618524,frozen_official,6.048188972762345,25,full_energy,4,ld4
0.019526808704544762,8000,2.0799099020257437,2.0799099020257437,2.0799099020257437,frozen_official,5.282537776929546,100,orth_ols,4,ld4
0.019526808704544762,8000,0.2906431945566196,2.0799099020257437,2.0799099020257437,frozen_official,5.282537776929546,100,sqrt_retention,4,ld4
0.019526808704544762,8000,0.04061400277954513,2.0799099020257437,2.0799099020257437,frozen_official,5.282537776929546,100,full_energy,4,ld4
0.0206985115207874,8000,0.0,0.0,-3.2483544697538886,frozen_official,0.5360754766530683,400,orth_ols,4,ld4
0.0206985115207874,8000,0.0,0.0,-3.2483544697538886,frozen_official,0.5360754766530683,400,sqrt_retention,4,ld4
