base_mae,base_vs_official_baseline_pct,corr_mae,corr_vs_official_baseline_pct,delta_vs_own_baseline_pct,feature_retention,fit_start,group,kappa,nonharm_vs_own_baseline,orth_ols_kappa,protocol,scale,shrinkage,tangent_dim,tangent_group,test_curve,test_label,win_vs_own_baseline
0.003408385839825258,0.0,0.00420634534664515,23.41165420581617,23.41165420581617,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,orth_ols,0,none,wsd_20000_24000.csv,WSD sharp,0
0.0031360955249893426,0.0,0.004160365959605134,32.66068990737367,32.66068990737367,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,orth_ols,0,none,wsdld_20000_24000.csv,WSD linear,0
0.004487187642230267,0.0,0.004997276160249183,11.367666313267577,11.367666313267577,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,orth_ols,0,none,wsdcon_3.csv,WSD-con 3e-5,0
0.002926482771138891,0.0,0.0040594982607186254,38.715946007049354,38.715946007049354,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,orth_ols,0,none,wsdcon_9.csv,WSD-con 9e-5,0
0.002504818961791151,0.0,0.002979693365084596,18.95843214768189,18.95843214768189,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,orth_ols,0,none,wsdcon_18.csv,WSD-con 18e-5,0
0.004428106847791531,0.0,0.004428106847791531,0.0,0.0,1.0,2160,extra_control,5.601554514605409,1,5.601554514605409,frozen_official,25,orth_ols,0,none,cosine_24000.csv,Cosine 24k,0
0.003761619732988638,0.0,0.003761619732988638,0.0,0.0,1.0,2160,extra_control,5.601554514605409,1,5.601554514605409,frozen_official,25,orth_ols,0,none,constant_24000.csv,Constant 24k,0
0.0015795124507172926,0.0,0.0015795124507172926,0.0,0.0,1.0,2160,extra_control,5.601554514605409,1,5.601554514605409,frozen_official,25,orth_ols,0,none,constant_72000.csv,Constant 72k,0
0.003408385839825258,0.0,0.00420634534664515,23.41165420581617,23.41165420581617,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,sqrt_retention,0,none,wsd_20000_24000.csv,WSD sharp,0
0.0031360955249893426,0.0,0.004160365959605134,32.66068990737367,32.66068990737367,1.0,2160,core_wsd,5.601554514605409,0,5.601554514605409,frozen_official,25,sqrt_retention,0,none,wsdld_20000_24000.csv,WSD linear,0
