full_norm,identifiable_fraction,lambda,perp_norm,scale,test_curve,test_label
0.4273555312833288,0.009751698321694334,7.2284552974545955,0.04220165260764761,25,wsd_20000_24000.csv,WSD sharp
0.4276508044754227,0.00974526168470314,7.223478858982098,0.042216871452676795,25,wsdld_20000_24000.csv,WSD linear
0.15301451324062326,0.019966108047118843,20.0,0.021621177072427188,25,wsdcon_3.csv,WSD-con 3e-5
0.15301451324062326,0.019966108047118843,20.0,0.021621177072427188,25,wsdcon_9.csv,WSD-con 9e-5
0.15301451324062326,0.019966108047118843,20.0,0.021621177072427188,25,wsdcon_18.csv,WSD-con 18e-5
0.4273555312833288,0.009751698321694334,7.2284552974545955,0.04220165260764761,100,wsd_20000_24000.csv,WSD sharp
0.4276508044754227,0.00974526168470314,7.223478858982098,0.042216871452676795,100,wsdld_20000_24000.csv,WSD linear
0.15301451324062326,0.019966108047118843,20.0,0.021621177072427188,100,wsdcon_3.csv,WSD-con 3e-5
0.15301451324062326,0.019966108047118843,20.0,0.021621177072427188,100,wsdcon_9.csv,WSD-con 9e-5
0.15301451324062326,0.019966108047118843,20.0,0.021621177072427188,100,wsdcon_18.csv,WSD-con 18e-5
0.4273821949362601,0.009799262688723064,7.2284552974545955,0.04230708715316863,400,wsd_20000_24000.csv,WSD sharp
0.427677508652534,0.009792796459281322,7.223478858982098,0.042322350102455907,400,wsdld_20000_24000.csv,WSD linear
0.15301644390181715,0.02005629910106474,20.0,0.021670229141541982,400,wsdcon_3.csv,WSD-con 3e-5
0.15301644390181715,0.02005629910106474,20.0,0.021670229141541982,400,wsdcon_9.csv,WSD-con 9e-5
0.15301644390181715,0.02005629910106474,20.0,0.021670229141541982,400,wsdcon_18.csv,WSD-con 18e-5
