scale,split,model,optimizer,curve,mae,rmse,mape,r2,huber_log
100,train,mpl,adamw,cosine_24000.csv,0.0032781434121146656,0.0044155736317449176,0.0010674375697959516,0.9993365107705758,0.00011608337109521343
100,train,mpl,adamw,constant_24000.csv,0.00184880720379753,0.002068139185361947,0.0005860594848334892,0.9998136632359573,3.639629642578962e-05
100,train,mpl,adamw,wsdcon_9.csv,0.004934668732721058,0.006341855329394241,0.0015792051677105078,0.9986414768726747,0.0001284879389456406
100,train,mpl,lbfgsb,cosine_24000.csv,0.002229026270779474,0.002677318380031365,0.0007178659803947866,0.9997560731240022,5.886517750323134e-05
100,train,mpl,lbfgsb,constant_24000.csv,0.0007529503950117464,0.0010086489939508186,0.00023471521146774493,0.9999556780211796,8.081696232525569e-06
100,train,mpl,lbfgsb,wsdcon_9.csv,0.002683136371106608,0.003628915879114353,0.0008554030237680023,0.9995551760349464,5.5288095321592386e-05
100,train,tissue,adamw,cosine_24000.csv,0.0057302981223579155,0.007110132739473875,0.0017681961640951098,0.9982796570495973,0.00021984474637752542
100,train,tissue,adamw,constant_24000.csv,0.018256043193531586,0.018926207415523342,0.005803321081641152,0.9843949123231731,0.0009037504416771064
100,train,tissue,adamw,wsdcon_9.csv,0.009792672162671833,0.011760315027733207,0.0030001734421696955,0.9953283286166617,0.00027442627295037316
100,train,tissue,lbfgsb,cosine_24000.csv,0.0013094047141428687,0.00178044023142816,0.0004093947318211268,0.999892126588587,2.197680090487233e-05
100,train,tissue,lbfgsb,constant_24000.csv,0.0010713382155575098,0.0014294738422714532,0.0003330527823803273,0.9999109792092166,1.571889979756599e-05
100,train,tissue,lbfgsb,wsdcon_9.csv,0.002967817407000727,0.006083370196432194,0.0009335332740307446,0.9987499630045049,6.352189223405722e-05
100,test,mpl,adamw,constant_72000.csv,0.00477632119245767,0.005665149684685136,0.0015839931370911055,0.9979589862949176,0.0006248002709612388
100,test,mpl,adamw,cosine_72000.csv,0.007265216429381582,0.008208896198970797,0.0024508002805512666,0.9969867691415752,0.0010756347559837426
100,test,mpl,adamw,wsd_20000_24000.csv,0.0037481729251781586,0.0059154018505415094,0.0012262371147146785,0.9986681280537646,0.00014439728463772845
100,test,mpl,adamw,wsdld_20000_24000.csv,0.003248417990260636,0.004923543151914954,0.0010564415584443836,0.9990443816188519,0.00011525801265927386
100,test,mpl,adamw,wsdcon_3.csv,0.005669456664023281,0.008895902453919885,0.0018060897896965689,0.9972807726424051,0.00015446944952081037
100,test,mpl,adamw,wsdcon_18.csv,0.001381676567853054,0.0019048501903575878,0.0004256499008103849,0.999865638508335,1.671752339659998e-05
100,test,mpl,lbfgsb,constant_72000.csv,0.0033785375772559336,0.0042802164983055556,0.0011104754923415997,0.9988349230351796,0.0003874451146300128
100,test,mpl,lbfgsb,cosine_72000.csv,0.008608878527952038,0.009741978129263596,0.002922525355566729,0.9957561778155642,0.0013442721193850662
100,test,mpl,lbfgsb,wsd_20000_24000.csv,0.002679617147596984,0.005440839036349056,0.0008835218910920609,0.9988732547883153,0.00011097594114880864
100,test,mpl,lbfgsb,wsdld_20000_24000.csv,0.002097428613695849,0.004068765524998688,0.0006857475740640705,0.9993473890993516,7.702595689123785e-05
100,test,mpl,lbfgsb,wsdcon_3.csv,0.0033266667854279087,0.0050835404816759275,0.0010580893405583958,0.9991120304580886,7.825623700123226e-05
100,test,mpl,lbfgsb,wsdcon_18.csv,0.001345198315598582,0.001690928737687423,0.00042005370850457287,0.9998941224762238,1.4604858496758813e-05
100,test,tissue,adamw,constant_72000.csv,0.026937518147668985,0.02749040849295845,0.00892622448194021,0.9519398049620907,0.004578053355388278
100,test,tissue,adamw,cosine_72000.csv,0.008816829953049788,0.009866145519710816,0.002898390322598119,0.9956473082552247,0.0013067267168519448
100,test,tissue,adamw,wsd_20000_24000.csv,0.01606221518060709,0.016829384136663475,0.005098932844703953,0.9892197107803021,0.0007849517728021006
100,test,tissue,adamw,wsdld_20000_24000.csv,0.015743209779051085,0.016653856769852367,0.00498692220323025,0.9890665141311433,0.000765925521385715
100,test,tissue,adamw,wsdcon_3.csv,0.014985881206477304,0.019541939519538937,0.004663344450643076,0.9868779760392744,0.0004573763859758696
100,test,tissue,adamw,wsdcon_18.csv,0.009231556664117464,0.010267962745573522,0.0028178352000178654,0.9960958928015808,0.0002531654730406593
100,test,tissue,lbfgsb,constant_72000.csv,0.0021221209933003178,0.0028618076818581143,0.0006857950709893148,0.9994791603569612,0.00016149421272441668
100,test,tissue,lbfgsb,cosine_72000.csv,0.006535705010464105,0.007359135113062383,0.0022140436176689604,0.9975783218045119,0.0009527774675582438
100,test,tissue,lbfgsb,wsd_20000_24000.csv,0.002580178170504812,0.004790208783128715,0.0008406932208282951,0.9991266207873936,9.696844409676851e-05
100,test,tissue,lbfgsb,wsdld_20000_24000.csv,0.001680455676104719,0.0025903549626337136,0.0005370783318117757,0.9997354866725866,4.5959672485270064e-05
100,test,tissue,lbfgsb,wsdcon_3.csv,0.006683499784351507,0.009521088771455818,0.0021347546072145213,0.99688513860986,0.0001899940901830176
100,test,tissue,lbfgsb,wsdcon_18.csv,0.003164699073136102,0.004848062923057126,0.0009953754430318536,0.9991296585622,6.64271724436802e-05
