base_mae,config_id,corr_mae,delta_pct,kappa,max_mode,nuisance_lambda,raw_map,response_lambda,retention_power,rho,ridge_tau,scale,shrink,source_corr,source_dot,source_full_l2,source_l2,source_retention,target_factor,target_retention,test_curve,test_label,train_curve,train_label,win
0.003408385839825258,23147,0.0029943551882146376,-12.147411445408618,0.024770388354332724,8,0.04,0.2351392975435164,20.0,0.5,0.75,0.02,25,0.5714285714285714,0.2244892963788807,0.0002812467895111074,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.2354034489732423,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.0031360955249893426,23147,0.002815325583549296,-10.228321774131432,0.024770388354332724,8,0.04,0.2351392975435164,20.0,0.5,0.75,0.02,25,0.5714285714285714,0.2244892963788807,0.0002812467895111074,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.3042687672686734,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.004487187642230267,23147,0.0020515902920325724,-54.278928014410596,0.024770388354332724,8,0.04,0.2351392975435164,20.0,0.5,0.75,0.02,25,0.5714285714285714,0.2244892963788807,0.0002812467895111074,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.44266050369750576,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
0.002926482771138891,23147,0.0022779787824516477,-22.159843040349315,0.024770388354332724,8,0.04,0.2351392975435164,20.0,0.5,0.75,0.02,25,0.5714285714285714,0.2244892963788807,0.0002812467895111074,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.7364994292451671,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
0.002504818961791151,23147,0.0022223422843790485,-11.27732908928909,0.024770388354332724,8,0.04,0.2351392975435164,20.0,0.5,0.75,0.02,25,0.5714285714285714,0.2244892963788807,0.0002812467895111074,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.8578372424999297,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
0.0037480705220761528,23147,0.0030677679811962556,-18.15074014410647,0.040940166401182275,8,0.04,0.3886350844073393,20.0,0.5,0.75,0.02,100,0.5714285714285714,0.4279319949851601,0.0004648409301329745,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.2374780881578766,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.003248313740665229,23147,0.002721249849741544,-16.225769214513942,0.040940166401182275,8,0.04,0.3886350844073393,20.0,0.5,0.75,0.02,100,0.5714285714285714,0.4279319949851601,0.0004648409301329745,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.30667928508922876,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.0056693997340904675,23147,0.003088674572674979,-45.52025403849055,0.040940166401182275,8,0.04,0.3886350844073393,20.0,0.5,0.75,0.02,100,0.5714285714285714,0.4279319949851601,0.0004648409301329745,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.4740862633020452,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
0.004934623402238123,23147,0.004607498636644737,-6.62917387869999,0.040940166401182275,8,0.04,0.3886350844073393,20.0,0.5,0.75,0.02,100,0.5714285714285714,0.4279319949851601,0.0004648409301329745,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.7666790347659259,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
0.0013816404339982303,23147,0.0012516842455021309,-9.40593408373469,0.040940166401182275,8,0.04,0.3886350844073393,20.0,0.5,0.75,0.02,100,0.5714285714285714,0.4279319949851601,0.0004648409301329745,0.02342440756601477,0.0007960858625047907,0.03398531468773577,1.0,0.8763904665067679,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
