step,dS,probe_loss,nclip,lp1,lp2,lp3,lp4,lp5,lp6,lp7,lp8,lp9,lp10,lp11,lp12,lp13,lp14,lp15,lp16,res_p,lr1,lr2,lr3,lr4,lr5,lr6,lr7,lr8,lr9,lr10,lr11,lr12,lr13,lr14,lr15,lr16,res_r
3000,0,1.151410698890686,0,9619.263995449786,9140.659421912043,6179.146561825017,5781.614540090573,5684.64681637321,5432.010081754657,5270.034783809774,4881.948952193884,4580.755345466117,4253.834700527615,4156.4744777466385,3738.398849237501,3666.298206815414,3512.719981072337,3490.8212254930913,3284.1093792251563,1.9829074916275404e-20,14.055894901170557,11.285543014203446,9.175019636993678,7.433287743461308,5.963534107592067,4.729303128066276,4.0182943686450985,3.7049448052405616,3.634424799928709,3.190485171265868,2.8922162344101006,2.6718700818453383,2.2379308453066513,2.0858138365586356,1.590314920225007,1.3658067270521665,0.27277593737406836
3010,10,1.1505939960479736,0,8328.261224038639,5585.0879991230395,4814.608718524904,4412.425089990701,4114.307472584746,4025.6833020005542,3732.698425966472,3573.164705568438,3565.7506733697733,3501.3977992774003,3472.677116821323,3357.1564209603694,3293.860330347457,3254.6468795477767,3204.0220981463203,3026.1937884614326,3.2873837759356725e-17,18.07977902484526,14.645591571288906,12.016704968828662,9.841256156998039,7.9774276668353234,6.35941898783307,4.947865910567445,4.020721230603504,3.747596115945613,3.490730634621236,3.2288738024950545,2.8246839912898345,2.448522121819127,2.0960552762023523,1.7144655698935016,1.3379836415259407,0.25993489264054914
3025,25,1.1455886662006378,0,25636.449681569084,22749.126071435192,20475.5590596578,18528.789952298514,16805.243417731894,16705.69743448285,15251.102231174184,13830.070824529277,12516.550941328735,11299.23310792119,10165.899659451938,9420.267956382393,9106.749284779742,8131.120139495794,7434.379064643786,6870.939650225412,0.13947847785737744,8.72376930798251,6.942436575070764,5.608046887072598,4.588183911957173,3.8908423040735816,3.7422943559914756,3.6937205701051594,3.2164322376112917,2.953790121888872,2.4727491072876533,2.3494630137873043,2.114493766606308,1.9724167736600988,1.682427026127082,1.3862243658711302,1.1664331664924934,0.2626890236449575
3050,50,1.1480359733104706,0,19896.426415734,14640.95877621776,13241.884152695899,12123.28503772551,11163.264619426884,10311.07371162814,9536.578172536505,8823.043289027522,8165.438730642312,7703.329137842352,7558.722217539718,7009.8366646466975,6822.410299231709,6524.110425506684,6218.096711076773,6120.8995693798815,0.11191746055430665,9.897273752250882,7.868714731068711,6.3291195192172545,5.071737319126474,4.074331715811417,3.8442224519520733,3.375840890740723,3.3586841362486295,3.0699884079117514,2.759076084436131,2.5525088046400124,2.2862776644582423,2.0582172778640433,1.8046308917169356,1.4526391726615577,1.2576773863285473,0.28516680446545645
3100,100,1.1459750831127167,0,80084.14611943816,41801.23467629719,40965.64782292766,37008.652275803914,33227.52194721334,32187.962124860056,30012.297347191834,27162.025008745914,24694.51644067924,24192.609485096807,23882.77968084221,22959.85654539809,22002.23784732934,21788.542674262895,20090.530845557416,19422.292580863694,0.12279106808573245,15.39202997264702,12.438485334777468,10.18101071652333,8.313612974236086,6.731398285254052,5.4016512346178835,4.400290678445144,3.9427685612471124,3.7250233690863808,3.5501869040749003,2.9277215771519263,2.5077426267104057,2.254130277783402,2.0639391149612547,1.576774109550097,1.2642387669011101,0.26337637009146236
3200,200,1.141381949186325,0,4069.0907785012128,3754.9712567607344,3544.5238797586157,3487.575800481224,3309.335778625113,3237.1460745615504,3162.0850506890743,3115.8966519925843,2888.46295087218,2877.1002741958155,2782.925223410711,2717.2716376301787,2665.1834884271057,2566.556179653906,2493.8476081133617,2389.531135805614,4.98504539915316e-13,15.511057835740843,12.516296956334848,10.22813106154629,8.334645227015583,6.718254944607669,5.317460549741937,4.119965866464389,4.100734644379338,3.4004713883675453,3.178287622237896,2.98312197901299,2.5630424523278914,2.2932798880968375,1.9514543213001136,1.6308229815211819,1.3126160795223585,0.2662149457746763
3400,400,1.132184386253357,0,3846.357515604146,3708.7615572995046,3650.603705173338,3489.0685940456483,3248.0518566560922,3160.2811779366248,2938.0156688503766,2844.0457272932144,2803.4516743148565,2665.0736476412003,2624.8476111471064,2526.0882071696574,2502.9898970573063,2427.95506042966,2367.5425583225096,2322.5896387577905,7.03136283690735e-17,13.605031358692962,10.871022402300397,8.790946951339691,7.0766081121473565,5.6224433184781395,4.408128903715196,3.764996834858098,3.522780363082021,3.3676916006136235,2.946464169741986,2.8354639509520565,2.382610215094239,2.1190882757666873,1.8559447658297712,1.5252975254538708,1.2509033569091492,0.28105943107951487
3800,800,1.1260803639888763,0,10194.329375714691,6994.291932031509,5569.183274013445,5533.46189729123,3979.7362956798634,3771.080450053803,3741.6033392010854,3449.598384984659,3197.61906911503,3080.6091456618537,3059.8262798183423,2972.607182379608,2787.207724398948,2739.042997349487,2695.767638287676,2616.0536122608864,1.0433502391471965e-26,8.705520809779026,6.941284009845918,5.5986604259522394,4.512687720618771,3.7212466507539985,3.2397732786324274,3.1769018318863584,2.953791510128583,2.662370833303834,2.415198711570058,2.0864656376016404,1.8654408125041901,1.7218160888265719,1.4438326029536042,1.214937450869669,1.0102342131239939,0.27664116371923797
4600,1600,1.1019835472106934,0,9483.834219000246,6992.8373006812235,4769.523090704548,4331.863983876325,3862.0022520302173,3621.573919439457,3458.442715710719,3344.440844686778,3096.37052151156,3042.6424798668772,2912.2761294485995,2886.6638827004267,2788.864950424764,2752.5862431168994,2702.9450714465124,2618.995519112054,1.7729279051503746e-22,11.433787920229282,9.223239770971873,7.533417931039979,6.136621776852655,4.950642503473558,3.9733784623879913,3.2368209378619373,2.7915413910653735,2.606208658022284,2.584815423756433,2.2148704526208074,1.8338507170891938,1.6884377206916823,1.4518011194417244,1.2126779310023676,0.9372208778586172,0.26668657614860164
5400,2400,1.0925338864326477,0,38458.864596885614,34376.996362562284,31153.485655909222,28393.08987461008,25944.06188518327,23723.114309321994,21690.01458513746,19811.105504746716,18060.26890616668,16422.860104703148,14889.382491666389,14183.165484456025,13447.054666445372,12086.576462700294,10806.314722784116,9599.942545265494,0.13117569323206948,10.753599236526487,8.673158918092836,7.084517580901072,5.7701324345617895,4.653794628092958,3.7051449332088904,2.9387134795816956,2.576714240360352,2.4603562650521766,2.291013180639467,1.9900214654363473,1.6362327978463365,1.473201827687365,1.3012596647598573,1.0566628871324373,0.8472411211073846,0.2665595305817746
6200,3200,1.0788726806640625,0,82077.13894269582,47619.489598196575,38975.00085573925,31605.605108071566,29263.017498609763,25766.276066121733,23275.116014839863,23019.57042352617,21050.295788381,20701.916215085752,18695.541893990354,17334.936167579097,17233.95520920734,16785.45291709409,16123.652614615132,15109.150231249874,1.138111343849691e-27,3.3378877630636894,2.580249412258739,2.2883514374143834,2.1601331961847294,2.0277991259431674,1.8777056701522334,1.7312544150284508,1.6253309165323682,1.4722947960460768,1.337799606753723,1.2293665204191062,1.1399716928711263,1.0448941167020391,0.8831078273373408,0.7955877273973014,0.6708841044931025,0.2332597441586029
6999,3999,1.0627286732196808,0,28033.327161340385,26711.216485495774,23233.518981760997,20761.527321691334,20512.16423704552,18196.3515563304,16480.908688210802,16160.869013437348,14482.679793474514,14338.724912684074,13050.417054891717,12689.052513400795,11320.414668400826,11234.241902681131,10769.770930258655,10503.157634071842,0.13750663177096287,3.8883390641158844,3.0607311092083114,2.438327312541284,2.2125949252842467,2.0179533038389774,1.937785874603754,1.7733516128831204,1.5782453132281926,1.5280954351076386,1.3490738275385779,1.2234222578925755,1.167500673873279,1.0672872035655818,0.8612017653697656,0.7825936183658152,0.6307810285503224,0.25552257173027004
