base_mae,candidate,corr_mae,delta_pct,kappa,rho,scale,shrink,test_curve,test_label,train_id,train_label,train_size,win
0.003408385839825258,none,0.002767950647437327,-18.789985127410482,0.020555000039450946,0.0,25,1.0,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,none,0.0020842506738609416,-16.79036666304492,0.020555000039450946,0.0,25,1.0,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,none,0.002905343263709773,-35.2524677959371,0.020555000039450946,0.0,25,1.0,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,none,0.0023455307260374795,-19.851545029780716,0.020555000039450946,0.0,25,1.0,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,none,0.0026752403424190763,-14.695189572448763,0.020555000039450946,0.0,25,1.0,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,constant_0p85,0.002864015926295515,-15.971487358298964,0.017471750033533302,0.0,25,0.85,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,constant_0p85,0.0021473359170504675,-14.271811663588407,0.017471750033533302,0.0,25,0.85,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,constant_0p85,0.0027681375699613324,-38.31018912805071,0.017471750033533302,0.0,25,0.85,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,constant_0p85,0.0021951982763775747,-24.988511874160945,0.017471750033533302,0.0,25,0.85,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,constant_0p85,0.002744368619804614,-12.490911136581529,0.017471750033533302,0.0,25,0.85,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,train_size_rho0p25,0.002896037685914911,-15.031988101928452,0.016444000031560758,0.25,25,0.8,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,train_size_rho0p25,0.0021683643314469917,-13.432293330435607,0.016444000031560758,0.25,25,0.8,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,train_size_rho0p25,0.002765890022598664,-38.36027723538806,0.016444000031560758,0.25,25,0.8,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
0.002926482771138891,train_size_rho0p25,0.0021950794467669086,-24.9925723665663,0.016444000031560758,0.25,25,0.8,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1,1
0.0031360955249893426,train_size_rho0p25,0.0027674113789331305,-11.75615165795898,0.016444000031560758,0.25,25,0.8,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1,1
0.003408385839825258,train_size_rho0p35,0.0029339894010193815,-13.918507501785593,0.015225925955148848,0.35,25,0.7407407407407407,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1,1
0.002504818961791151,train_size_rho0p35,0.0021932868966576583,-12.437308639292699,0.015225925955148848,0.35,25,0.7407407407407407,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1,1
0.004487187642230267,train_size_rho0p35,0.00278545154232913,-37.92433558796582,0.015225925955148848,0.35,25,0.7407407407407407,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1,1
