inner_mean,inner_rho_mean,inner_rho_median,inner_rho_score,inner_rho_worst,inner_worst,selected_lambda,selected_rho,train_id,train_label,train_size
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,cosine_72000.csv,Cosine,1
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,wsd_20000_24000.csv,WSD sharp,1
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,wsdld_20000_24000.csv,WSD linear,1
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,wsdcon_3.csv,WSD-con 3e-5,1
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,wsdcon_9.csv,WSD-con 9e-5,1
0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.5,wsdcon_18.csv,WSD-con 18e-5,1
-19.354931396192235,-17.47462750993876,-12.463211317207879,-2.4972389476697776,-2.4972389476697776,-2.586096414214223,0.03,0.0,cosine_72000.csv|wsd_20000_24000.csv,Cosine + WSD sharp,2
-17.079846159085687,-15.43213740293776,-10.778189299852187,-2.925771947694422,-2.925771947694422,-3.015264679063556,0.03,0.0,cosine_72000.csv|wsdld_20000_24000.csv,Cosine + WSD linear,2
-15.144837025221326,-9.00952218251141,-3.64770649290696,-1.3995137794323598,-1.3995137794323598,-1.2999485506912767,0.01,0.1,cosine_72000.csv|wsdcon_3.csv,Cosine + WSD-con 3e-5,2
-5.262052775899459,-5.726715580185309,-2.235878177781492,-1.0679879778000445,-1.0679879778000445,-1.3735432427215089,0.01,0.5,cosine_72000.csv|wsdcon_9.csv,Cosine + WSD-con 9e-5,2
-5.050332030697422,-4.699323809464963,-2.2648279651456438,-1.665484161103259,-1.665484161103259,-2.1755566358264478,0.01,0.4,cosine_72000.csv|wsdcon_18.csv,Cosine + WSD-con 18e-5,2
-23.890020828737565,-22.959203999469207,-22.318348717112002,-11.699583465969532,-11.699583465969532,-12.115881372656167,0.03,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv,WSD sharp + WSD linear,2
-21.256597220284128,-20.00281618862062,-16.054046477561524,-9.222133562381362,-9.222133562381362,-7.787314380753319,0.01,0.0,wsd_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD-con 3e-5,2
-11.44985863809008,-9.179170816459441,-7.856213170743953,-5.490529770107622,-5.490529770107622,-4.278178874591221,0.01,0.65,wsd_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD-con 9e-5,2
-11.719351279404817,-9.025740385385939,-8.972774596487447,-6.985601992621171,-6.985601992621171,-4.236368245492306,0.015,0.65,wsd_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD-con 18e-5,2
-19.898446655042566,-15.612954391644555,-11.747144119090402,-7.212405972793667,-7.212405972793667,-6.090268848509894,0.01,0.0,wsdld_20000_24000.csv|wsdcon_3.csv,WSD linear + WSD-con 3e-5,2
-10.068414773379553,-8.890443103109293,-7.18954084115217,-4.548665272748598,-4.548665272748598,-2.1540252842217167,0.01,0.65,wsdld_20000_24000.csv|wsdcon_9.csv,WSD linear + WSD-con 9e-5,2
-10.229900124619986,-8.8729044215091,-9.142749366817775,-6.361337455718486,-6.361337455718486,-3.76200545026083,0.01,0.5,wsdld_20000_24000.csv|wsdcon_18.csv,WSD linear + WSD-con 18e-5,2
-19.852737995900238,-18.365990546585802,-18.072595537815232,-5.628504797438327,-5.628504797438327,-5.61606304472445,0.03,0.1,wsdcon_3.csv|wsdcon_9.csv,WSD-con 3e-5 + WSD-con 9e-5,2
-19.773133080077564,-19.67584949943521,-16.119697578392472,-6.132708011511411,-6.132708011511411,-6.2483208308975025,0.03,0.0,wsdcon_3.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 18e-5,2
-10.853127732644998,-10.609235327729026,-7.665929061136822,-5.631983016632147,-5.631983016632147,-5.621643778729313,0.025,0.1,wsdcon_9.csv|wsdcon_18.csv,WSD-con 9e-5 + WSD-con 18e-5,2
-17.21203449241993,-17.21203449241993,-17.55907535777832,-2.7581183990788793,-2.7581183990788793,-2.7581183990788793,0.03,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv,Cosine + WSD sharp + WSD linear,3
-14.961806355928596,-13.045861521130133,-10.848300758334029,-1.3554804004757282,-1.3554804004757282,-1.4669411015579392,0.015,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD-con 3e-5,3
-8.450866219418344,-7.4040470254577855,-3.1400231319864136,-1.308240910513947,-1.308240910513947,-1.6254705724064067,0.015,0.2,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 9e-5,3
-8.60385656570576,-7.585394441956641,-8.89608219150071,-2.0399657031118568,-2.0399657031118568,-2.2439622734230835,0.015,0.2,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 18e-5,3
-14.127641559816178,-10.39300328429156,-8.621690450628671,-1.3619357419684786,-1.3619357419684786,-1.3619357419684786,0.01,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD linear + WSD-con 3e-5,3
-7.600136330893643,-6.538487036915849,-3.655525324074338,-1.2319923088866314,-1.2319923088866314,-1.5399903861082032,0.01,0.5,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 9e-5,3
-7.650203239519401,-6.453830713688286,-7.525763018315191,-1.9149765877506608,-1.9149765877506608,-2.2979719053006886,0.01,0.4,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 18e-5,3
-14.026397061402964,-12.677106465243675,-7.007221800751962,-1.6039350859009982,-1.6039350859009982,-1.6039350859009982,0.03,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5,3
-13.998643437311797,-13.245934181043998,-6.9434587192995885,-1.662030492712674,-1.662030492712674,-1.662030492712674,0.03,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 18e-5,3
-8.190831521879632,-7.7750255675908955,-6.225502541072803,-1.8509046680291186,-1.8509046680291186,-1.9052913532479065,0.03,0.0,cosine_72000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 9e-5 + WSD-con 18e-5,3
-17.485682783935864,-14.63268377461669,-12.106411844713683,-6.3504359871728315,-6.3504359871728315,-6.3504359871728315,0.01,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,WSD sharp + WSD linear + WSD-con 3e-5,3
-11.854457820028788,-9.010722129166455,-7.713964549723684,-4.514485493558496,-4.514485493558496,0.20708349501059597,0.02,1.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 9e-5,3
-13.866243150105745,-9.63193586887352,-9.430103387412814,-6.514507660436575,-6.514507660436575,1.8214880601335581,0.03,1.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 18e-5,3
-18.31200492442525,-16.852639719413038,-15.894861257878645,-5.639906349694734,-5.639906349694734,-5.5151285682286115,0.03,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,3
-18.14676103013884,-17.691157746234133,-12.576565507016035,-5.884507561799612,-5.884507561799612,-6.556284033026072,0.03,0.0,wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,3
-11.918797428349942,-10.023375770533958,-8.870244306873609,-5.631885851029905,-5.631885851029905,-4.037136387319196,0.03,0.5,wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,3
-17.66224442639085,-16.316783649961522,-14.007950135671033,-5.6391389466086235,-5.6391389466086235,-5.5244006771521414,0.03,0.0,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD linear + WSD-con 3e-5 + WSD-con 9e-5,3
-17.331530346876022,-16.929318235530317,-11.600011727932857,-5.881778436173835,-5.881778436173835,-6.5310223179607,0.03,0.0,wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD linear + WSD-con 3e-5 + WSD-con 18e-5,3
-11.01713498936865,-9.506793908870844,-7.65542123710553,-5.640183334681847,-5.640183334681847,-4.0206975518192305,0.025,0.5,wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,WSD linear + WSD-con 9e-5 + WSD-con 18e-5,3
-16.646273167700326,-15.650352206084241,-11.607486343144247,-5.638033576005485,-5.638033576005485,-5.6170471728336775,0.03,0.2,wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,3
-13.70085143457269,-11.79443216557536,-10.6864534485317,-1.3997441060828786,-1.3997441060828786,-1.520599991421645,0.015,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv,Cosine + WSD sharp + WSD linear + WSD-con 3e-5,4
-9.645419367886221,-8.195110888306006,-6.856904407111136,-1.5113640950790819,-1.5113640950790819,1.713542404906776,0.025,0.65,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD linear + WSD-con 9e-5,4
-11.334868519306879,-9.073774408802246,-9.656805883126484,-2.291045663468827,-2.291045663468827,1.538017124279345,0.03,0.5,cosine_72000.csv|wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD linear + WSD-con 18e-5,4
-14.364312691125498,-13.680698912778652,-11.112218460770068,-1.6679853945691936,-1.6679853945691936,-1.6679853945691936,0.03,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 9e-5,4
-14.251764590469056,-13.944797208380335,-10.813277103350611,-1.7310611055114888,-1.7310611055114888,-1.7310611055114888,0.03,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 3e-5 + WSD-con 18e-5,4
-9.66353378389117,-9.616190337105648,-8.410846983009218,-1.9963496940939351,-1.9963496940939351,-1.9963496940939351,0.03,0.0,cosine_72000.csv|wsd_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD sharp + WSD-con 9e-5 + WSD-con 18e-5,4
-13.871862187371704,-12.831011145992631,-8.994751352576507,-1.6696142586994256,-1.6696142586994256,-1.6696142586994256,0.03,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4
-13.67101355235281,-13.255218541558719,-9.125513093442528,-1.7335003899644152,-1.7335003899644152,-1.7335003899644152,0.03,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4
-9.017086358087022,-8.994458724989771,-8.166896068559382,-1.9733846170081226,-1.9733846170081226,-2.036081311839044,0.03,0.0,cosine_72000.csv|wsdld_20000_24000.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD linear + WSD-con 9e-5 + WSD-con 18e-5,4
-13.081839906830233,-13.081839906830233,-8.1111123031067,-1.6589749680396504,-1.6589749680396504,-1.6589749680396504,0.03,0.0,cosine_72000.csv|wsdcon_3.csv|wsdcon_9.csv|wsdcon_18.csv,Cosine + WSD-con 3e-5 + WSD-con 9e-5 + WSD-con 18e-5,4
-16.94118171758124,-16.05102485079721,-13.605012852481135,-5.6399066379533735,-5.6399066379533735,-5.414968361098749,0.03,0.1,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_9.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 9e-5,4
-16.31508146185247,-16.113399543822087,-12.459037909046916,-6.058187325523345,-6.058187325523345,-6.730632030126671,0.03,0.0,wsd_20000_24000.csv|wsdld_20000_24000.csv|wsdcon_3.csv|wsdcon_18.csv,WSD sharp + WSD linear + WSD-con 3e-5 + WSD-con 18e-5,4
