base_kappa,candidate,kappa,pooled_retention,rho,scale,selected_lambda,shrink,train_id,train_label,train_size
0.020555000039450946,none,0.020555000039450946,0.0193948960046347,0.0,25,0.025,1.0,cosine_72000.csv,Cosine,1
0.020555000039450946,constant_0p85,0.017471750033533302,0.0193948960046347,0.0,25,0.025,0.85,cosine_72000.csv,Cosine,1
0.020555000039450946,train_size_rho0p25,0.016444000031560758,0.0193948960046347,0.25,25,0.025,0.8,cosine_72000.csv,Cosine,1
0.020555000039450946,train_size_rho0p35,0.015225925955148848,0.0193948960046347,0.35,25,0.025,0.7407407407407407,cosine_72000.csv,Cosine,1
0.020555000039450946,train_size_rho0p5,0.013703333359633963,0.0193948960046347,0.5,25,0.025,0.6666666666666666,cosine_72000.csv,Cosine,1
0.020555000039450946,train_size_rho0p75,0.011745714308257682,0.0193948960046347,0.75,25,0.025,0.5714285714285714,cosine_72000.csv,Cosine,1
0.020555000039450946,train_size_rho1p0,0.010277500019725473,0.0193948960046347,1.0,25,0.025,0.5,cosine_72000.csv,Cosine,1
0.020555000039450946,train_selected_rho,0.013703333359633963,0.0193948960046347,0.5,25,0.025,0.6666666666666666,cosine_72000.csv,Cosine,1
0.036932787982351674,none,0.036932787982351674,0.0193948960046347,0.0,100,0.025,1.0,cosine_72000.csv,Cosine,1
0.036932787982351674,constant_0p85,0.031392869784998924,0.0193948960046347,0.0,100,0.025,0.85,cosine_72000.csv,Cosine,1
0.036932787982351674,train_size_rho0p25,0.02954623038588134,0.0193948960046347,0.25,100,0.025,0.8,cosine_72000.csv,Cosine,1
0.036932787982351674,train_size_rho0p35,0.027357620727667904,0.0193948960046347,0.35,100,0.025,0.7407407407407407,cosine_72000.csv,Cosine,1
0.036932787982351674,train_size_rho0p5,0.024621858654901116,0.0193948960046347,0.5,100,0.025,0.6666666666666666,cosine_72000.csv,Cosine,1
0.036932787982351674,train_size_rho0p75,0.021104450275629526,0.0193948960046347,0.75,100,0.025,0.5714285714285714,cosine_72000.csv,Cosine,1
0.036932787982351674,train_size_rho1p0,0.018466393991175837,0.0193948960046347,1.0,100,0.025,0.5,cosine_72000.csv,Cosine,1
0.036932787982351674,train_selected_rho,0.024621858654901116,0.0193948960046347,0.5,100,0.025,0.6666666666666666,cosine_72000.csv,Cosine,1
0.06508729347827592,none,0.06508729347827592,0.01949860601860202,0.0,400,0.025,1.0,cosine_72000.csv,Cosine,1
0.06508729347827592,constant_0p85,0.05532419945653453,0.01949860601860202,0.0,400,0.025,0.85,cosine_72000.csv,Cosine,1
0.06508729347827592,train_size_rho0p25,0.05206983478262074,0.01949860601860202,0.25,400,0.025,0.8,cosine_72000.csv,Cosine,1
0.06508729347827592,train_size_rho0p35,0.04821280998390809,0.01949860601860202,0.35,400,0.025,0.7407407407407407,cosine_72000.csv,Cosine,1
0.06508729347827592,train_size_rho0p5,0.04339152898551728,0.01949860601860202,0.5,400,0.025,0.6666666666666666,cosine_72000.csv,Cosine,1
0.06508729347827592,train_size_rho0p75,0.03719273913044338,0.01949860601860202,0.75,400,0.025,0.5714285714285714,cosine_72000.csv,Cosine,1
0.06508729347827592,train_size_rho1p0,0.03254364673913796,0.01949860601860202,1.0,400,0.025,0.5,cosine_72000.csv,Cosine,1
0.06508729347827592,train_selected_rho,0.04339152898551728,0.01949860601860202,0.5,400,0.025,0.6666666666666666,cosine_72000.csv,Cosine,1
0.016364874874118,none,0.016364874874118,0.19363028951346634,0.0,25,0.025,1.0,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,constant_0p85,0.0139101436430003,0.19363028951346634,0.0,25,0.025,0.85,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,train_size_rho0p25,0.013091899899294402,0.19363028951346634,0.25,25,0.025,0.8,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,train_size_rho0p35,0.012122129536383704,0.19363028951346634,0.35,25,0.025,0.7407407407407407,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,train_size_rho0p5,0.010909916582745333,0.19363028951346634,0.5,25,0.025,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,train_size_rho0p75,0.009351357070924571,0.19363028951346634,0.75,25,0.025,0.5714285714285714,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,train_size_rho1p0,0.008182437437059,0.19363028951346634,1.0,25,0.025,0.5,wsd_20000_24000.csv,WSD sharp,1
0.016364874874118,train_selected_rho,0.010909916582745333,0.19363028951346634,0.5,25,0.025,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,none,0.027239408839724536,0.19560070632069068,0.0,100,0.025,1.0,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,constant_0p85,0.023153497513765855,0.19560070632069068,0.0,100,0.025,0.85,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,train_size_rho0p25,0.02179152707177963,0.19560070632069068,0.25,100,0.025,0.8,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,train_size_rho0p35,0.020177339881277432,0.19560070632069068,0.35,100,0.025,0.7407407407407407,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,train_size_rho0p5,0.01815960589314969,0.19560070632069068,0.5,100,0.025,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,train_size_rho0p75,0.015565376479842592,0.19560070632069068,0.75,100,0.025,0.5714285714285714,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,train_size_rho1p0,0.013619704419862268,0.19560070632069068,1.0,100,0.025,0.5,wsd_20000_24000.csv,WSD sharp,1
0.027239408839724536,train_selected_rho,0.01815960589314969,0.19560070632069068,0.5,100,0.025,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,none,0.04808967259435133,0.1934498952473633,0.0,400,0.025,1.0,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,constant_0p85,0.04087622170519863,0.1934498952473633,0.0,400,0.025,0.85,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,train_size_rho0p25,0.03847173807548107,0.1934498952473633,0.25,400,0.025,0.8,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,train_size_rho0p35,0.0356219796995195,0.1934498952473633,0.35,400,0.025,0.7407407407407407,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,train_size_rho0p5,0.032059781729567555,0.1934498952473633,0.5,400,0.025,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,train_size_rho0p75,0.027479812911057902,0.1934498952473633,0.75,400,0.025,0.5714285714285714,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,train_size_rho1p0,0.024044836297175666,0.1934498952473633,1.0,400,0.025,0.5,wsd_20000_24000.csv,WSD sharp,1
0.04808967259435133,train_selected_rho,0.032059781729567555,0.1934498952473633,0.5,400,0.025,0.6666666666666666,wsd_20000_24000.csv,WSD sharp,1
0.019173131941940112,none,0.019173131941940112,0.24367405422491062,0.0,25,0.025,1.0,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,constant_0p85,0.016297162150649094,0.24367405422491062,0.0,25,0.025,0.85,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,train_size_rho0p25,0.01533850555355209,0.24367405422491062,0.25,25,0.025,0.8,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,train_size_rho0p35,0.014202319956992676,0.24367405422491062,0.35,25,0.025,0.7407407407407407,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,train_size_rho0p5,0.012782087961293407,0.24367405422491062,0.5,25,0.025,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,train_size_rho0p75,0.01095607539539435,0.24367405422491062,0.75,25,0.025,0.5714285714285714,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,train_size_rho1p0,0.009586565970970056,0.24367405422491062,1.0,25,0.025,0.5,wsdld_20000_24000.csv,WSD linear,1
0.019173131941940112,train_selected_rho,0.012782087961293407,0.24367405422491062,0.5,25,0.025,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,none,0.0313947883572367,0.2460170141173665,0.0,100,0.025,1.0,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,constant_0p85,0.026685570103651194,0.2460170141173665,0.0,100,0.025,0.85,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,train_size_rho0p25,0.02511583068578936,0.2460170141173665,0.25,100,0.025,0.8,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,train_size_rho0p35,0.023255398783138294,0.2460170141173665,0.35,100,0.025,0.7407407407407407,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,train_size_rho0p5,0.020929858904824464,0.2460170141173665,0.5,100,0.025,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,train_size_rho0p75,0.017939879061278113,0.2460170141173665,0.75,100,0.025,0.5714285714285714,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,train_size_rho1p0,0.01569739417861835,0.2460170141173665,1.0,100,0.025,0.5,wsdld_20000_24000.csv,WSD linear,1
0.0313947883572367,train_selected_rho,0.020929858904824464,0.2460170141173665,0.5,100,0.025,0.6666666666666666,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,none,0.05442078924432002,0.24470286758072735,0.0,400,0.025,1.0,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,constant_0p85,0.04625767085767202,0.24470286758072735,0.0,400,0.025,0.85,wsdld_20000_24000.csv,WSD linear,1
0.05442078924432002,train_size_rho0p25,0.04353663139545602,0.24470286758072735,0.25,400,0.025,0.8,wsdld_20000_24000.csv,WSD linear,1
