candidate,delta_pct,kappa,scale,test_curve,test_label,train_curve,train_label,win
train_size_rho0p5,-5.211384512918881,0.01815960589314969,100,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-11.480794904626713,0.01815960589314969,100,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,1
train_size_rho0p5,-3.2719775050209954,0.020929858904824464,100,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-17.296931462855667,0.020929858904824464,100,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-21.826422136014667,0.020929858904824464,100,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-4.185289519606861,0.020929858904824464,100,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-11.326536632901785,0.020929858904824464,100,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
train_size_rho0p5,-1.5499407524243725,0.009914506199782415,100,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-8.193582909733122,0.009914506199782415,100,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-6.803195076709234,0.009914506199782415,100,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-5.309824428120913,0.009914506199782415,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-9.347859036348128,0.009914506199782415,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
train_size_rho0p5,-1.5662007667402111,0.01001851663533715,100,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-8.279539598853258,0.01001851663533715,100,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-6.874565578561109,0.01001851663533715,100,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-16.413539904449202,0.01001851663533715,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-9.428645570719196,0.01001851663533715,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
train_size_rho0p5,-1.5544518836964838,0.009943362553739713,100,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
