scale,scenario,train_family,test_curve,lambda,kappa,base_mae,corr_mae,delta_pct
100,probe -> target: conservative success,WSD-con step,wsd_20000_24000.csv,10.0,0.020195301411305173,0.0037480705220761528,0.0031225222092836806,-16.689875740277294
100,target -> probe: over-correction failure,WSD sharp,wsdcon_9.csv,10.0,0.07542027714846399,0.004934623402238123,0.007777974416745852,57.620425769839166
100,smooth -> sharp: fails,Cosine decay,wsd_20000_24000.csv,10.0,0.5358652541815775,0.0037480705220761528,0.01572215569304798,319.4733156818798
100,sharp -> linear WSD: strong transfer,WSD sharp,wsdld_20000_24000.csv,10.0,0.07542027714846399,0.003248313740665229,0.001620577134676233,-50.110202891166786
100,probe -> cosine: almost no effect,WSD-con step,cosine_72000.csv,10.0,0.020195301411305173,0.007265129575917493,0.007035758996111354,-3.1571436876564274
