scale,curve,base_mae,corr_mae,delta_pct,win,mode,train_family,test_family,train_curves,lambda,kappa
400,wsdcon_3.csv,0.008173606778800102,0.016081445361976844,96.74845875491975,0,fixed10_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,10.0,0.10121370162592605
400,wsdcon_9.csv,0.006687305974578527,0.009701601644261688,45.074887871765725,0,fixed10_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,10.0,0.10121370162592605
400,wsdcon_18.csv,0.0025579541942073844,0.003467345223138071,35.55149779421571,0,fixed10_per_scale_nonnegative,WSD sharp,WSD-con step,wsd_20000_24000,10.0,0.10121370162592605
25,cosine_72000.csv,0.00744534704076948,0.006865776418122339,-7.784333214738126,1,fixed10_per_scale_nonnegative,WSD linear,Cosine decay,wsdld_20000_24000,10.0,0.0510121945505036
100,cosine_72000.csv,0.007265129575917493,0.006370211932963009,-12.317985985012081,1,fixed10_per_scale_nonnegative,WSD linear,Cosine decay,wsdld_20000_24000,10.0,0.07879446245039477
400,cosine_72000.csv,0.005612615040270773,0.004947834263330091,-11.844403583193387,1,fixed10_per_scale_nonnegative,WSD linear,Cosine decay,wsdld_20000_24000,10.0,0.1016427946242594
25,wsd_20000_24000.csv,0.003408385839825258,0.002067236363243147,-39.34852272038747,1,fixed10_per_scale_nonnegative,WSD linear,WSD sharp,wsdld_20000_24000,10.0,0.0510121945505036
100,wsd_20000_24000.csv,0.0037480705220761528,0.001634385186735906,-56.39395851520484,1,fixed10_per_scale_nonnegative,WSD linear,WSD sharp,wsdld_20000_24000,10.0,0.07879446245039477
400,wsd_20000_24000.csv,0.004701998914275349,0.002018417497375725,-57.073203669873784,1,fixed10_per_scale_nonnegative,WSD linear,WSD sharp,wsdld_20000_24000,10.0,0.1016427946242594
25,wsdld_20000_24000.csv,0.0031360955249893426,0.0020924799674051755,-33.2775436611649,1,fixed10_per_scale_nonnegative,WSD linear,WSD linear,wsdld_20000_24000,10.0,0.0510121945505036
100,wsdld_20000_24000.csv,0.003248313740665229,0.0015944714981311924,-50.91387022841405,1,fixed10_per_scale_nonnegative,WSD linear,WSD linear,wsdld_20000_24000,10.0,0.07879446245039477
400,wsdld_20000_24000.csv,0.0038535563963712593,0.001808973623532796,-53.057035178303494,1,fixed10_per_scale_nonnegative,WSD linear,WSD linear,wsdld_20000_24000,10.0,0.1016427946242594
25,wsdcon_3.csv,0.004487187642230267,0.00897900615393652,100.10320204647564,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.0510121945505036
25,wsdcon_9.csv,0.002926482771138891,0.004400705544408386,50.375241836663065,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.0510121945505036
25,wsdcon_18.csv,0.002504818961791151,0.0021278074734055073,-15.051446597004736,1,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.0510121945505036
100,wsdcon_3.csv,0.0056693997340904675,0.01428526121978505,151.971317772618,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.07879446245039477
100,wsdcon_9.csv,0.004934623402238123,0.007976976231058292,61.65319176009045,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.07879446245039477
100,wsdcon_18.csv,0.0013816404339982303,0.0022047592603820594,59.575473193258,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.07879446245039477
400,wsdcon_3.csv,0.008173606778800102,0.016167123457413602,97.79668749598154,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.1016427946242594
400,wsdcon_9.csv,0.006687305974578527,0.009726908578391293,45.45332029620999,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.1016427946242594
400,wsdcon_18.csv,0.0025579541942073844,0.0034749971848791424,35.850641608377806,0,fixed10_per_scale_nonnegative,WSD linear,WSD-con step,wsdld_20000_24000,10.0,0.1016427946242594
25,cosine_72000.csv,0.00744534704076948,0.0072438129923199325,-2.7068455955911896,1,fixed10_per_scale_nonnegative,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.017738466523894558
100,cosine_72000.csv,0.007265129575917493,0.007035758996111354,-3.1571436876564274,1,fixed10_per_scale_nonnegative,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.020195301411305173
400,cosine_72000.csv,0.005612615040270773,0.00535816226437363,-4.5335868231017535,1,fixed10_per_scale_nonnegative,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.03469206327068293
25,wsd_20000_24000.csv,0.003408385839825258,0.0028557058009493846,-16.21530146082898,1,fixed10_per_scale_nonnegative,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.017738466523894558
100,wsd_20000_24000.csv,0.0037480705220761528,0.0031225222092836806,-16.689875740277294,1,fixed10_per_scale_nonnegative,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.020195301411305173
400,wsd_20000_24000.csv,0.004701998914275349,0.0036201808154812357,-23.007621195098427,1,fixed10_per_scale_nonnegative,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.03469206327068293
25,wsdld_20000_24000.csv,0.0031360955249893426,0.0027383886793218115,-12.681592205928826,1,fixed10_per_scale_nonnegative,WSD-con step,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.017738466523894558
100,wsdld_20000_24000.csv,0.003248313740665229,0.002798171110583352,-13.857732535087308,1,fixed10_per_scale_nonnegative,WSD-con step,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.020195301411305173
400,wsdld_20000_24000.csv,0.0038535563963712593,0.0030749419735874115,-20.205087007862087,1,fixed10_per_scale_nonnegative,WSD-con step,WSD linear,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.03469206327068293
25,wsdcon_3.csv,0.004487187642230267,0.0027713089853676678,-38.23951199887322,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.017738466523894558
25,wsdcon_9.csv,0.002926482771138891,0.0021998246424053524,-24.830425652933098,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.017738466523894558
25,wsdcon_18.csv,0.002504818961791151,0.002141878729140058,-14.489679221829299,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.017738466523894558
100,wsdcon_3.csv,0.0056693997340904675,0.004426255684138396,-21.927260525959504,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.020195301411305173
100,wsdcon_9.csv,0.004934623402238123,0.004713302863362411,-4.485054295639479,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.020195301411305173
100,wsdcon_18.csv,0.0013816404339982303,0.0012245832921661188,-11.3674396005924,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.020195301411305173
400,wsdcon_3.csv,0.008173606778800102,0.0050652972800771905,-38.02861555298867,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.03469206327068293
400,wsdcon_9.csv,0.006687305974578527,0.006164619186125436,-7.816103980288325,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.03469206327068293
400,wsdcon_18.csv,0.0025579541942073844,0.002389361038730291,-6.590937236439998,1,fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18,10.0,0.03469206327068293
25,cosine_72000.csv,0.00744534704076948,0.0040906081772907514,-45.05819332676821,1,selected_lambda_per_scale_nonnegative,Cosine decay,Cosine decay,cosine_72000,80.0,4.003994212026174
100,cosine_72000.csv,0.007265129575917493,0.003380302523250433,-53.47223352415509,1,selected_lambda_per_scale_nonnegative,Cosine decay,Cosine decay,cosine_72000,80.0,4.462173817785619
400,cosine_72000.csv,0.005612615040270773,0.004060594042942274,-27.652368569600394,1,selected_lambda_per_scale_nonnegative,Cosine decay,Cosine decay,cosine_72000,80.0,2.9255658468873618
25,wsd_20000_24000.csv,0.003408385839825258,0.017941831731817046,426.4026015533762,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD sharp,cosine_72000,80.0,4.003994212026174
100,wsd_20000_24000.csv,0.0037480705220761528,0.018480069693251836,393.0555490993069,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD sharp,cosine_72000,80.0,4.462173817785619
400,wsd_20000_24000.csv,0.004701998914275349,0.011239857146269032,139.0442310002377,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD sharp,cosine_72000,80.0,2.9255658468873618
25,wsdld_20000_24000.csv,0.0031360955249893426,0.01613849541449622,414.6047142346235,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD linear,cosine_72000,80.0,4.003994212026174
100,wsdld_20000_24000.csv,0.003248313740665229,0.016680211711757188,413.5037143407587,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD linear,cosine_72000,80.0,4.462173817785619
400,wsdld_20000_24000.csv,0.0038535563963712593,0.010750528548483008,178.97680590859787,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD linear,cosine_72000,80.0,2.9255658468873618
25,wsdcon_3.csv,0.004487187642230267,0.14190143738720742,3062.3691430180115,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,4.003994212026174
25,wsdcon_9.csv,0.002926482771138891,0.050478984838813655,1624.9028539186957,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,4.003994212026174
25,wsdcon_18.csv,0.002504818961791151,0.02182641131045862,771.37679981674,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,4.003994212026174
100,wsdcon_3.csv,0.0056693997340904675,0.13808895430710938,2335.6891520061913,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,4.462173817785619
100,wsdcon_9.csv,0.004934623402238123,0.051032991967109996,934.1821007853149,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,4.462173817785619
100,wsdcon_18.csv,0.0013816404339982303,0.020376769510024775,1374.8243471029507,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,4.462173817785619
400,wsdcon_3.csv,0.008173606778800102,0.08950833727459909,995.0898385123812,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,2.9255658468873618
400,wsdcon_9.csv,0.006687305974578527,0.03561476251422555,432.5726480830003,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,2.9255658468873618
400,wsdcon_18.csv,0.0025579541942073844,0.014723709465769183,475.604891561849,0,selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,cosine_72000,80.0,2.9255658468873618
25,cosine_72000.csv,0.00744534704076948,0.006646107857203337,-10.734747207747908,1,selected_lambda_per_scale_nonnegative,WSD sharp,Cosine decay,wsd_20000_24000,3.0,0.02143513710097538
100,cosine_72000.csv,0.007265129575917493,0.006004218676846658,-17.355656026432232,1,selected_lambda_per_scale_nonnegative,WSD sharp,Cosine decay,wsd_20000_24000,3.0,0.03391697109616153
400,cosine_72000.csv,0.005612615040270773,0.004800919312773411,-14.46198824742847,1,selected_lambda_per_scale_nonnegative,WSD sharp,Cosine decay,wsd_20000_24000,3.0,0.04575832145218656
25,wsd_20000_24000.csv,0.003408385839825258,0.002012376138511772,-40.95808887015728,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD sharp,wsd_20000_24000,3.0,0.02143513710097538
100,wsd_20000_24000.csv,0.0037480705220761528,0.0015315817426292198,-59.13679495601281,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD sharp,wsd_20000_24000,3.0,0.03391697109616153
400,wsd_20000_24000.csv,0.004701998914275349,0.001647799163419027,-64.9553478539461,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD sharp,wsd_20000_24000,3.0,0.04575832145218656
25,wsdld_20000_24000.csv,0.0031360955249893426,0.0021353993069471,-31.908983960099334,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD linear,wsd_20000_24000,3.0,0.02143513710097538
100,wsdld_20000_24000.csv,0.003248313740665229,0.0016632515728118974,-48.796461622845676,1,selected_lambda_per_scale_nonnegative,WSD sharp,WSD linear,wsd_20000_24000,3.0,0.03391697109616153
