mode,train_family,test_family,lambda,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,min_kappa,max_kappa
selected_lambda_per_scale_nonnegative,WSD linear,WSD-con step,3.0,0.0043692244325636825,0.007566619997460788,73.17993420221273,1,9,0.036398824855626656,0.02401963314474919,0.04810278972850831
selected_lambda_per_scale_nonnegative,WSD-con step,Cosine decay,20.0,0.006774363885652582,0.006605737240470664,-2.489187885803601,3,3,0.03509679578080801,0.024963366630532398,0.04912066866461048
selected_lambda_per_scale_nonnegative,WSD-con step,WSD sharp,20.0,0.003952818425392253,0.0033689513949365485,-14.770904393306783,3,3,0.03509679578080801,0.024963366630532398,0.04912066866461048
selected_lambda_per_scale_nonnegative,WSD-con step,WSD linear,20.0,0.003412655220675277,0.002959480668044891,-13.279236351942824,3,3,0.03509679578080801,0.024963366630532398,0.04912066866461048
selected_lambda_per_scale_nonnegative,WSD-con step,WSD-con step,20.0,0.0043692244325636825,0.0030802982104810098,-29.500114768111906,9,9,0.03509679578080801,0.024963366630532398,0.04912066866461048
fixed10_shared_nonnegative,Cosine decay,Cosine decay,10.0,0.006774363885652582,0.004169077923961849,-38.458016216230504,3,3,0.45321588340295044,0.45321588340295044,0.45321588340295044
fixed10_shared_nonnegative,Cosine decay,WSD sharp,10.0,0.003952818425392253,0.01347038124221231,240.7791553409285,0,3,0.45321588340295044,0.45321588340295044,0.45321588340295044
fixed10_shared_nonnegative,Cosine decay,WSD linear,10.0,0.003412655220675277,0.01007596312865517,195.2528889414558,0,3,0.45321588340295044,0.45321588340295044,0.45321588340295044
fixed10_shared_nonnegative,Cosine decay,WSD-con step,10.0,0.0043692244325636825,0.043389330494365025,893.0671029619308,0,9,0.45321588340295044,0.45321588340295044,0.45321588340295044
fixed10_shared_nonnegative,WSD sharp,Cosine decay,10.0,0.006774363885652582,0.006037216559534888,-10.88142500993927,3,3,0.07486159803119752,0.07486159803119752,0.07486159803119752
fixed10_shared_nonnegative,WSD sharp,WSD sharp,10.0,0.003952818425392253,0.002303439354664949,-41.72665913850141,3,3,0.07486159803119752,0.07486159803119752,0.07486159803119752
fixed10_shared_nonnegative,WSD sharp,WSD linear,10.0,0.003412655220675277,0.002085755400663022,-38.88174263761973,3,3,0.07486159803119752,0.07486159803119752,0.07486159803119752
fixed10_shared_nonnegative,WSD sharp,WSD-con step,10.0,0.0043692244325636825,0.007543509680988732,72.65100013556658,1,9,0.07486159803119752,0.07486159803119752,0.07486159803119752
fixed10_shared_nonnegative,WSD linear,Cosine decay,10.0,0.006774363885652582,0.006013038726489531,-11.238326904397045,3,3,0.07738868319628874,0.07738868319628874,0.07738868319628874
fixed10_shared_nonnegative,WSD linear,WSD sharp,10.0,0.003952818425392253,0.0023058874779875,-41.664725524075195,3,3,0.07738868319628874,0.07738868319628874,0.07738868319628874
fixed10_shared_nonnegative,WSD linear,WSD linear,10.0,0.003412655220675277,0.0020809964109290997,-39.0211938691737,3,3,0.07738868319628874,0.07738868319628874,0.07738868319628874
fixed10_shared_nonnegative,WSD linear,WSD-con step,10.0,0.0043692244325636825,0.00778217438954819,78.11340455637634,0,9,0.07738868319628874,0.07738868319628874,0.07738868319628874
fixed10_shared_nonnegative,WSD-con step,Cosine decay,10.0,0.006774363885652582,0.0065305583810155885,-3.5989431443644304,3,3,0.024235125720206894,0.024235125720206894,0.024235125720206894
fixed10_shared_nonnegative,WSD-con step,WSD sharp,10.0,0.003952818425392253,0.0031985383460237196,-19.082082660897413,3,3,0.024235125720206894,0.024235125720206894,0.024235125720206894
fixed10_shared_nonnegative,WSD-con step,WSD linear,10.0,0.003412655220675277,0.0028701628341772077,-15.896489724816798,3,3,0.024235125720206894,0.024235125720206894,0.024235125720206894
fixed10_shared_nonnegative,WSD-con step,WSD-con step,10.0,0.0043692244325636825,0.0036245394621419545,-17.04387087263396,9,9,0.024235125720206894,0.024235125720206894,0.024235125720206894
fixed10_per_scale_signed,Cosine decay,Cosine decay,10.0,0.006774363885652582,0.004108030477837909,-39.3591701423317,3,3,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_signed,Cosine decay,WSD sharp,10.0,0.003952818425392253,0.013462465700871958,240.57890477314365,0,3,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_signed,Cosine decay,WSD linear,10.0,0.003412655220675277,0.010063433151349865,194.88572682002635,0,3,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_signed,Cosine decay,WSD-con step,10.0,0.0043692244325636825,0.043465153318632474,894.8024870200795,0,9,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_signed,WSD sharp,Cosine decay,10.0,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_signed,WSD sharp,WSD sharp,10.0,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_signed,WSD sharp,WSD linear,10.0,0.003412655220675277,0.0018483036698383195,-45.83971862611461,3,3,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_signed,WSD sharp,WSD-con step,10.0,0.0043692244325636825,0.007480070890289203,71.19905387648404,1,9,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_signed,WSD linear,Cosine decay,10.0,0.006774363885652582,0.006061274204805147,-10.526297271359851,3,3,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_signed,WSD linear,WSD sharp,10.0,0.003952818425392253,0.0019066796824515925,-51.76404587158881,3,3,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_signed,WSD linear,WSD linear,10.0,0.003412655220675277,0.0018319750296897214,-46.31819181173478,3,3,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_signed,WSD linear,WSD-con step,10.0,0.0043692244325636825,0.007704838344851094,76.3433868818272,1,9,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_signed,WSD-con step,Cosine decay,10.0,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960887,0.017738466523894558,0.03469206327068293
fixed10_per_scale_signed,WSD-con step,WSD sharp,10.0,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960887,0.017738466523894558,0.03469206327068293
fixed10_per_scale_signed,WSD-con step,WSD linear,10.0,0.003412655220675277,0.0028705005878308584,-15.886592632030972,3,3,0.024208610401960887,0.017738466523894558,0.03469206327068293
fixed10_per_scale_signed,WSD-con step,WSD-con step,10.0,0.0043692244325636825,0.00345515907794588,-20.92054021773988,9,9,0.024208610401960887,0.017738466523894558,0.03469206327068293
