mode,train_family,test_family,lambda,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa,min_kappa,max_kappa
fixed10_per_scale_nonnegative,Cosine decay,Cosine decay,10.0,0.006774363885652582,0.004108030477837909,-39.3591701423317,3,3,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_nonnegative,Cosine decay,WSD sharp,10.0,0.003952818425392253,0.013462465700871958,240.57890477314365,0,3,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_nonnegative,Cosine decay,WSD linear,10.0,0.003412655220675277,0.010063433151349865,194.88572682002635,0,3,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_nonnegative,Cosine decay,WSD-con step,10.0,0.0043692244325636825,0.043465153318632474,894.8024870200795,0,9,0.4532190273570036,0.3423761046470629,0.5358652541815775
fixed10_per_scale_nonnegative,WSD sharp,Cosine decay,10.0,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_nonnegative,WSD sharp,WSD sharp,10.0,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_nonnegative,WSD sharp,WSD linear,10.0,0.003412655220675277,0.0018483036698383195,-45.83971862611461,3,3,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_nonnegative,WSD sharp,WSD-con step,10.0,0.0043692244325636825,0.007480070890289203,71.19905387648404,1,9,0.07477677984232457,0.04769636075258369,0.10121370162592605
fixed10_per_scale_nonnegative,WSD linear,Cosine decay,10.0,0.006774363885652582,0.006061274204805147,-10.526297271359851,3,3,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_nonnegative,WSD linear,WSD sharp,10.0,0.003952818425392253,0.0019066796824515925,-51.76404587158881,3,3,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_nonnegative,WSD linear,WSD linear,10.0,0.003412655220675277,0.0018319750296897214,-46.31819181173478,3,3,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_nonnegative,WSD linear,WSD-con step,10.0,0.0043692244325636825,0.007704838344851094,76.3433868818272,1,9,0.07714981720838593,0.0510121945505036,0.1016427946242594
fixed10_per_scale_nonnegative,WSD-con step,Cosine decay,10.0,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960887,0.017738466523894558,0.03469206327068293
fixed10_per_scale_nonnegative,WSD-con step,WSD sharp,10.0,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960887,0.017738466523894558,0.03469206327068293
fixed10_per_scale_nonnegative,WSD-con step,WSD linear,10.0,0.003412655220675277,0.0028705005878308584,-15.886592632030972,3,3,0.024208610401960887,0.017738466523894558,0.03469206327068293
fixed10_per_scale_nonnegative,WSD-con step,WSD-con step,10.0,0.0043692244325636825,0.00345515907794588,-20.92054021773988,9,9,0.024208610401960887,0.017738466523894558,0.03469206327068293
selected_lambda_per_scale_nonnegative,Cosine decay,Cosine decay,80.0,0.006774363885652582,0.003843834914494486,-43.25910182304585,3,3,3.7972446255663854,2.9255658468873618,4.462173817785619
selected_lambda_per_scale_nonnegative,Cosine decay,WSD sharp,80.0,0.003952818425392253,0.01588725285711264,301.92215142126304,0,3,3.7972446255663854,2.9255658468873618,4.462173817785619
selected_lambda_per_scale_nonnegative,Cosine decay,WSD linear,80.0,0.003412655220675277,0.014523078558245472,325.5653624268474,0,3,3.7972446255663854,2.9255658468873618,4.462173817785619
selected_lambda_per_scale_nonnegative,Cosine decay,WSD-con step,80.0,0.0043692244325636825,0.06261692873059084,1333.1360106821014,0,9,3.7972446255663854,2.9255658468873618,4.462173817785619
selected_lambda_per_scale_nonnegative,WSD sharp,Cosine decay,3.0,0.006774363885652582,0.005817081948941136,-14.13094945695008,3,3,0.033703476549774486,0.02143513710097538,0.04575832145218656
selected_lambda_per_scale_nonnegative,WSD sharp,WSD sharp,3.0,0.003952818425392253,0.0017305856815200062,-56.21894316209899,3,3,0.033703476549774486,0.02143513710097538,0.04575832145218656
selected_lambda_per_scale_nonnegative,WSD sharp,WSD linear,3.0,0.003412655220675277,0.0018410713534597223,-46.05164499754471,3,3,0.033703476549774486,0.02143513710097538,0.04575832145218656
selected_lambda_per_scale_nonnegative,WSD sharp,WSD-con step,3.0,0.0043692244325636825,0.00708347262968743,62.12196784615931,1,9,0.033703476549774486,0.02143513710097538,0.04575832145218656
selected_lambda_per_scale_nonnegative,WSD linear,Cosine decay,3.0,0.006774363885652582,0.005738768004727879,-15.286983374453666,3,3,0.036398824855626656,0.02401963314474919,0.04810278972850831
selected_lambda_per_scale_nonnegative,WSD linear,WSD sharp,3.0,0.003952818425392253,0.0018473437298870592,-53.26515080935598,3,3,0.036398824855626656,0.02401963314474919,0.04810278972850831
selected_lambda_per_scale_nonnegative,WSD linear,WSD linear,3.0,0.003412655220675277,0.0017799602143685697,-47.84236615568914,3,3,0.036398824855626656,0.02401963314474919,0.04810278972850831
