kappa_mae_l2_star,kappa_rmse_l2_star,mean_delta_pct,mean_kappa_hat,mean_kappa_star_l2,mean_ratio_to_star,pearson_l2_star,role,rows,spearman_l2_star,split,variant,wins,worst_delta_pct
0.00855470015967916,0.010264628729225343,-30.881825929441106,0.044374345942904,0.046078323479564046,0.9932395992823833,0.9102546005024416,recommended_kappa_no_a,15,0.7148433693844181,all_core,projected_cosine_kappa,15,-4.66571382322698
0.009144902476630721,0.010753109589935797,-45.49898360634657,0.06938414484215727,0.07013445144099394,1.0117448829147964,0.8403261567314189,recommended_kappa_no_a,6,0.5428571428571428,wsd_final,projected_cosine_kappa,6,-33.42623713913023
0.008161231948378122,0.00992562815875907,-21.137054144837464,0.02770114667673514,0.030040904838610796,0.9809027435274413,0.26298672457721745,recommended_kappa_no_a,9,-0.05270462766947299,wsdcon,projected_cosine_kappa,9,-4.66571382322698
0.010279847513906508,0.013529315725708372,-29.882209629923036,0.03928885657515313,0.046078323479564046,0.9190340456687149,0.8979172983101454,current_effective_amplitude,15,0.7148433693844181,all_core,current_effective_a_times_kappa,15,-4.665186792735431
0.0134580254343966,0.0176014784352806,-43.00210695030611,0.05667642600659733,0.07013445144099394,0.8264436223076906,0.840326156731419,current_effective_amplitude,6,0.5428571428571428,wsd_final,current_effective_a_times_kappa,6,-29.810221525217518
0.00816106223357978,0.009926191512260272,-21.135611416334328,0.027697143620857,0.030040904838610796,0.9807609945760645,0.26298672457721745,current_effective_amplitude,9,-0.05270462766947299,wsdcon,current_effective_a_times_kappa,9,-4.665186792735431
0.00888839068796486,0.011490246757965193,-30.06046952874329,0.03972252502602353,0.046078323479564046,0.8507991531621126,0.9209899048167943,schedule_informed_candidate,15,0.8035714285714286,all_core,sqrt_drop_projected_kappa,15,-3.3252604016436815
0.009073779859582763,0.011656639492741414,-45.76408960173176,0.06581841218404627,0.07013445144099394,0.9597512624255918,0.8403114098000998,schedule_informed_candidate,6,0.37142857142857144,wsd_final,sqrt_drop_projected_kappa,6,-32.92375002216586
0.008764797906886258,0.011377966488893797,-19.591389480084306,0.02232526692067503,0.030040904838610796,0.7781644136531265,0.4586100161359866,schedule_informed_candidate,9,0.35,wsdcon,sqrt_drop_projected_kappa,9,-3.3252604016436815
0.010741347798116153,0.01390269152357233,-29.03445905778533,0.03605482941003871,0.046078323479564046,0.7444085441501003,0.9204182085165619,stronger_schedule_scaling,15,0.7928571428571428,all_core,drop_projected_kappa,15,-2.47721220695849
0.009409875372273401,0.013408048706114353,-45.49248568664364,0.062435926848361654,0.07013445144099394,0.9104295986803282,0.8402966251288871,stronger_schedule_scaling,6,0.37142857142857144,wsd_final,drop_projected_kappa,6,-32.049097326723384
0.01162899608201132,0.014222899584671893,-18.062441305213127,0.018467431117823428,0.030040904838610796,0.6337278411299481,0.5055547362743774,stronger_schedule_scaling,9,0.3,wsdcon,drop_projected_kappa,9,-2.47721220695849
0.5823991008159678,0.629447047854149,625.9199404861536,0.6284774242955319,0.046078323479564046,19.87069937430067,-0.8493556750908642,negative_control_no_nuisance_projection,15,-0.8520355311854679,all_core,raw_cosine_no_projection,0,2366.7109686237577
0.33061030084354504,0.3414682133934336,215.29639538683668,0.40074475228453904,0.07013445144099394,6.412049642782569,-0.6609942701268672,negative_control_no_nuisance_projection,6,-0.5428571428571428,wsd_final,raw_cosine_no_projection,0,336.0258748298834
0.7502583007975829,0.7632860644924919,899.6689705523647,0.7802992056361938,0.030040904838610796,28.84313252864607,-0.6461274600534854,negative_control_no_nuisance_projection,9,-0.5797509043642028,wsdcon,raw_cosine_no_projection,0,2366.7109686237577
