base_mae,drop_norm,effective_drop_count,kappa_star_l2,kappa_star_mae,lambda,oracle_l2_delta_pct,oracle_mae_delta_pct,phi_l1,phi_l2,phi_max,q2,scale,source_projected_kappa,source_raw_kappa,source_retention_projected,source_retention_raw,support_projection,target_curve,target_label
0.003408385839825258,0.8999424188010641,2842.3242127574727,0.043800658227505104,0.045419009827320916,9.026941864314445,-39.80284448435925,-40.11282282135225,0.03389701083274515,1.0592490944987771,0.20954435172983382,0.00035182474803951123,25,0.04738269271226069,0.4245380260120369,0.0014777958625725768,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp
0.0031360955249893426,0.899775,3998.9999999999995,0.04733106255709994,0.04991207796824072,9.026482506002322,-33.419363485428086,-33.697675602860436,0.024184323218944044,0.8158602912022678,0.26578677648953225,0.00025006251562890725,25,0.04738570411405721,0.42451652830328307,0.0014778095766382598,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear
0.004487187642230267,0.8999999999999999,1.0,0.024281379919932757,0.027049840045603114,18.05070782708191,-55.33740683645066,-59.00434326129482,0.13672975793025355,2.500050030236255,0.8999999999999999,1.0,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5
0.002926482771138891,0.7,1.0,0.02058761784683075,0.02361220702813657,18.05070782708191,-22.752965535936674,-23.91710781498687,0.03924494409868844,1.2000559570543736,0.7,1.0,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5
0.002504818961791151,0.3999999999999999,1.0,0.03376118027071087,0.035173935249463884,18.05070782708191,-14.142102190654581,-14.365107610725136,0.012374945650369075,0.5322817702567572,0.3999999999999999,1.0,25,0.0186012135954047,0.8233833807362066,0.0013917019116719191,1.0,0.9998554913294798,wsdcon_18.csv,WSD-con 18e-5
0.0037480705220761528,0.8999424188010641,2842.3242127574727,0.06926088194817957,0.0723629412176522,9.026941864314445,-56.6443155535608,-57.03156589244378,0.033698782699220324,1.0592490944987771,0.20954435172983382,0.00035182474803951123,100,0.08194692666912794,0.47348209356632104,0.001259438022214419,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp
0.003248313740665229,0.899775,3998.9999999999995,0.07309102076755729,0.07458418731885903,9.026482506002322,-51.15711221479431,-51.294593499759685,0.024042894428189982,0.8158602912022678,0.26578677648953225,0.00025006251562890725,100,0.08195208763827826,0.47345808571057735,0.0012594518091337912,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear
0.0056693997340904675,0.8999999999999999,1.0,0.03170588603525045,0.03601257585428596,18.05070782708191,-41.98470363319211,-44.10601559325498,0.12173291272985587,2.5012519927307135,0.8999999999999999,1.0,100,0.03271892621544682,0.9190668900835309,0.0011805304133082875,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5
0.004934623402238123,0.7,1.0,0.022653397725304992,0.03035731524394205,18.05070782708191,-9.366160567558456,-10.951829360361998,0.03420552430925236,1.2000559578988783,0.7,1.0,100,0.03271892621544682,0.9190668900835309,0.0011805304133082875,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5
0.0013816404339982303,0.3999999999999999,1.0,0.021721690706812492,0.03021375605105198,18.05070782708191,-11.941880993122222,-13.494669299176032,0.010785503104951183,0.5322817702567572,0.3999999999999999,1.0,100,0.03271892621544682,0.9190668900835309,0.0011805304133082875,1.0,0.9998554913294798,wsdcon_18.csv,WSD-con 18e-5
0.004701998914275349,0.8999424188010641,2842.3242127574727,0.09299964240306824,0.09794258098412625,9.026941864314445,-57.80539305896686,-58.26930096187066,0.033990442873062555,1.0644529643279668,0.2095724643326435,0.00035182474803951123,400,0.07881628678987389,0.30424476643016135,0.0013593348951861214,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp
0.0038535563963712593,0.899775,3998.9999999999995,0.09432344274255343,0.09597025680385358,9.026482506002322,-53.44503741445615,-53.50399041476861,0.02444230960066176,0.8275431133556455,0.2702503306219189,0.00025006251562890725,400,0.07882117112934564,0.3042290136848543,0.0013593496446268271,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear
0.008173606778800102,0.8999999999999999,1.0,0.0504005806684353,0.05724830949274529,18.05070782708191,-55.383228368885874,-61.472462485173,0.12173291272985587,2.5012519927307135,0.8999999999999999,1.0,400,0.031783300219353904,0.5984473460888438,0.0012659510960544888,1.0,0.9998554913294798,wsdcon_3.csv,WSD-con 3e-5
0.006687305974578527,0.7,1.0,0.03759393801515421,0.05511906588326837,18.05070782708191,-10.626818280921812,-14.355471205118874,0.03420552430925236,1.2000559578988783,0.7,1.0,400,0.031783300219353904,0.5984473460888438,0.0012659510960544888,1.0,0.9998554913294798,wsdcon_9.csv,WSD-con 9e-5
0.0025579541942073844,0.3999999999999999,1.0,0.027662472359065323,0.05686511561714223,18.05070782708191,-4.192859547899763,-7.5437868818210685,0.010785503104951183,0.5322817702567572,0.3999999999999999,1.0,400,0.031783300219353904,0.5984473460888438,0.0012659510960544888,1.0,0.9998554913294798,wsdcon_18.csv,WSD-con 18e-5
