base_mae,delta_pct,description,drop_norm,effective_drop_count,kappa_abs_error,kappa_error,kappa_hat,kappa_ratio_to_star,kappa_star_l2,kappa_star_mae,lambda,oracle_l2_delta_pct,oracle_mae_delta_pct,phi_l1,phi_l2,phi_max,q2,role,scale,source_projected_kappa,source_raw_kappa,source_retention_projected,source_retention_raw,support_projection,target_curve,target_label,variant
0.003408385839825258,-38.99241601433398,"cosine residual, MPL-LD projected, no target a_s multiplier",0.8999424188010641,2842.3242127574727,0.0035820344847555877,0.0035820344847555877,0.04738269271226069,1.0817803802433774,0.043800658227505104,0.045419009827320916,9.026941864314445,-39.80284448435925,-40.11282282135225,0.03389701083274515,1.0592490944987771,0.20954435172983382,0.00035182474803951123,recommended_kappa_no_a,25,0.04738269271226069,0.4245380260120369,0.0014777958625725768,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp,projected_cosine_kappa
0.003408385839825258,-37.122705245163836,current effective coefficient a_s * kappa_cos,0.8999424188010641,2842.3242127574727,0.005096114363643808,-0.005096114363643808,0.038704543863861296,0.8836521054735281,0.043800658227505104,0.045419009827320916,9.026941864314445,-39.80284448435925,-40.11282282135225,0.03389701083274515,1.0592490944987771,0.20954435172983382,0.00035182474803951123,current_effective_amplitude,25,0.04738269271226069,0.4245380260120369,0.0014777958625725768,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp,current_effective_a_times_kappa
0.003408385839825258,-40.043926677922556,sqrt(total positive LR drop / peak LR) * kappa_cos,0.8999424188010641,2842.3242127574727,0.0011490729743781,0.0011490729743781,0.044949731201883204,1.0262341485465742,0.043800658227505104,0.045419009827320916,9.026941864314445,-39.80284448435925,-40.11282282135225,0.03389701083274515,1.0592490944987771,0.20954435172983382,0.00035182474803951123,schedule_informed_candidate,25,0.04738269271226069,0.4245380260120369,0.0014777958625725768,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp,sqrt_drop_projected_kappa
0.003408385839825258,-39.436072152891676,(total positive LR drop / peak LR) * kappa_cos,0.8999424188010641,2842.3242127574727,0.0011589631387256688,-0.0011589631387256688,0.042641695088779435,0.97354005200776,0.043800658227505104,0.045419009827320916,9.026941864314445,-39.80284448435925,-40.11282282135225,0.03389701083274515,1.0592490944987771,0.20954435172983382,0.00035182474803951123,stronger_schedule_scaling,25,0.04738269271226069,0.4245380260120369,0.0014777958625725768,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp,drop_projected_kappa
0.003408385839825258,336.0258748298834,cosine residual without MPL-LD projection,0.8999424188010641,2842.3242127574727,0.38073736778453177,0.38073736778453177,0.4245380260120369,9.692503336523915,0.043800658227505104,0.045419009827320916,9.026941864314445,-39.80284448435925,-40.11282282135225,0.03389701083274515,1.0592490944987771,0.20954435172983382,0.00035182474803951123,negative_control_no_nuisance_projection,25,0.04738269271226069,0.4245380260120369,0.0014777958625725768,1.0,0.8168498168498168,wsd_20000_24000.csv,WSD sharp,raw_cosine_no_projection
0.0031360955249893426,-33.42623713913023,"cosine residual, MPL-LD projected, no target a_s multiplier",0.899775,3998.9999999999995,5.4641556957266135e-05,5.4641556957266135e-05,0.04738570411405721,1.0011544544746138,0.04733106255709994,0.04991207796824072,9.026482506002322,-33.419363485428086,-33.697675602860436,0.024184323218944044,0.8158602912022678,0.26578677648953225,0.00025006251562890725,recommended_kappa_no_a,25,0.04738570411405721,0.42451652830328307,0.0014778095766382598,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear,projected_cosine_kappa
0.0031360955249893426,-29.810221525217518,current effective coefficient a_s * kappa_cos,0.899775,3998.9999999999995,0.008624058830232699,-0.008624058830232699,0.038707003726867244,0.8177928327759665,0.04733106255709994,0.04991207796824072,9.026482506002322,-33.419363485428086,-33.697675602860436,0.024184323218944044,0.8158602912022678,0.26578677648953225,0.00025006251562890725,current_effective_amplitude,25,0.04738570411405721,0.42451652830328307,0.0014778095766382598,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear,current_effective_a_times_kappa
0.0031360955249893426,-32.92375002216586,sqrt(total positive LR drop / peak LR) * kappa_cos,0.899775,3998.9999999999995,0.002382656102235002,-0.002382656102235002,0.04494840645486494,0.9496597799941512,0.04733106255709994,0.04991207796824072,9.026482506002322,-33.419363485428086,-33.697675602860436,0.024184323218944044,0.8158602912022678,0.26578677648953225,0.00025006251562890725,schedule_informed_candidate,25,0.04738570411405721,0.42451652830328307,0.0014778095766382598,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear,sqrt_drop_projected_kappa
0.0031360955249893426,-32.049097326723384,(total positive LR drop / peak LR) * kappa_cos,0.899775,3998.9999999999995,0.00469459063787412,-0.00469459063787412,0.04263647191922582,0.9008137492748955,0.04733106255709994,0.04991207796824072,9.026482506002322,-33.419363485428086,-33.697675602860436,0.024184323218944044,0.8158602912022678,0.26578677648953225,0.00025006251562890725,stronger_schedule_scaling,25,0.04738570411405721,0.42451652830328307,0.0014778095766382598,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear,drop_projected_kappa
0.0031360955249893426,251.06741068346824,cosine residual without MPL-LD projection,0.899775,3998.9999999999995,0.3771854657461831,0.3771854657461831,0.42451652830328307,8.969089333060051,0.04733106255709994,0.04991207796824072,9.026482506002322,-33.419363485428086,-33.697675602860436,0.024184323218944044,0.8158602912022678,0.26578677648953225,0.00025006251562890725,negative_control_no_nuisance_projection,25,0.04738570411405721,0.42451652830328307,0.0014778095766382598,1.0,0.8168498168498168,wsdld_20000_24000.csv,WSD linear,raw_cosine_no_projection
