model,scale,optimizer,run_id,objective,param_name,value
tissue,100,lbfgsb,0,0.000748683298455348,L0,1.2265442992576112
tissue,100,lbfgsb,0,0.000748683298455348,A,2.0478785443533516
tissue,100,lbfgsb,0,0.000748683298455348,alpha,0.12843796288890422
tissue,100,lbfgsb,0,0.000748683298455348,C,47.301183940566375
tissue,100,lbfgsb,0,0.000748683298455348,lam,0.9
tissue,100,adamw,0,0.007381616658827115,L0,2.4416781201518547
tissue,100,adamw,0,0.007381616658827115,A,0.021123891866838822
tissue,100,adamw,0,0.007381616658827115,alpha,0.54405213229022
tissue,100,adamw,0,0.007381616658827115,C,99.05547414653623
tissue,100,adamw,0,0.007381616658827115,lam,0.9618212552167115
mpl,100,lbfgsb,0,0.00038145255582952705,L0,2.6965381548410283
mpl,100,lbfgsb,0,0.00038145255582952705,A,0.5931454467822432
mpl,100,lbfgsb,0,0.00038145255582952705,alpha,0.4586031087726762
mpl,100,lbfgsb,0,0.00038145255582952705,B,300.5581814152272
mpl,100,lbfgsb,0,0.00038145255582952705,C,4.3033784482213475
mpl,100,lbfgsb,0,0.00038145255582952705,beta,5.0
mpl,100,lbfgsb,0,0.00038145255582952705,gamma,5.0
mpl,100,adamw,0,0.0005488750640304425,L0,2.7562549763193664
mpl,100,adamw,0,0.0005488750640304425,A,0.5254605316117533
mpl,100,adamw,0,0.0005488750640304425,alpha,0.5527806714971496
mpl,100,adamw,0,0.0005488750640304425,B,296.5645499008808
mpl,100,adamw,0,0.0005488750640304425,C,1.5458421752623213
mpl,100,adamw,0,0.0005488750640304425,beta,0.5308997043113275
mpl,100,adamw,0,0.0005488750640304425,gamma,0.5590191481515725
