adiabatic_factor,backbone_train,base_mae,base_vs_official_baseline_pct,cooldown_support_span,corr_mae,corr_vs_official_baseline_pct,delta_obs,delta_vs_own_baseline_pct,effective_tau_steps,group,nonharm_vs_own_baseline,protocol,scale,test_curve,test_label,win_vs_own_baseline
0.8168498168498168,official_public_split,0.003408385839825258,0.0,4000.0,0.0028126899175170404,-17.477361727883423,128.0,-17.477361727883423,256.0,core_wsd,1,frozen_official,25,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,official_public_split,0.0031360955249893426,0.0,4000.0,0.002528403286744869,-19.377351021427792,128.0,-19.377351021427792,256.0,core_wsd,1,frozen_official,25,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,official_public_split,0.004487187642230267,0.0,2.0,0.003946790390501208,-12.043116865522151,128.0,-12.043116865522151,130.0,core_wsd,1,frozen_official,25,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,official_public_split,0.002926482771138891,0.0,2.0,0.002641443188221297,-9.740005501780757,128.0,-9.740005501780757,130.0,core_wsd,1,frozen_official,25,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,official_public_split,0.002504818961791151,0.0,2.0,0.002293148454145496,-8.450531191056342,128.0,-8.450531191056342,130.0,core_wsd,1,frozen_official,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0,official_public_split,0.004428106847791531,0.0,21840.0,0.004428106847791531,0.0,128.0,0.0,256.0,extra_control,1,frozen_official,25,cosine_24000.csv,Cosine 24k,0
1.0,official_public_split,0.003761619732988638,0.0,0.0,0.003761619732988638,0.0,128.0,0.0,128.0,extra_control,1,frozen_official,25,constant_24000.csv,Constant 24k,0
1.0,official_public_split,0.0015795124507172926,0.0,0.0,0.0015795124507172926,0.0,128.0,0.0,128.0,extra_control,1,frozen_official,25,constant_72000.csv,Constant 72k,0
0.8168498168498168,cosine_24000+cosine_72000,0.004303325702859985,26.256999796731016,4000.0,0.0038679303904694848,13.482761994686232,128.0,-10.11764719786692,256.0,core_wsd,1,cosine_only,25,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,cosine_24000+cosine_72000,0.003860602372604268,23.102193215794586,4000.0,0.0035502948095588877,13.207483039629441,128.0,-8.037801697667568,256.0,core_wsd,1,cosine_only,25,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,cosine_24000+cosine_72000,0.008591406057766149,91.46527274477788,2.0,0.0075821740623842615,68.97385772384801,128.0,-11.746994480252715,130.0,core_wsd,1,cosine_only,25,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,cosine_24000+cosine_72000,0.006052212378600692,106.80840626460855,2.0,0.005267254164371999,79.98582517956044,128.0,-12.969773119729478,130.0,core_wsd,1,cosine_only,25,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,cosine_24000+cosine_72000,0.004134387912738256,65.0573544757035,2.0,0.0036858403592527995,47.149970336264204,128.0,-10.849188875176885,130.0,core_wsd,1,cosine_only,25,wsdcon_18.csv,WSD-con 18e-5,1
0.0,cosine_24000+cosine_72000,0.005143481872344928,16.155324366443025,21840.0,0.005143481872344928,16.155324366443025,128.0,0.0,256.0,extra_control,1,cosine_only,25,cosine_24000.csv,Cosine 24k,0
1.0,cosine_24000+cosine_72000,0.0027829504099139567,-26.017231739081726,0.0,0.0027829504099139567,-26.017231739081726,128.0,0.0,128.0,extra_control,1,cosine_only,25,constant_24000.csv,Constant 24k,0
1.0,cosine_24000+cosine_72000,0.009323393150473466,490.27031703608924,0.0,0.009323393150473466,490.27031703608924,128.0,0.0,128.0,extra_control,1,cosine_only,25,constant_72000.csv,Constant 72k,0
0.8168498168498168,official_public_split,0.0037480705220761528,0.0,4000.0,0.002957866925660198,-21.08294365758733,128.0,-21.08294365758733,256.0,core_wsd,1,frozen_official,100,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,official_public_split,0.003248313740665229,0.0,4000.0,0.0025059266490955086,-22.85453779528345,128.0,-22.85453779528345,256.0,core_wsd,1,frozen_official,100,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,official_public_split,0.0056693997340904675,0.0,2.0,0.005041396816968526,-11.077061886212036,128.0,-11.077061886212036,130.0,core_wsd,1,frozen_official,100,wsdcon_3.csv,WSD-con 3e-5,1
0.9998554913294798,official_public_split,0.004934623402238123,0.0,2.0,0.004624132743663764,-6.2920841828281056,128.0,-6.2920841828281056,130.0,core_wsd,1,frozen_official,100,wsdcon_9.csv,WSD-con 9e-5,1
0.9998554913294798,official_public_split,0.0013816404339982303,0.0,2.0,0.0012653245996598833,-8.41867619650859,128.0,-8.41867619650859,130.0,core_wsd,1,frozen_official,100,wsdcon_18.csv,WSD-con 18e-5,1
0.0,official_public_split,0.0032781062167547585,0.0,21840.0,0.0032781062167547585,0.0,128.0,0.0,256.0,extra_control,1,frozen_official,100,cosine_24000.csv,Cosine 24k,0
1.0,official_public_split,0.001848699219840022,0.0,0.0,0.001848699219840022,0.0,128.0,0.0,128.0,extra_control,1,frozen_official,100,constant_24000.csv,Constant 24k,0
1.0,official_public_split,0.004776169698442608,0.0,0.0,0.004776169698442608,0.0,128.0,0.0,128.0,extra_control,1,frozen_official,100,constant_72000.csv,Constant 72k,0
0.8168498168498168,cosine_24000+cosine_72000,0.004344890305179187,15.923387235852783,4000.0,0.0037096290736746747,-1.025633007038096,128.0,-14.62088077913658,256.0,core_wsd,1,cosine_only,100,wsd_20000_24000.csv,WSD sharp,1
0.8168498168498168,cosine_24000+cosine_72000,0.0036178807709199698,11.37719628581988,4000.0,0.0031121022330180275,-4.19329900132449,128.0,-13.979967000773518,256.0,core_wsd,1,cosine_only,100,wsdld_20000_24000.csv,WSD linear,1
0.9998554913294798,cosine_24000+cosine_72000,0.007928074250295227,39.83974710097091,2.0,0.007014339960692616,23.722797644959414,128.0,-11.525299344523487,130.0,core_wsd,1,cosine_only,100,wsdcon_3.csv,WSD-con 3e-5,1
