scale,scheme,curve,mae,rmse,mape,best_loss
25,equal_1_1_1,constant_72000.csv,0.00157954477609431,0.0018837333733256517,0.0004689116033519304,0.0002786183721750816
25,equal_1_1_1,cosine_72000.csv,0.00744444570610409,0.008010402245134832,0.0022394541894598307,0.0002786183721750816
25,equal_1_1_1,wsd_20000_24000.csv,0.0034076874436141467,0.004296753319278532,0.0009985900184694514,0.0002786183721750816
25,equal_1_1_1,wsdld_20000_24000.csv,0.0031353852555964625,0.0038269134288983543,0.0009150324632583721,0.0002786183721750816
25,equal_1_1_1,wsdcon_3.csv,0.004487155659262821,0.006779201710698755,0.0012851415880233915,0.0002786183721750816
25,equal_1_1_1,wsdcon_18.csv,0.0025044364080702482,0.0031120189800905576,0.0007054562100371391,0.0002786183721750816
25,constant_wsdcon_1_3_3,constant_72000.csv,0.003351948299698261,0.003926130436107713,0.001010363184793133,0.00023356501814349994
25,constant_wsdcon_1_3_3,cosine_72000.csv,0.004240361152944558,0.004833918917898065,0.0012702063873354964,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsd_20000_24000.csv,0.0019062399412659355,0.0026367496143755945,0.0005456108613546073,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsdld_20000_24000.csv,0.0017157522907357164,0.002406463445563769,0.0004875523706810146,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsdcon_3.csv,0.004339385684426573,0.005526750678985017,0.001233477561155402,0.00023356501814349994
25,constant_wsdcon_1_3_3,wsdcon_18.csv,0.002199015362664321,0.0028792385946033857,0.000607554672351739,0.00023356501814349994
25,constant_wsdcon_1_4_4,constant_72000.csv,0.002837488229183503,0.003309477920661853,0.0008545572703217074,0.00022454251257053598
25,constant_wsdcon_1_4_4,cosine_72000.csv,0.004997952541377231,0.0056466686300673825,0.0014928715654546152,0.00022454251257053598
25,constant_wsdcon_1_4_4,wsd_20000_24000.csv,0.002327148184472804,0.002796295784749339,0.0006745865023133541,0.00022454251257053598
25,constant_wsdcon_1_4_4,wsdld_20000_24000.csv,0.0021551441194642383,0.0025492578615059084,0.000621935990860196,0.00022454251257053598
25,constant_wsdcon_1_4_4,wsdcon_3.csv,0.003919329571480734,0.005323950751611698,0.0011195531439458894,0.00022454251257053598
25,constant_wsdcon_1_4_4,wsdcon_18.csv,0.0018619590530929958,0.0024972649026247062,0.0005174053459254303,0.00022454251257053598
25,constant_wsdcon_1_2_2,constant_72000.csv,0.0030543961697600515,0.0036046782301097117,0.0009185445452956796,0.0002478058281799983
25,constant_wsdcon_1_2_2,cosine_72000.csv,0.004597534903001005,0.00526669838574318,0.0013799150615869276,0.0002478058281799983
25,constant_wsdcon_1_2_2,wsd_20000_24000.csv,0.002139042553140092,0.0029836228218402113,0.0006118868695467488,0.0002478058281799983
25,constant_wsdcon_1_2_2,wsdld_20000_24000.csv,0.001934755691890967,0.002731426742076765,0.0005495588876500084,0.0002478058281799983
25,constant_wsdcon_1_2_2,wsdcon_3.csv,0.00442575843654659,0.0055603908638574805,0.0012536165758558829,0.0002478058281799983
25,constant_wsdcon_1_2_2,wsdcon_18.csv,0.0023013760574832408,0.003138473033356446,0.0006323833057628109,0.0002478058281799983
25,constant_wsdcon_1_2_4,constant_72000.csv,0.0022374548737150403,0.002581418076070815,0.0006691477763516602,0.00023902463005325312
25,constant_wsdcon_1_2_4,cosine_72000.csv,0.006151301473812088,0.006907180828131047,0.00183675157738785,0.00023902463005325312
25,constant_wsdcon_1_2_4,wsd_20000_24000.csv,0.0033430781093395315,0.0038106905569698568,0.0009769219698098327,0.00023902463005325312
25,constant_wsdcon_1_2_4,wsdld_20000_24000.csv,0.003164591081552605,0.0035483306558236247,0.0009219898316261985,0.00023902463005325312
25,constant_wsdcon_1_2_4,wsdcon_3.csv,0.004044877044056539,0.005875052071846908,0.001159863937631373,0.00023902463005325312
25,constant_wsdcon_1_2_4,wsdcon_18.csv,0.002380592044142415,0.0030127721988595186,0.0006725718775456849,0.00023902463005325312
25,constant_wsdcon_1_4_2,constant_72000.csv,0.0026631029949137795,0.0031439771871580695,0.0007996914057917057,0.0002288164903628913
25,constant_wsdcon_1_4_2,cosine_72000.csv,0.00484036187125685,0.005503217997453696,0.0014509392176705895,0.0002288164903628913
25,constant_wsdcon_1_4_2,wsd_20000_24000.csv,0.0022576914522202105,0.00288410471859269,0.0006481985886758837,0.0002288164903628913
25,constant_wsdcon_1_4_2,wsdld_20000_24000.csv,0.0020941109083204893,0.0026727953732785144,0.0005981323678046719,0.0002288164903628913
25,constant_wsdcon_1_4_2,wsdcon_3.csv,0.004195775939840584,0.0052584105117573715,0.001190450924830634,0.0002288164903628913
25,constant_wsdcon_1_4_2,wsdcon_18.csv,0.0021213523223935146,0.0029044815627285348,0.0005833879457194242,0.0002288164903628913
100,equal_1_1_1,constant_72000.csv,0.00477632119245767,0.005665149684685136,0.0015839931370911055,0.0002750658257182462
100,equal_1_1_1,cosine_72000.csv,0.007265216429381582,0.008208896198970797,0.0024508002805512666,0.0002750658257182462
100,equal_1_1_1,wsd_20000_24000.csv,0.0037481729251781586,0.0059154018505415094,0.0012262371147146785,0.0002750658257182462
100,equal_1_1_1,wsdld_20000_24000.csv,0.003248417990260636,0.004923543151914954,0.0010564415584443836,0.0002750658257182462
100,equal_1_1_1,wsdcon_3.csv,0.005669456664023281,0.008895902453919885,0.0018060897896965689,0.0002750658257182462
100,equal_1_1_1,wsdcon_18.csv,0.001381676567853054,0.0019048501903575878,0.0004256499008103849,0.0002750658257182462
100,constant_wsdcon_1_3_3,constant_72000.csv,0.0033128058769495406,0.0042035482963962935,0.0010931680692578129,0.00024054090244148598
100,constant_wsdcon_1_3_3,cosine_72000.csv,0.006253150059050567,0.007176119179496977,0.002106251748255585,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsd_20000_24000.csv,0.0031587932392607167,0.005038386199063452,0.0010298042621593052,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsdld_20000_24000.csv,0.00269935846554759,0.0041288173657121514,0.0008739044790416491,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsdcon_3.csv,0.005339862902974197,0.007920180435311328,0.0016986322620489032,0.00024054090244148598
100,constant_wsdcon_1_3_3,wsdcon_18.csv,0.0014423100780277848,0.0018415663330312822,0.00044303205230854275,0.00024054090244148598
100,constant_wsdcon_1_4_4,constant_72000.csv,0.0029198019857533575,0.003852205973633561,0.0009601608715439012,0.00022963900235611667
100,constant_wsdcon_1_4_4,cosine_72000.csv,0.005996465313517257,0.006927010403806946,0.0020201949815725094,0.00022963900235611667
100,constant_wsdcon_1_4_4,wsd_20000_24000.csv,0.002870947124051571,0.0047600975532979106,0.0009366479469877453,0.00022963900235611667
100,constant_wsdcon_1_4_4,wsdld_20000_24000.csv,0.0024209254534326026,0.0038655432915115626,0.000784020007781093,0.00022963900235611667
100,constant_wsdcon_1_4_4,wsdcon_3.csv,0.005126834230180876,0.00757524910720471,0.0016317709722952827,0.00022963900235611667
100,constant_wsdcon_1_4_4,wsdcon_18.csv,0.001390228049711645,0.001767206512987187,0.0004276686442258914,0.00022963900235611667
100,constant_wsdcon_1_2_2,constant_72000.csv,0.004651226363720003,0.005994162120174317,0.0014913114848902004,0.00041655453294094926
100,constant_wsdcon_1_2_2,cosine_72000.csv,0.003230096511128113,0.0038794725763719434,0.0010683842898383904,0.00041655453294094926
100,constant_wsdcon_1_2_2,wsd_20000_24000.csv,0.004988788628390542,0.0056059487233901684,0.0015485521950510442,0.00041655453294094926
100,constant_wsdcon_1_2_2,wsdld_20000_24000.csv,0.005125891840604415,0.005655420840174505,0.0015936224844080023,0.00041655453294094926
100,constant_wsdcon_1_2_2,wsdcon_3.csv,0.008931682018686039,0.01033300096584552,0.0028000261438295006,0.00041655453294094926
100,constant_wsdcon_1_2_2,wsdcon_18.csv,0.0077372676575319,0.008058240562427965,0.0023974151450297226,0.00041655453294094926
100,constant_wsdcon_1_2_4,constant_72000.csv,0.0030244168979465394,0.004147900062924406,0.0009850589352869636,0.00026827186342085775
100,constant_wsdcon_1_2_4,cosine_72000.csv,0.005536179019847242,0.006637181501818412,0.0018708395989960166,0.00026827186342085775
100,constant_wsdcon_1_2_4,wsd_20000_24000.csv,0.0027118450305255743,0.004946496598842335,0.0008832932017313564,0.00026827186342085775
100,constant_wsdcon_1_2_4,wsdld_20000_24000.csv,0.0022038744029491066,0.0039625268945532085,0.000711352331624558,0.00026827186342085775
100,constant_wsdcon_1_2_4,wsdcon_3.csv,0.005461427431768136,0.00816862722056539,0.0017340094124770594,0.00026827186342085775
100,constant_wsdcon_1_2_4,wsdcon_18.csv,0.0018526748220909098,0.0023078192370023275,0.0005706904770432588,0.00026827186342085775
100,constant_wsdcon_1_4_2,constant_72000.csv,0.008921169664427254,0.009142930566892643,0.002959234113356658,0.00010755649678381584
100,constant_wsdcon_1_4_2,cosine_72000.csv,0.02084982234691234,0.02196951543221243,0.0070532913891254365,0.00010755649678381584
100,constant_wsdcon_1_4_2,wsd_20000_24000.csv,0.009873857598037722,0.010442754256718199,0.003152143653042995,0.00010755649678381584
