base_mae,corr_mae,delta_pct,kappa,mode,scale,test_curve,test_label,train_curve,train_label,win
0.00744534704076948,0.007377173118236306,-0.9156580903464273,0.0060004790851013465,other_curves_tau,25,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,1
0.003408385839825258,0.0032214280208074527,-5.485230481634384,0.0060004790851013465,other_curves_tau,25,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.0031360955249893426,0.0030015612569783494,-4.289865118552161,0.0060004790851013465,other_curves_tau,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.004487187642230267,0.003597729647000099,-19.822170725806355,0.0060004790851013465,other_curves_tau,25,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
0.002926482771138891,0.002608108855114396,-10.879063398708965,0.0060004790851013465,other_curves_tau,25,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
0.002504818961791151,0.0023820453684689218,-4.901495684719503,0.0060004790851013465,other_curves_tau,25,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
0.007265129575917493,0.007164355041804461,-1.3870989231503872,0.008872855850635438,other_curves_tau,100,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,1
0.0037480705220761528,0.003473234316665091,-7.33273837277808,0.008872855850635438,other_curves_tau,100,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.003248313740665229,0.0030505424577515414,-6.08842921906877,0.008872855850635438,other_curves_tau,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.0056693997340904675,0.0048131288779517485,-15.103377717219457,0.008872855850635438,other_curves_tau,100,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
0.004934623402238123,0.004688583451763725,-4.985992454111199,0.008872855850635438,other_curves_tau,100,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
0.0013816404339982303,0.0012636650187828917,-8.538792895191849,0.008872855850635438,other_curves_tau,100,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
0.005612615040270773,0.005612615040270773,0.0,0.0,other_curves_tau,400,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0
0.004701998914275349,0.004701998914275349,0.0,0.0,other_curves_tau,400,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,0
