max_kappa,mean_delta_pct,mean_kappa,mode,test_curve,test_label,tests,train_curve,train_label,wins
0.027876019715167843,-9.959964174900398,0.022228445457164996,other_curves_tau,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.027876019715167843,-12.146967095607742,0.022228445457164996,other_curves_tau,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.01169129555833696,-1.0114072739386397,0.00653260376737982,train_only_tau,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
0.01169129555833696,-5.629854500707798,0.00653260376737982,train_only_tau,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
0.01169129555833696,-4.55831089542803,0.00653260376737982,train_only_tau,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
0.01169129555833696,-14.49148866751761,0.00653260376737982,train_only_tau,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
0.01169129555833696,-6.55430411889791,0.00653260376737982,train_only_tau,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
0.01169129555833696,-5.728264219381018,0.00653260376737982,train_only_tau,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
0.049636215126269034,-4.422696252808627,0.03150919156010149,train_only_tau,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
0.049636215126269034,-23.79650594577394,0.03150919156010149,train_only_tau,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
0.049636215126269034,-20.071149510470608,0.03150919156010149,train_only_tau,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
0.049636215126269034,-26.808430465060734,0.03150919156010149,train_only_tau,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.049636215126269034,-8.14409064943787,0.03150919156010149,train_only_tau,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
0.049636215126269034,-7.107718379539815,0.03150919156010149,train_only_tau,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.05498916147322445,-4.986638253000689,0.03563145595706579,train_only_tau,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
0.05498916147322445,-27.00595831319933,0.03563145595706579,train_only_tau,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
0.05498916147322445,-22.75155677049284,0.03563145595706579,train_only_tau,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
0.05498916147322445,-20.014198701532788,0.03563145595706579,train_only_tau,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
0.05498916147322445,-3.2606173292420064,0.03563145595706579,train_only_tau,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
0.05498916147322445,-5.555583269866285,0.03563145595706579,train_only_tau,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,2
0.02620046129192558,-2.709186946517827,0.01876780161304308,train_only_tau,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
0.02620046129192558,-14.477367085096448,0.01876780161304308,train_only_tau,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
0.02620046129192558,-12.097240582927794,0.01876780161304308,train_only_tau,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
0.02620046129192558,-30.480301096121366,0.01876780161304308,train_only_tau,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.02620046129192558,-11.961228315379865,0.01876780161304308,train_only_tau,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.02620046129192558,-9.624578282211141,0.01876780161304308,train_only_tau,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.029200123464588616,-2.877930524448217,0.020041562347913763,train_only_tau,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
0.029200123464588616,-15.38182066543881,0.020041562347913763,train_only_tau,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
0.029200123464588616,-12.872047440917468,0.020041562347913763,train_only_tau,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
0.029200123464588616,-31.39515178043207,0.020041562347913763,train_only_tau,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.029200123464588616,-12.167048578980461,0.020041562347913763,train_only_tau,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.029200123464588616,-9.86427898556441,0.020041562347913763,train_only_tau,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.027697500098823703,-3.2018162999484048,0.022084621257425302,train_only_tau,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
0.027697500098823703,-17.39653104462899,0.022084621257425302,train_only_tau,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
0.027697500098823703,-14.406242848700066,0.022084621257425302,train_only_tau,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
0.027697500098823703,-29.61499543049624,0.022084621257425302,train_only_tau,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.027697500098823703,-10.072889656959033,0.022084621257425302,train_only_tau,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
0.027697500098823703,-12.102244040313337,0.022084621257425302,train_only_tau,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
