kappa,mode,reliable_n,retention,scale,tau,train_curve,train_label
0.0060004790851013465,other_curves_tau,15,0.030521552634579834,25,0.030898198785299612,cosine_72000.csv,Cosine
0.008872855850635438,other_curves_tau,15,0.030521552634579834,100,0.030898198785299612,cosine_72000.csv,Cosine
0.0,other_curves_tau,15,0.03064561373023567,400,0.030898198785299612,cosine_72000.csv,Cosine
0.016941554704404626,other_curves_tau,12,0.18600000963731753,25,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.02672099323774187,other_curves_tau,12,0.19446912064096752,100,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.04828972806831262,other_curves_tau,12,0.19103269631809874,400,0.07351091520805572,wsd_20000_24000.csv,WSD sharp
0.020363296999888605,other_curves_tau,12,0.20518042801494696,25,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.02933539389382345,other_curves_tau,12,0.21295494892368566,100,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.05271901553143667,other_curves_tau,12,0.21001940528935797,400,0.07506249912819138,wsdld_20000_24000.csv,WSD linear
0.013164132074861909,other_curves_tau,12,0.3658893468630305,25,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.017117152863536645,other_curves_tau,12,0.3617608660639815,100,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.026355400498795593,other_curves_tau,12,0.3617608660639815,400,0.02145866287055983,wsdcon_3.csv,WSD-con 3e-5
0.014100234638063053,other_curves_tau,12,0.6456084819189877,25,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.01803053339126788,other_curves_tau,12,0.6716357435070672,100,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.030319283291837206,other_curves_tau,12,0.6716357435070672,400,0.02145866287055983,wsdcon_9.csv,WSD-con 9e-5
0.022089066343158444,other_curves_tau,12,0.801642156408999,25,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.016720250313168705,other_curves_tau,12,0.8269250945987962,100,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.027876019715167843,other_curves_tau,12,0.8269250945987962,400,0.03560141728027274,wsdcon_18.csv,WSD-con 18e-5
0.007906515743802498,train_only_tau,0,0.030521552634579834,25,0.005,cosine_72000.csv,Cosine
0.01169129555833696,train_only_tau,0,0.030521552634579834,100,0.005,cosine_72000.csv,Cosine
0.0,train_only_tau,0,0.03064561373023567,400,0.005,cosine_72000.csv,Cosine
0.01743137948015631,train_only_tau,3,0.18600000963731753,25,0.0178594561824556,wsd_20000_24000.csv,WSD sharp
0.027459980073879144,train_only_tau,3,0.19446912064096752,100,0.0178594561824556,wsd_20000_24000.csv,WSD sharp
0.049636215126269034,train_only_tau,3,0.19103269631809874,400,0.0178594561824556,wsd_20000_24000.csv,WSD sharp
0.021287246297632033,train_only_tau,3,0.20518042801494696,25,0.017151355509073835,wsdld_20000_24000.csv,WSD linear
0.030617960100340864,train_only_tau,3,0.21295494892368566,100,0.017151355509073835,wsdld_20000_24000.csv,WSD linear
0.05498916147322445,train_only_tau,3,0.21001940528935797,400,0.017151355509073835,wsdld_20000_24000.csv,WSD linear
0.013086419702325653,train_only_tau,3,0.3658893468630305,25,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5
0.01701652384487801,train_only_tau,3,0.3617608660639815,100,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5
0.02620046129192558,train_only_tau,3,0.3617608660639815,400,0.15400686103307354,wsdcon_3.csv,WSD-con 3e-5
0.013559581825142787,train_only_tau,3,0.6456084819189877,25,0.24854202963962643,wsdcon_9.csv,WSD-con 9e-5
0.017364981754009884,train_only_tau,3,0.6716357435070672,100,0.24854202963962643,wsdcon_9.csv,WSD-con 9e-5
0.029200123464588616,train_only_tau,3,0.6716357435070672,400,0.24854202963962643,wsdcon_9.csv,WSD-con 9e-5
0.021943190794636896,train_only_tau,3,0.801642156408999,25,0.05987715311021637,wsdcon_18.csv,WSD-con 18e-5
0.016613172878815308,train_only_tau,3,0.8269250945987962,100,0.05987715311021637,wsdcon_18.csv,WSD-con 18e-5
0.027697500098823703,train_only_tau,3,0.8269250945987962,400,0.05987715311021637,wsdcon_18.csv,WSD-con 18e-5
