basis_dim,block_label,coef,config,denominator,end,experiment,lambda,mask_step_max,mask_step_min,mode,n_cal,ridge,source_dot,source_full_norm,source_perp_norm,source_retention,start,test_curve,test_label,too_few_points,train_scale
4.0,,0.32904826814368787,suffix_ge_2160,0.007697431615632763,,prefix_start_sweep,9.026941864314445,71920,2160,suffix,546.0,0.0018315018315018315,0.00253282654227843,0.34186818239042904,0.07658935816502793,0.050190265630833356,2160,wsd_20000_24000.csv,WSD sharp,0.0,25
4.0,,0.3290411503820812,suffix_ge_2160,0.007697889928533963,,prefix_start_sweep,9.026482506002322,71920,2160,suffix,546.0,0.0018315018315018315,0.002532922557599452,0.3418857108932003,0.07659235012083211,0.05018904027651736,2160,wsdld_20000_24000.csv,WSD linear,0.0,25
4.0,,0.38805320376187463,suffix_ge_2160,0.003775717862314197,,prefix_start_sweep,18.05070782708191,71920,2160,suffix,546.0,0.0018315018315018315,0.001465179412971961,0.16976091450824993,0.0440932651412023,0.06746353710974382,2160,wsdcon_3.csv,WSD-con 3e-5,0.0,25
4.0,,0.38805320376187463,suffix_ge_2160,0.003775717862314197,,prefix_start_sweep,18.05070782708191,71920,2160,suffix,546.0,0.0018315018315018315,0.001465179412971961,0.16976091450824993,0.0440932651412023,0.06746353710974382,2160,wsdcon_9.csv,WSD-con 9e-5,0.0,25
4.0,,0.38805320376187463,suffix_ge_2160,0.003775717862314197,,prefix_start_sweep,18.05070782708191,71920,2160,suffix,546.0,0.0018315018315018315,0.001465179412971961,0.16976091450824993,0.0440932651412023,0.06746353710974382,2160,wsdcon_18.csv,WSD-con 18e-5,0.0,25
4.0,,0.32902761115393514,suffix_ge_2160,0.007698761770978349,,prefix_start_sweep,9.02560883338251,71920,2160,suffix,546.0,0.0018315018315018315,0.0025331051943482453,0.34191905398317995,0.07659804135535397,0.05018670960278536,2160,cosine_24000.csv,Cosine 24k,0.0,25
4.0,,0.3290236602728021,suffix_ge_2160,0.007699016195884253,,prefix_start_sweep,9.025353913540956,71920,2160,suffix,546.0,0.0018315018315018315,0.0025331584892694216,0.34192878402800847,0.07659970211679952,0.050186029529723446,2160,constant_24000.csv,Constant 24k,0.0,25
4.0,,0.3290236602728021,suffix_ge_2160,0.007699016195884253,,prefix_start_sweep,9.025353913540956,71920,2160,suffix,546.0,0.0018315018315018315,0.0025331584892694216,0.34192878402800847,0.07659970211679952,0.050186029529723446,2160,constant_72000.csv,Constant 72k,0.0,25
4.0,,0.5221978918115677,suffix_ge_2160,0.007568374807811756,,prefix_start_sweep,9.026941864314445,71920,2160,suffix,546.0,0.0018315018315018315,0.003952189369079078,0.34186818239042904,0.07574214795151986,0.04908602543288093,2160,wsd_20000_24000.csv,WSD sharp,0.0,100
4.0,,0.5221882486318128,suffix_ge_2160,0.00756882250326248,,prefix_start_sweep,9.026482506002322,71920,2160,suffix,546.0,0.0018315018315018315,0.003952350167183687,0.3418857108932003,0.0757451032856953,0.04908482246852509,2160,wsdld_20000_24000.csv,WSD linear,0.0,100
