best_delta,block_label,config,end,experiment,group,mean_coef,mean_delta,mean_delta_vs_suffix8k,mean_n_cal,mean_source_retention,median_delta,mode,nonharm,reference_config,rows,split,start,wins,wins_vs_suffix8k,worst_delta,worst_delta_vs_suffix8k
-18.51680990432082,,suffix_ge_10000,,prefix_start_sweep,core_wsd,0.012094759088368238,-8.538351901089193,21.343857728833843,484.0,0.00045777788745999994,-7.831010619086854,suffix,15,,15,same_scale,10000,15,0,-1.3678095474313534,3.297377245304078
-22.50732966910999,,suffix_ge_10000,,prefix_start_sweep,core_wsd,0.01209475908836824,-9.25499803276922,15.69284970311564,484.0,0.00045777788746,-8.345236665983151,suffix,30,,30,cross_scale,10000,30,0,-1.1432961505103534,2.009499084788391
0.0,,suffix_ge_10000,,prefix_start_sweep,extra_control,0.022998477745047072,0.0,0.0,484.0,0.0004329848391364257,0.0,suffix,27,,27,all,10000,0,0,0.0,0.0
0.0,,suffix_ge_10000,,prefix_start_sweep,extra_control,0.02299847774504707,0.0,0.0,484.0,0.00043298483913642574,0.0,suffix,9,,9,same_scale,10000,0,0,0.0,0.0
0.0,,suffix_ge_10000,,prefix_start_sweep,extra_control,0.022998477745047072,0.0,0.0,484.0,0.0004329848391364257,0.0,suffix,18,,18,cross_scale,10000,0,0,0.0,0.0
-7.220642579213942,,suffix_ge_12000,,prefix_start_sweep,core_wsd,0.002396798250448166,-1.5519932411742698,25.040641792723324,469.0,0.0002852823419303946,0.0,suffix,45,,45,all,12000,18,-27,0.0,3.1527952352987443
-5.24852773976604,,suffix_ge_12000,,prefix_start_sweep,core_wsd,0.002396798250448166,-1.4901887194784171,28.392020910444618,469.0,0.0002852823419303947,0.0,suffix,15,,15,same_scale,12000,6,-9,0.0,4.665186792735431
-7.220642579213942,,suffix_ge_12000,,prefix_start_sweep,core_wsd,0.0023967982504481664,-1.5828955020221964,23.364952233862663,469.0,0.0002852823419303946,0.0,suffix,30,,30,cross_scale,12000,12,-18,0.0,3.1527952352987443
0.0,,suffix_ge_12000,,prefix_start_sweep,extra_control,0.005994948165792983,0.0,0.0,469.0,0.00020695163595738813,0.0,suffix,27,,27,all,12000,0,0,0.0,0.0
0.0,,suffix_ge_12000,,prefix_start_sweep,extra_control,0.005994948165792983,0.0,0.0,469.0,0.00020695163595738818,0.0,suffix,9,,9,same_scale,12000,0,0,0.0,0.0
0.0,,suffix_ge_12000,,prefix_start_sweep,extra_control,0.005994948165792981,0.0,0.0,469.0,0.00020695163595738818,0.0,suffix,18,,18,cross_scale,12000,0,0,0.0,0.0
-0.5200361802994657,,suffix_ge_16000,,prefix_start_sweep,core_wsd,8.537631742173053e-05,-0.055282491619926946,26.537352542277667,437.3333333333333,0.0002481604481072325,0.0,suffix,45,,45,all,16000,6,-39,0.0,3.1527952352987443
-0.3780029669163243,,suffix_ge_16000,,prefix_start_sweep,core_wsd,8.537631742173053e-05,-0.04712151301048184,29.835088116912555,437.3333333333333,0.00024816044810723245,0.0,suffix,15,,15,same_scale,16000,2,-13,0.0,4.665186792735431
-0.5200361802994657,,suffix_ge_16000,,prefix_start_sweep,core_wsd,8.537631742173053e-05,-0.0593629809246495,24.88848475496021,437.3333333333333,0.0002481604481072325,0.0,suffix,30,,30,cross_scale,16000,4,-26,0.0,3.1527952352987443
0.0,,suffix_ge_16000,,prefix_start_sweep,extra_control,0.00021376773435670542,0.0,0.0,437.3333333333333,0.00013976127459088979,0.0,suffix,27,,27,all,16000,0,0,0.0,0.0
0.0,,suffix_ge_16000,,prefix_start_sweep,extra_control,0.00021376773435670542,0.0,0.0,437.3333333333333,0.00013976127459088976,0.0,suffix,9,,9,same_scale,16000,0,0,0.0,0.0
0.0,,suffix_ge_16000,,prefix_start_sweep,extra_control,0.00021376773435670545,0.0,0.0,437.3333333333333,0.00013976127459088979,0.0,suffix,18,,18,cross_scale,16000,0,0,0.0,0.0
-0.7411503841228573,,suffix_ge_20000,,prefix_start_sweep,core_wsd,0.00012434376108284753,-0.08172109509175944,26.510913938805835,406.0,0.00022863844574421398,0.0,suffix,45,,45,all,20000,15,-30,0.0,3.1527952352987443
-0.5387260631907975,,suffix_ge_20000,,prefix_start_sweep,core_wsd,0.0001243437610828475,-0.06914566296917002,29.813063966953866,406.0,0.00022863844574421395,0.0,suffix,15,,15,same_scale,20000,5,-10,0.0,4.665186792735431
-0.7411503841228573,,suffix_ge_20000,,prefix_start_sweep,core_wsd,0.0001243437610828475,-0.08800881115305415,24.859838924731807,406.0,0.00022863844574421398,0.0,suffix,30,,30,cross_scale,20000,10,-20,0.0,3.1527952352987443
0.0,,suffix_ge_20000,,prefix_start_sweep,extra_control,0.0003042285028376132,0.0,0.0,406.0,0.00013736145287046684,0.0,suffix,27,,27,all,20000,0,0,0.0,0.0
0.0,,suffix_ge_20000,,prefix_start_sweep,extra_control,0.0003042285028376132,0.0,0.0,406.0,0.00013736145287046684,0.0,suffix,9,,9,same_scale,20000,0,0,0.0,0.0
0.0,,suffix_ge_20000,,prefix_start_sweep,extra_control,0.0003042285028376132,0.0,0.0,406.0,0.00013736145287046684,0.0,suffix,18,,18,cross_scale,20000,0,0,0.0,0.0
-3.6193233166606054,,suffix_ge_24000,,prefix_start_sweep,core_wsd,0.0006571567839214336,-0.5588058150324171,26.033829218865176,375.0,0.0001848440438118955,-0.2385648516194716,suffix,45,,45,all,24000,30,-15,0.0,3.1527952352987443
-1.8112825433306945,,suffix_ge_24000,,prefix_start_sweep,core_wsd,0.0006571567839214335,-0.43638367708707987,29.445825952835957,375.0,0.0001848440438118955,-0.2691681733225315,suffix,15,,15,same_scale,24000,10,-5,0.0,4.665186792735431
-3.6193233166606054,,suffix_ge_24000,,prefix_start_sweep,core_wsd,0.0006571567839214337,-0.6200168840050857,24.327830851879774,375.0,0.00018484404381189544,-0.22259889624126616,suffix,30,,30,cross_scale,24000,20,-10,0.0,3.1527952352987443
0.0,,suffix_ge_24000,,prefix_start_sweep,extra_control,0.0008964344618686663,0.0,0.0,375.0,0.00011966863981654711,0.0,suffix,27,,27,all,24000,0,0,0.0,0.0
0.0,,suffix_ge_24000,,prefix_start_sweep,extra_control,0.0008964344618686663,0.0,0.0,375.0,0.00011966863981654711,0.0,suffix,9,,9,same_scale,24000,0,0,0.0,0.0
