estimator,scale,train_curve,train_label,tau,sigma,k0,reliable_n
eb_lco_median,25,wsdcon_9.csv,WSD-con 9e-5,0.038889100125092155,0.0016365196771473088,0.042081705976307435,12
eb_lco_median,100,wsdcon_9.csv,WSD-con 9e-5,0.038889100125092155,0.0016365196771473088,0.042081705976307435,12
eb_lco_median,400,wsdcon_9.csv,WSD-con 9e-5,0.038889100125092155,0.0016365196771473088,0.042081705976307435,12
eb_lco_median,25,wsdcon_18.csv,WSD-con 18e-5,0.06451972751327319,0.0027151002028850354,0.042081705976307435,12
eb_lco_median,100,wsdcon_18.csv,WSD-con 18e-5,0.06451972751327319,0.0027151002028850354,0.042081705976307435,12
eb_lco_median,400,wsdcon_18.csv,WSD-con 18e-5,0.06451972751327319,0.0027151002028850354,0.042081705976307435,12
eb_lco_mean,25,cosine_72000.csv,Cosine,0.04403811871161681,0.001953267821735734,0.04435402507828932,15
eb_lco_mean,100,cosine_72000.csv,Cosine,0.04403811871161681,0.001953267821735734,0.04435402507828932,15
eb_lco_mean,400,cosine_72000.csv,Cosine,0.04403811871161681,0.001953267821735734,0.04435402507828932,15
eb_lco_mean,25,wsd_20000_24000.csv,WSD sharp,0.08022221679550921,0.0029480330085347173,0.03674833638728051,12
eb_lco_mean,100,wsd_20000_24000.csv,WSD sharp,0.08022221679550921,0.0029480330085347173,0.03674833638728051,12
eb_lco_mean,400,wsd_20000_24000.csv,WSD sharp,0.08022221679550921,0.0029480330085347173,0.03674833638728051,12
eb_lco_mean,25,wsdld_20000_24000.csv,WSD linear,0.08153856247638723,0.0029480330085347173,0.03615507704576517,12
eb_lco_mean,100,wsdld_20000_24000.csv,WSD linear,0.08153856247638723,0.0029480330085347173,0.03615507704576517,12
eb_lco_mean,400,wsdld_20000_24000.csv,WSD linear,0.08153856247638723,0.0029480330085347173,0.03615507704576517,12
eb_lco_mean,25,wsdcon_3.csv,WSD-con 3e-5,0.03328701766726243,0.0016365196771473088,0.049163902080564446,12
eb_lco_mean,100,wsdcon_3.csv,WSD-con 3e-5,0.03328701766726243,0.0016365196771473088,0.049163902080564446,12
eb_lco_mean,400,wsdcon_3.csv,WSD-con 3e-5,0.03328701766726243,0.0016365196771473088,0.049163902080564446,12
eb_lco_mean,25,wsdcon_9.csv,WSD-con 9e-5,0.03243815629156588,0.0016365196771473088,0.050450452930730035,12
eb_lco_mean,100,wsdcon_9.csv,WSD-con 9e-5,0.03243815629156588,0.0016365196771473088,0.050450452930730035,12
eb_lco_mean,400,wsdcon_9.csv,WSD-con 9e-5,0.03243815629156588,0.0016365196771473088,0.050450452930730035,12
eb_lco_mean,25,wsdcon_18.csv,WSD-con 18e-5,0.05512629996166197,0.0027151002028850354,0.04925235694710644,12
eb_lco_mean,100,wsdcon_18.csv,WSD-con 18e-5,0.05512629996166197,0.0027151002028850354,0.04925235694710644,12
eb_lco_mean,400,wsdcon_18.csv,WSD-con 18e-5,0.05512629996166197,0.0027151002028850354,0.04925235694710644,12
eb_lco_q75,25,cosine_72000.csv,Cosine,0.030898198785299612,0.001953267821735734,0.0632162358494838,15
eb_lco_q75,100,cosine_72000.csv,Cosine,0.030898198785299612,0.001953267821735734,0.0632162358494838,15
eb_lco_q75,400,cosine_72000.csv,Cosine,0.030898198785299612,0.001953267821735734,0.0632162358494838,15
eb_lco_q75,25,wsd_20000_24000.csv,WSD sharp,0.07351091520805572,0.0029480330085347173,0.04010333703764929,12
eb_lco_q75,100,wsd_20000_24000.csv,WSD sharp,0.07351091520805572,0.0029480330085347173,0.04010333703764929,12
eb_lco_q75,400,wsd_20000_24000.csv,WSD sharp,0.07351091520805572,0.0029480330085347173,0.04010333703764929,12
eb_lco_q75,25,wsdld_20000_24000.csv,WSD linear,0.07506249912819138,0.0029480330085347173,0.03927437858816931,12
eb_lco_q75,100,wsdld_20000_24000.csv,WSD linear,0.07506249912819138,0.0029480330085347173,0.03927437858816931,12
eb_lco_q75,400,wsdld_20000_24000.csv,WSD linear,0.07506249912819138,0.0029480330085347173,0.03927437858816931,12
eb_lco_q75,25,wsdcon_3.csv,WSD-con 3e-5,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12
eb_lco_q75,100,wsdcon_3.csv,WSD-con 3e-5,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12
eb_lco_q75,400,wsdcon_3.csv,WSD-con 3e-5,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12
eb_lco_q75,25,wsdcon_9.csv,WSD-con 9e-5,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12
eb_lco_q75,100,wsdcon_9.csv,WSD-con 9e-5,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12
eb_lco_q75,400,wsdcon_9.csv,WSD-con 9e-5,0.02145866287055983,0.0016365196771473088,0.07626382347394668,12
eb_lco_q75,25,wsdcon_18.csv,WSD-con 18e-5,0.03560141728027274,0.0027151002028850354,0.07626382347394668,12
eb_lco_q75,100,wsdcon_18.csv,WSD-con 18e-5,0.03560141728027274,0.0027151002028850354,0.07626382347394668,12
eb_lco_q75,400,wsdcon_18.csv,WSD-con 18e-5,0.03560141728027274,0.0027151002028850354,0.07626382347394668,12
eb_lco_trimmed_mean,25,cosine_72000.csv,Cosine,0.04986417189839674,0.001953267821735734,0.039171768975041106,15
eb_lco_trimmed_mean,100,cosine_72000.csv,Cosine,0.04986417189839674,0.001953267821735734,0.039171768975041106,15
eb_lco_trimmed_mean,400,cosine_72000.csv,Cosine,0.04986417189839674,0.001953267821735734,0.039171768975041106,15
eb_lco_trimmed_mean,25,wsd_20000_24000.csv,WSD sharp,0.10299778649716566,0.0029480330085347173,0.028622294796751213,12
eb_lco_trimmed_mean,100,wsd_20000_24000.csv,WSD sharp,0.10299778649716566,0.0029480330085347173,0.028622294796751213,12
eb_lco_trimmed_mean,400,wsd_20000_24000.csv,WSD sharp,0.10299778649716566,0.0029480330085347173,0.028622294796751213,12
eb_lco_trimmed_mean,25,wsdld_20000_24000.csv,WSD linear,0.10451121253996917,0.0029480330085347173,0.028207815572011227,12
eb_lco_trimmed_mean,100,wsdld_20000_24000.csv,WSD linear,0.10451121253996917,0.0029480330085347173,0.028207815572011227,12
eb_lco_trimmed_mean,400,wsdld_20000_24000.csv,WSD linear,0.10451121253996917,0.0029480330085347173,0.028207815572011227,12
eb_lco_trimmed_mean,25,wsdcon_3.csv,WSD-con 3e-5,0.03682269192346102,0.0016365196771473088,0.044443238439735716,12
eb_lco_trimmed_mean,100,wsdcon_3.csv,WSD-con 3e-5,0.03682269192346102,0.0016365196771473088,0.044443238439735716,12
eb_lco_trimmed_mean,400,wsdcon_3.csv,WSD-con 3e-5,0.03682269192346102,0.0016365196771473088,0.044443238439735716,12
eb_lco_trimmed_mean,25,wsdcon_9.csv,WSD-con 9e-5,0.0356986023950716,0.0016365196771473088,0.04584268199175326,12
eb_lco_trimmed_mean,100,wsdcon_9.csv,WSD-con 9e-5,0.0356986023950716,0.0016365196771473088,0.04584268199175326,12
eb_lco_trimmed_mean,400,wsdcon_9.csv,WSD-con 9e-5,0.0356986023950716,0.0016365196771473088,0.04584268199175326,12
eb_lco_trimmed_mean,25,wsdcon_18.csv,WSD-con 18e-5,0.0609095708588727,0.0027151002028850354,0.04457592073954871,12
eb_lco_trimmed_mean,100,wsdcon_18.csv,WSD-con 18e-5,0.0609095708588727,0.0027151002028850354,0.04457592073954871,12
eb_lco_trimmed_mean,400,wsdcon_18.csv,WSD-con 18e-5,0.0609095708588727,0.0027151002028850354,0.04457592073954871,12
