estimator,worst_offdiag,median_offdiag,mean_offdiag,cosine_to_wsd,wsdcon9_to_wsd
fixed_map_tau_0p03,-0.9772535589153737,-10.856849642925122,-10.85591269363137,-3.261056580690095,-15.437201374600695
eb_lco_q75,-0.9772535589153737,-10.856849642925122,-10.813808424571453,-3.075769616322873,-15.44005241312896
eb_lco_mean,-0.9772535589153737,-10.856849642925122,-10.450558344578669,-1.520543507777572,-15.436214135468484
fixed_map_tau_0p05,-0.9689336887693245,-10.856849642925122,-10.370280915675005,-1.180637707192389,-15.426831662996987
eb_lco_trimmed_mean,-0.9742026024997,-10.856849642925122,-10.369927018592229,-1.1870578351377836,-15.434773676335714
eb_lco_median,-0.6095514948387634,-10.856849642925122,-10.263019986302933,-0.7427334672079419,-15.433230966754003
current_smooth_cap,-0.02555928890361307,-10.856849642925122,-10.096944896851548,-0.0311438195844486,-15.431790755534943
