estimator,scale,train_curve,train_label,test_curve,test_label,kappa,base_mae,corr_mae,delta_pct,win
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.03,0.00744534704076948,0.007104504643522665,-4.577924915795317,1
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.03,0.003408385839825258,0.0024765307546488566,-27.340070313875486,1
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.03,0.0031360955249893426,0.002463477891782212,-21.447613054115,1
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.03,0.004487187642230267,0.004499920167834441,0.28375291205440245,0
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.03,0.002926482771138891,0.0029828555483020704,1.9262979341320818,0
current_smooth_cap,25,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,0.03,0.002504818961791151,0.0019498494402122508,-22.156073155165323,1
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.03,0.007265129575917493,0.006924400945329565,-4.689918149806682,1
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.03,0.0037480705220761528,0.002818822228051241,-24.792711037629502,1
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.03,0.003248313740665229,0.0025796295439096018,-20.585579169415013,1
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.03,0.0056693997340904675,0.004962184624574027,-12.474250232593597,1
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.03,0.004934623402238123,0.0050991892433450816,3.3349219928783036,0
current_smooth_cap,100,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,0.03,0.0013816404339982303,0.0013346454793919133,-3.4013881940557877,1
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,0.03,0.005612615040270773,0.00539085135574248,-3.95116506186739,1
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,0.03,0.004701998914275349,0.0037648535611774924,-19.930786250346998,1
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,0.03,0.0038535563963712593,0.00318024871497847,-17.472371288683263,1
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,0.03,0.008173606778800102,0.005189834252286286,-36.504967846665096,1
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,0.03,0.006687305974578527,0.006139416293167459,-8.192980603756506,1
current_smooth_cap,400,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,0.03,0.0025579541942073844,0.002378562626322739,-7.013087579554256,1
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0.017553420101315147,0.00744534704076948,0.007245915381195732,-2.6786079746410008,1
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.017553420101315147,0.003408385839825258,0.002861471319850766,-16.046144587976908,1
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0.017553420101315147,0.0031360955249893426,0.0027425375288814436,-12.54929873697761,1
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,0.017553420101315147,0.004487187642230267,0.002769108674938167,-38.288547399327456,1
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,0.017553420101315147,0.002926482771138891,0.00219661489529963,-24.940104996935286,1
current_smooth_cap,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,0.017553420101315147,0.002504818961791151,0.002145664895862628,-14.338523917580792,1
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0.021309751201241425,0.007265129575917493,0.007023101497751883,-3.331366297552174,1
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.021309751201241425,0.0037480705220761528,0.003088002190414517,-17.610883460538705,1
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0.021309751201241425,0.003248313740665229,0.0027733306118297493,-14.62245234778975,1
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,0.021309751201241425,0.0056693997340904675,0.004437658053850813,-21.726139238923516,1
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,0.021309751201241425,0.004934623402238123,0.004735745264813883,-4.030259681702109,1
current_smooth_cap,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,0.021309751201241425,0.0013816404339982303,0.0012254406943133281,-11.30538277841847,1
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0.03,0.005612615040270773,0.00539085135574248,-3.95116506186739,1
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,0.03,0.004701998914275349,0.0037648535611774924,-19.930786250346998,1
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,0.03,0.0038535563963712593,0.00318024871497847,-17.472371288683263,1
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,0.03,0.008173606778800102,0.005189834252286286,-36.504967846665096,1
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,0.03,0.006687305974578527,0.006139416293167459,-8.192980603756506,1
current_smooth_cap,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_18.csv,WSD-con 18e-5,0.03,0.0025579541942073844,0.002378562626322739,-7.013087579554256,1
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0.016123998342434335,0.00744534704076948,0.007262155632494842,-2.4604817918024824,1
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0.016123998342434335,0.003408385839825258,0.002906008026121521,-14.739464289333304,1
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0.016123998342434335,0.0031360955249893426,0.0027745860048918867,-11.527375911123894,1
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,0.016123998342434335,0.004487187642230267,0.00276877336715227,-38.29601995926103,1
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,0.016123998342434335,0.002926482771138891,0.0021995980141996815,-24.838169700084368,1
current_smooth_cap,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,0.016123998342434335,0.002504818961791151,0.002174911768190958,-13.170899719007313,1
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0.015417429288355378,0.007265129575917493,0.0070900242569639175,-2.4102160480938384,1
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0.015417429288355378,0.0037480705220761528,0.0032705165265943486,-12.741328976309518,1
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0.015417429288355378,0.003248313740665229,0.0029046673633412096,-10.579223706809893,1
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,0.015417429288355378,0.0056693997340904675,0.004487043306870582,-20.855054903084348,1
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,0.015417429288355378,0.004934623402238123,0.004657592517362759,-5.61402284011614,1
current_smooth_cap,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,0.015417429288355378,0.0013816404339982303,0.0012209074353852583,-11.633489774748295,1
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0.028319874737456927,0.005612615040270773,0.005402783176065694,-3.7385757387514817,1
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,wsd_20000_24000.csv,WSD sharp,0.028319874737456927,0.004701998914275349,0.0038173376139246373,-18.814579000962006,1
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,0.028319874737456927,0.0038535563963712593,0.0032179567564775504,-16.493845542061557,1
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,0.028319874737456927,0.008173606778800102,0.005271658542672359,-35.50388848720411,1
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,0.028319874737456927,0.006687305974578527,0.006143511909890546,-8.131735959969365,1
current_smooth_cap,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_18.csv,WSD-con 18e-5,0.028319874737456927,0.0025579541942073844,0.002381746108595886,-6.888633346544304,1
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0.03,0.00744534704076948,0.007104504643522665,-4.577924915795317,1
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,wsd_20000_24000.csv,WSD sharp,0.03,0.003408385839825258,0.0024765307546488566,-27.340070313875486,1
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,0.03,0.0031360955249893426,0.002463477891782212,-21.447613054115,1
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,0.03,0.004487187642230267,0.004499920167834441,0.28375291205440245,0
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,0.03,0.002926482771138891,0.0029828555483020704,1.9262979341320818,0
current_smooth_cap,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_18.csv,WSD-con 18e-5,0.03,0.002504818961791151,0.0019498494402122508,-22.156073155165323,1
current_smooth_cap,100,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0.018176969548648343,0.007265129575917493,0.007058682444499193,-2.8416166464894532,1
