estimator,train_curve,train_label,test_curve,test_label,mean_delta_pct,wins,tests,mean_kappa,max_kappa
eb_lco_mean,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,-0.28024045928274344,3,3,0.001861892360324215,0.0022013632205859276
eb_lco_mean,cosine_72000.csv,Cosine,wsd_20000_24000.csv,WSD sharp,-1.520543507777572,3,3,0.001861892360324215,0.0022013632205859276
eb_lco_mean,cosine_72000.csv,Cosine,wsdld_20000_24000.csv,WSD linear,-1.247889864229516,3,3,0.001861892360324215,0.0022013632205859276
eb_lco_mean,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,-4.579853504128521,3,3,0.001861892360324215,0.0022013632205859276
eb_lco_mean,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,-1.9223088704023337,3,3,0.001861892360324215,0.0022013632205859276
eb_lco_mean,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,-1.6382932794221905,3,3,0.001861892360324215,0.0022013632205859276
eb_lco_mean,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,-4.406336042489797,3,3,0.03,0.03
eb_lco_mean,wsd_20000_24000.csv,WSD sharp,wsd_20000_24000.csv,WSD sharp,-24.02118920061733,3,3,0.03,0.03
eb_lco_mean,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,-19.835187837404423,3,3,0.03,0.03
eb_lco_mean,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,-16.23182172240143,2,3,0.03,0.03
eb_lco_mean,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,-0.9772535589153737,1,3,0.03,0.03
eb_lco_mean,wsd_20000_24000.csv,WSD sharp,wsdcon_18.csv,WSD-con 18e-5,-10.856849642925122,3,3,0.03,0.03
eb_lco_mean,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,-4.406336042489797,3,3,0.03,0.03
eb_lco_mean,wsdld_20000_24000.csv,WSD linear,wsd_20000_24000.csv,WSD sharp,-24.02118920061733,3,3,0.03,0.03
eb_lco_mean,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,-19.835187837404423,3,3,0.03,0.03
eb_lco_mean,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,-16.23182172240143,2,3,0.03,0.03
eb_lco_mean,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,-0.9772535589153737,1,3,0.03,0.03
eb_lco_mean,wsdld_20000_24000.csv,WSD linear,wsdcon_18.csv,WSD-con 18e-5,-10.856849642925122,3,3,0.03,0.03
eb_lco_mean,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,-3.3208611014615728,3,3,0.022957502762372625,0.03
eb_lco_mean,wsdcon_3.csv,WSD-con 3e-5,wsd_20000_24000.csv,WSD sharp,-17.86529971516668,3,3,0.022957502762372625,0.03
eb_lco_mean,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,-14.883550006810209,3,3,0.022957502762372625,0.03
