base_mae,config_id,corr_mae,curvature_lambda,curvature_mode,curvature_tau,delta_pct,scale,shrink_curvature,signed_curvature_coef,step_curvature_coef,step_fit_start_step,step_idx,step_max_mode,step_nuisance_lambda,step_primary_coef,step_response_lambda,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,win
0.003408385839825258,10,0.0029364336358545734,4.0,signed_d2_lr,0.01,-13.846795115041333,25,0,0,0.0013642496608894824,3000,0,16,0.015,0.02823553925170495,20.0,0.0,0.75,0.05,0.15919710507235646,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,10,0.002770464113399301,4.0,signed_d2_lr,0.01,-11.658809774019375,25,0,0,0.0013642496608894824,3000,0,16,0.015,0.02823553925170495,20.0,0.0,0.75,0.05,0.20868325189423623,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,10,0.0017980206441649542,4.0,signed_d2_lr,0.01,-59.929898468179864,25,0,0,0.0013642496608894824,3000,0,16,0.015,0.02823553925170495,20.0,0.0,0.75,0.05,0.3624855375124594,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,10,0.002299494786766283,4.0,signed_d2_lr,0.01,-21.4246258531228,25,0,0,0.0013642496608894824,3000,0,16,0.015,0.02823553925170495,20.0,0.0,0.75,0.05,0.6747669115895301,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,10,0.0021940610707638225,4.0,signed_d2_lr,0.01,-12.406401251654176,25,0,0,0.0013642496608894824,3000,0,16,0.015,0.02823553925170495,20.0,0.0,0.75,0.05,0.8187366754659827,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,10,0.0031312718695726753,4.0,signed_d2_lr,0.01,-16.456431352359314,100,0,0,0.0029955692696415474,3000,0,16,0.015,0.03711952558164653,20.0,0.0,0.75,0.05,0.16073513643821816,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,10,0.0027704831562234524,4.0,signed_d2_lr,0.01,-14.710111848491604,100,0,0,0.0029955692696415474,3000,0,16,0.015,0.03711952558164653,20.0,0.0,0.75,0.05,0.2108121115270438,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,10,0.0029644704375847114,4.0,signed_d2_lr,0.01,-47.711035089673445,100,0,0,0.0029955692696415474,3000,0,16,0.015,0.03711952558164653,20.0,0.0,0.75,0.05,0.3969157435284519,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,10,0.004469189337293253,4.0,signed_d2_lr,0.01,-9.432007815100329,100,0,0,0.0029955692696415474,3000,0,16,0.015,0.03711952558164653,20.0,0.0,0.75,0.05,0.7063384146932475,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,10,0.0012169994452804302,4.0,signed_d2_lr,0.01,-11.916341232237782,100,0,0,0.0029955692696415474,3000,0,16,0.015,0.03711952558164653,20.0,0.0,0.75,0.05,0.8378966698034583,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,10,0.0037248438709080764,4.0,signed_d2_lr,0.01,-20.78169436408446,400,0,0,0.04956095256660898,3000,0,16,0.015,0.05899191949939431,20.0,0.0,0.75,0.05,0.15964693135833502,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,10,0.0030913684370829572,4.0,signed_d2_lr,0.01,-19.778819378536262,400,0,0,0.04956095256660898,3000,0,16,0.015,0.05899191949939431,20.0,0.0,0.75,0.05,0.2112846726995863,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,10,0.0028252324671070852,4.0,signed_d2_lr,0.01,-65.43469066269624,400,0,0,0.04956095256660898,3000,0,16,0.015,0.05899191949939431,20.0,0.0,0.75,0.05,0.3906086432321906,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,10,0.005439118290389952,4.0,signed_d2_lr,0.01,-18.66503026679952,400,0,0,0.04956095256660898,3000,0,16,0.015,0.05899191949939431,20.0,0.0,0.75,0.05,0.694068640447846,wsdcon_9.csv,WSD-con 9e-5,1
