base_mae,corr_mae,curvature_lambda,curvature_mode,curvature_tau,delta_pct,forced_channel,scale,shrink_curvature,signed_curvature_coef,source_config_id,step_curvature_coef,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_primary_coef,step_retention_power,step_rho,step_ridge_tau,target_retention,test_curve,test_label,win
0.003408385839825258,0.002948871507202316,10.0,signed_d2_lr,0.003,-13.481875416032718,step,25,1,0,15620,0.0,3000,20.0,8,0.01,0.02749155993444909,0.0,0.35,0.05,0.13547845969743097,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0027800871352893727,10.0,signed_d2_lr,0.003,-11.351962555451166,step,25,1,0,15620,0.0,3000,20.0,8,0.01,0.02749155993444909,0.0,0.35,0.05,0.17397091027094158,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0018449872239783378,10.0,signed_d2_lr,0.003,-58.88321659173309,step,25,1,0,15620,0.0,3000,20.0,8,0.01,0.02749155993444909,0.0,0.35,0.05,0.3397365282634689,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022990736681175123,10.0,signed_d2_lr,0.003,-21.439015777195625,step,25,1,0,15620,0.0,3000,20.0,8,0.01,0.02749155993444909,0.0,0.35,0.05,0.6567635062992939,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022020724852780276,10.0,signed_d2_lr,0.003,-12.086561189900713,step,25,1,0,15620,0.0,3000,20.0,8,0.01,0.02749155993444909,0.0,0.35,0.05,0.8083884653846113,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0031587230583313367,10.0,signed_d2_lr,0.003,-15.72402280783024,step,100,1,0,15620,0.0054823015653784005,3000,20.0,8,0.01,0.03546349783890517,0.0,0.35,0.05,0.13677478606014387,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0027917608506952472,10.0,signed_d2_lr,0.003,-14.055073691141773,step,100,1,0,15620,0.0054823015653784005,3000,20.0,8,0.01,0.03546349783890517,0.0,0.35,0.05,0.1759099597140046,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.003022835817234358,10.0,signed_d2_lr,0.003,-46.68155432650391,step,100,1,0,15620,0.0054823015653784005,3000,20.0,8,0.01,0.03546349783890517,0.0,0.35,0.05,0.36630232028379617,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004401611696853236,10.0,signed_d2_lr,0.003,-10.801466736917275,step,100,1,0,15620,0.0054823015653784005,3000,20.0,8,0.01,0.03546349783890517,0.0,0.35,0.05,0.6788959416003537,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0011986223907813713,10.0,signed_d2_lr,0.003,-13.246430743723693,step,100,1,0,15620,0.0054823015653784005,3000,20.0,8,0.01,0.03546349783890517,0.0,0.35,0.05,0.8198808714208261,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0037205753065130227,10.0,signed_d2_lr,0.003,-20.872476273499498,step,400,1,0,15620,0.05062515165366459,3000,20.0,8,0.01,0.059256809053281886,0.0,0.35,0.05,0.13609071757885863,wsd_20000_24000.csv,WSD sharp,1
