curvature_lambda,curvature_mode,curvature_tau,mean_delta,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,source_config_id,step_fit_start_step,step_lambda,step_max_mode,step_nuisance_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
7.0,signed_d2_lr,0.003,-23.565484237817845,-17.263029953864574,15,15,1,0,19588,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.502313489474645
7.0,signed_d2_lr,0.003,-23.565484237817845,-17.263029953864574,15,15,1,0,22660,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.502313489474645
7.0,signed_d2_lr,0.003,-23.565484237817845,-17.263029953864574,15,15,1,0,23684,3000,20.0,12,0.03,0.25,0.2,0.05,15,-8.502313489474645
10.0,signed_d2_lr,0.003,-23.564529151664956,-16.469299063534947,15,15,0,1,6407,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.564529151664956,-16.469299063534947,15,15,0,1,7431,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
10.0,signed_d2_lr,0.003,-23.564529151664956,-16.469299063534947,15,15,0,1,8455,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.711268027216779
7.0,signed_d2_lr,0.003,-23.563923534844342,-17.26714850678045,15,15,1,0,24708,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.497100920082346
7.0,signed_d2_lr,0.003,-23.563923534844342,-17.26714850678045,15,15,1,0,25732,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.497100920082346
7.0,signed_d2_lr,0.003,-23.563923534844342,-17.26714850678045,15,15,1,0,26756,3000,20.0,8,0.03,0.25,0.2,0.05,15,-8.497100920082346
10.0,signed_d2_lr,0.003,-23.536347042478766,-15.700823405356012,15,15,0,1,10503,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.536347042478766,-15.700823405356012,15,15,0,1,13575,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.536347042478766,-15.700823405356012,15,15,0,1,14599,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.536347042478766,-15.700823405356012,15,15,0,1,38151,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.536347042478766,-15.700823405356012,15,15,0,1,41223,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.536347042478766,-15.700823405356012,15,15,0,1,42247,3000,20.0,16,0.01,0.0,0.35,0.05,15,-11.081728897339527
10.0,signed_d2_lr,0.003,-23.535939577510828,-15.702845582957469,15,15,0,1,9479,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.535939577510828,-15.702845582957469,15,15,0,1,11527,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.535939577510828,-15.702845582957469,15,15,0,1,12551,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.535939577510828,-15.702845582957469,15,15,0,1,37127,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.535939577510828,-15.702845582957469,15,15,0,1,39175,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.535939577510828,-15.702845582957469,15,15,0,1,40199,3000,20.0,12,0.01,0.0,0.35,0.05,15,-11.079032479969275
10.0,signed_d2_lr,0.003,-23.533667459343658,-15.724496223852336,15,15,0,1,15623,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
10.0,signed_d2_lr,0.003,-23.533667459343658,-15.724496223852336,15,15,0,1,16647,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
10.0,signed_d2_lr,0.003,-23.533667459343658,-15.724496223852336,15,15,0,1,17671,3000,20.0,8,0.01,0.0,0.35,0.05,15,-11.049525637351987
10.0,signed_d2_lr,0.003,-23.53084052961719,-16.468741467230576,15,15,1,0,6404,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.419100631772736
10.0,signed_d2_lr,0.003,-23.53084052961719,-16.468741467230576,15,15,1,0,7428,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.419100631772736
10.0,signed_d2_lr,0.003,-23.53084052961719,-16.468741467230576,15,15,1,0,8452,3000,20.0,8,0.015,0.0,0.75,0.05,15,-9.419100631772736
10.0,signed_d2_lr,0.003,-23.529961123926793,-16.4586726119459,15,15,1,0,1284,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.432901819869045
10.0,signed_d2_lr,0.003,-23.529961123926793,-16.4586726119459,15,15,1,0,4356,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.432901819869045
10.0,signed_d2_lr,0.003,-23.529961123926793,-16.4586726119459,15,15,1,0,5380,3000,20.0,12,0.015,0.0,0.75,0.05,15,-9.432901819869045
10.0,signed_d2_lr,0.003,-23.529516707580463,-16.457708492022583,15,15,1,0,260,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.434202832881233
10.0,signed_d2_lr,0.003,-23.529516707580463,-16.457708492022583,15,15,1,0,2308,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.434202832881233
10.0,signed_d2_lr,0.003,-23.529516707580463,-16.457708492022583,15,15,1,0,3332,3000,20.0,16,0.015,0.0,0.75,0.05,15,-9.434202832881233
4.0,signed_d2_lr,0.01,-23.353404835425888,-15.722165978580415,15,15,1,0,15368,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.414989874212532
4.0,signed_d2_lr,0.01,-23.353404835425888,-15.722165978580415,15,15,1,1,15369,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.414989874212532
4.0,signed_d2_lr,0.01,-23.353404835425888,-15.722165978580415,15,15,1,0,16392,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.414989874212532
4.0,signed_d2_lr,0.01,-23.353404835425888,-15.722165978580415,15,15,1,1,16393,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.414989874212532
4.0,signed_d2_lr,0.01,-23.353404835425888,-15.722165978580415,15,15,1,0,17416,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.414989874212532
4.0,signed_d2_lr,0.01,-23.353404835425888,-15.722165978580415,15,15,1,1,17417,3000,20.0,8,0.01,0.0,0.35,0.05,15,-10.414989874212532
4.0,signed_d2_lr,0.01,-23.348452922056385,-15.700518380454376,15,15,1,0,9224,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.444962263197343
4.0,signed_d2_lr,0.01,-23.348452922056385,-15.700518380454376,15,15,1,1,9225,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.444962263197343
4.0,signed_d2_lr,0.01,-23.348452922056385,-15.700518380454376,15,15,1,0,11272,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.444962263197343
4.0,signed_d2_lr,0.01,-23.348452922056385,-15.700518380454376,15,15,1,1,11273,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.444962263197343
4.0,signed_d2_lr,0.01,-23.348452922056385,-15.700518380454376,15,15,1,0,12296,3000,20.0,12,0.01,0.0,0.35,0.05,15,-10.444962263197343
