config_id,curvature_lambda,curvature_mode,curvature_tau,mean_delta,mean_step_curvature_coef,mean_step_primary_coef,median_delta,nonharm,rows,shrink_curvature,signed_curvature_coef,step_fit_start_step,step_idx,step_max_mode,step_nuisance_lambda,step_response_lambda,step_retention_power,step_rho,step_ridge_tau,wins,worst_delta
8202,4.0,signed_d2_lr,0.01,-23.880159771547767,0.01976547809575397,0.04163501665319244,-17.265769411712874,15,15,0,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.352988329233856
8203,4.0,signed_d2_lr,0.01,-23.880159771547767,0.01976547809575397,0.04163501665319244,-17.265769411712874,15,15,0,1,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.352988329233856
7178,4.0,signed_d2_lr,0.01,-23.878764678856935,0.01974368776680797,0.04163156265257769,-17.261652386238335,15,15,0,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.35835736777203
7179,4.0,signed_d2_lr,0.01,-23.878764678856935,0.01974368776680797,0.04163156265257769,-17.261652386238335,15,15,0,1,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.35835736777203
6154,4.0,signed_d2_lr,0.01,-23.87847245336428,0.019740008648937792,0.04163115166953545,-17.26130060336064,15,15,0,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.358809677568635
6155,4.0,signed_d2_lr,0.01,-23.87847245336428,0.019740008648937792,0.04163115166953545,-17.26130060336064,15,15,0,1,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.358809677568635
2058,4.0,signed_d2_lr,0.01,-23.842497165221815,0.018023152978992454,0.04145195654907642,-16.467462305045334,15,15,0,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.417229297133488
2059,4.0,signed_d2_lr,0.01,-23.842497165221815,0.018023152978992454,0.04145195654907642,-16.467462305045334,15,15,0,1,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.417229297133488
1034,4.0,signed_d2_lr,0.01,-23.839895187345732,0.01798086916589099,0.04144981569493524,-16.457395238288676,15,15,0,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.430722621848709
1035,4.0,signed_d2_lr,0.01,-23.839895187345732,0.01798086916589099,0.04144981569493524,-16.457395238288676,15,15,0,1,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.430722621848709
10,4.0,signed_d2_lr,0.01,-23.839295342285652,0.01797359049904667,0.041448994777581925,-16.456431352359314,15,15,0,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.432007815100329
11,4.0,signed_d2_lr,0.01,-23.839295342285652,0.01797359049904667,0.041448994777581925,-16.456431352359314,15,15,0,1,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.432007815100329
5380,10.0,signed_d2_lr,0.003,-23.76993684520058,0.018702484406347662,0.04073728894221205,-15.72402280783024,15,15,1,0,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-10.801466736917275
3332,10.0,signed_d2_lr,0.003,-23.765551650472975,0.01865918675370171,0.04072902078503118,-15.702372846416868,15,15,1,0,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-10.831329611881024
4356,10.0,signed_d2_lr,0.003,-23.76450708146509,0.01864950553820884,0.040727147872719534,-15.700350761654935,15,15,1,0,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-10.834074675190774
262,10.0,signed_d2_lr,0.003,-23.763362777627226,0.024156794606580285,0.04145027878287932,-16.45826518054465,15,15,0,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.725894571824545
1286,10.0,signed_d2_lr,0.003,-23.762930165279965,0.024165543730558018,0.04145109977444191,-16.459229406485065,15,15,0,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.724649109227169
2310,10.0,signed_d2_lr,0.003,-23.759125813253558,0.024205063047552863,0.041453236925103804,-16.469299063534947,15,15,0,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.711268027216779
4358,10.0,signed_d2_lr,0.003,-23.702702380772234,0.025176832476581933,0.040727147872719534,-15.700823405356012,15,15,0,0,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-11.081728897339527
3334,10.0,signed_d2_lr,0.003,-23.70229740227711,0.025189902117497314,0.04072902078503118,-15.702845582957469,15,15,0,0,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-11.079032479969275
5382,10.0,signed_d2_lr,0.003,-23.698799243033093,0.025248353948569346,0.04073728894221205,-15.724496223852336,15,15,0,0,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-11.049525637351987
5130,4.0,signed_d2_lr,0.01,-23.681475212486486,0.017589837909308976,0.040735704164958496,-15.722039025026502,15,15,0,0,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-10.52771123328573
5131,4.0,signed_d2_lr,0.01,-23.681475212486486,0.017589837909308976,0.040735704164958496,-15.722039025026502,15,15,0,1,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-10.52771123328573
3082,4.0,signed_d2_lr,0.01,-23.675251209133055,0.01752733969760011,0.040727428937669174,-15.700391785054302,15,15,0,0,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-10.557365619582349
3083,4.0,signed_d2_lr,0.01,-23.675251209133055,0.01752733969760011,0.040727428937669174,-15.700391785054302,15,15,0,1,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-10.557365619582349
4106,4.0,signed_d2_lr,0.01,-23.674130423898195,0.017516474797314028,0.04072555615895589,-15.698370087376512,15,15,0,0,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-10.560119880225738
4107,4.0,signed_d2_lr,0.01,-23.674130423898195,0.017516474797314028,0.04072555615895589,-15.698370087376512,15,15,0,1,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-10.560119880225738
5381,10.0,signed_d2_lr,0.003,-23.647616475584186,0.017734713516130922,0.04073728349207993,-15.72402280783024,15,15,1,1,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-10.801466736917275
3333,10.0,signed_d2_lr,0.003,-23.64232310957779,0.017684230276552308,0.04072901540995522,-15.702372846416868,15,15,1,1,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-10.831329611881024
4357,10.0,signed_d2_lr,0.003,-23.64128038317029,0.01767456361608262,0.04072714250554868,-15.700350761654935,15,15,1,1,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-10.834074675190774
263,10.0,signed_d2_lr,0.003,-23.567931797478767,0.022609365626017185,0.04145027038041938,-16.45826518054465,15,15,0,1,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.725894571824545
1287,10.0,signed_d2_lr,0.003,-23.567498425191527,0.02261810873652108,0.04145109136736424,-16.459229406485065,15,15,0,1,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.724649109227169
6276,7.0,signed_d2_lr,0.003,-23.565723195682075,0.02410062596973735,0.0416317926544992,-17.262678010400347,15,15,1,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.502742136744457
7300,7.0,signed_d2_lr,0.003,-23.565484237817845,0.024105304639245238,0.041632203763806164,-17.263029953864574,15,15,1,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.502313489474645
2311,10.0,signed_d2_lr,0.003,-23.564529151664956,0.022664240288323877,0.04145322848611407,-16.469299063534947,15,15,0,1,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.711268027216779
8324,7.0,signed_d2_lr,0.003,-23.563923534844342,0.02412911406652585,0.04163565854097639,-17.26714850678045,15,15,1,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.497100920082346
4359,10.0,signed_d2_lr,0.003,-23.536347042478766,0.02386066088171154,0.04072714250554868,-15.700823405356012,15,15,0,1,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-11.081728897339527
3335,10.0,signed_d2_lr,0.003,-23.535939577510828,0.023873710873345614,0.04072901540995522,-15.702845582957469,15,15,0,1,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-11.079032479969275
5383,10.0,signed_d2_lr,0.003,-23.533667459343658,0.023941863246776746,0.04073728349207993,-15.724496223852336,15,15,0,1,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-11.049525637351987
2308,10.0,signed_d2_lr,0.003,-23.53084052961719,0.013831464598601635,0.041453236925103804,-16.468741467230576,15,15,1,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.419100631772736
1284,10.0,signed_d2_lr,0.003,-23.529961123926793,0.013808882131747439,0.04145109977444191,-16.4586726119459,15,15,1,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.432901819869045
260,10.0,signed_d2_lr,0.003,-23.529516707580463,0.013803882632331592,0.04145027878287932,-16.457708492022583,15,15,1,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.434202832881233
6406,10.0,signed_d2_lr,0.003,-23.506654038568634,0.02142111428024171,0.041631993508999175,-17.262019455799336,15,15,0,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-7.970011116977127
7430,10.0,signed_d2_lr,0.003,-23.506432072314663,0.021425526653851088,0.04163240450978722,-17.262371424351773,15,15,0,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-7.9695799226481405
8454,10.0,signed_d2_lr,0.003,-23.505068528646568,0.021445847555455446,0.04163585727845102,-17.26648999780467,15,15,0,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-7.964281626014169
6277,7.0,signed_d2_lr,0.003,-23.502887006725526,0.023603148250445058,0.041631794801391016,-17.262678010400347,15,15,1,1,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.502742136744457
7301,7.0,signed_d2_lr,0.003,-23.502648036471765,0.023607826823279488,0.041632205907139404,-17.263029953864574,15,15,1,1,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.502313489474645
8325,7.0,signed_d2_lr,0.003,-23.50153270275681,0.023635162285335715,0.041635660616849104,-17.26714850678045,15,15,1,1,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.497100920082346
2309,10.0,signed_d2_lr,0.003,-23.41964206307994,0.012950994450470786,0.04145322848611407,-16.468741467230576,15,15,1,1,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.419100631772736
1285,10.0,signed_d2_lr,0.003,-23.418285471090275,0.012924633563726333,0.04145109136736424,-16.4586726119459,15,15,1,1,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.432901819869045
261,10.0,signed_d2_lr,0.003,-23.417841489199926,0.012919637500581248,0.04145027038041938,-16.457708492022583,15,15,1,1,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.434202832881233
5128,4.0,signed_d2_lr,0.01,-23.353404835425888,0.013029509562451093,0.040735704164958496,-15.722165978580415,15,15,1,0,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-10.414989874212532
5129,4.0,signed_d2_lr,0.01,-23.353404835425888,0.013029509562451093,0.040735704164958496,-15.722165978580415,15,15,1,1,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-10.414989874212532
3080,4.0,signed_d2_lr,0.01,-23.348452922056385,0.012983214590814895,0.040727428937669174,-15.700518380454376,15,15,1,0,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-10.444962263197343
3081,4.0,signed_d2_lr,0.01,-23.348452922056385,0.012983214590814895,0.040727428937669174,-15.700518380454376,15,15,1,1,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-10.444962263197343
4104,4.0,signed_d2_lr,0.01,-23.34752747676522,0.012975166516528908,0.04072555615895589,-15.698496644868387,15,15,1,0,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-10.447750182395865
4105,4.0,signed_d2_lr,0.01,-23.34752747676522,0.012975166516528908,0.04072555615895589,-15.698496644868387,15,15,1,1,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-10.447750182395865
2056,4.0,signed_d2_lr,0.01,-23.28575752607116,0.010298944559424258,0.04145195654907642,-16.467649365716795,15,15,1,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.25113916099043
2057,4.0,signed_d2_lr,0.01,-23.28575752607116,0.010298944559424258,0.04145195654907642,-16.467649365716795,15,15,1,1,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.25113916099043
1032,4.0,signed_d2_lr,0.01,-23.28458074504789,0.010274782380509136,0.04144981569493524,-16.45758187981057,15,15,1,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.265004645811004
1033,4.0,signed_d2_lr,0.01,-23.28458074504789,0.010274782380509136,0.04144981569493524,-16.45758187981057,15,15,1,1,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.265004645811004
8,4.0,signed_d2_lr,0.01,-23.2841975067446,0.010270623142312382,0.041448994777581925,-16.456617950488962,15,15,1,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.266328367319165
9,4.0,signed_d2_lr,0.01,-23.2841975067446,0.010270623142312382,0.041448994777581925,-16.456617950488962,15,15,1,1,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.266328367319165
384,14.0,signed_d2_lr,0.001,-23.25541048922032,0.027107336551504043,0.04145055223243425,-16.456953566547348,15,15,1,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-9.045298593448237
1408,14.0,signed_d2_lr,0.001,-23.254740549743243,0.027118725210986714,0.04145137331550816,-16.457917535784173,15,15,1,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-9.043923526525944
2432,14.0,signed_d2_lr,0.001,-23.249779559193612,0.027168771670225623,0.04145351056271832,-16.467985200857015,15,15,1,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-9.029562369858024
8576,14.0,signed_d2_lr,0.001,-23.231582181140382,0.011530462887813354,0.041635968538558464,-17.21710216868997,15,15,1,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-7.890726908863998
7552,14.0,signed_d2_lr,0.001,-23.23060478204109,0.01151360986708729,0.04163251569956757,-17.21225113275041,15,15,1,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-7.896600315561042
6528,14.0,signed_d2_lr,0.001,-23.23032695896496,0.011510021587662254,0.04163210466061675,-17.21121178913868,15,15,1,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-7.897102190964778
6407,10.0,signed_d2_lr,0.003,-23.22298246286911,0.01917463089113836,0.04163197962295901,-17.262019455799336,15,15,0,1,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-7.970011116977127
7431,10.0,signed_d2_lr,0.003,-23.222761275191523,0.019179049431336997,0.041632390621770037,-17.262371424351773,15,15,0,1,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-7.9695799226481405
8455,10.0,signed_d2_lr,0.003,-23.22183509485895,0.019202833961162513,0.041635843381629054,-17.26648999780467,15,15,0,1,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-7.964281626014169
132,7.0,signed_d2_lr,0.003,-22.991088703929282,0.039272621585663005,0.041449650518183216,-14.710236943372145,15,15,1,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-6.8776961647887935
1156,7.0,signed_d2_lr,0.003,-22.990293566757348,0.03928724487778989,0.041450471781446487,-14.7110985041089,15,15,1,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-6.8717259034186124
2186,7.0,signed_d2_lr,0.01,-22.98840101472585,0.006204673089181235,0.04145305030246502,-15.546101771027288,15,15,0,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-8.756150674296649
1162,7.0,signed_d2_lr,0.01,-22.988370339223927,0.006194035667530522,0.041450913725091486,-15.543427157162027,15,15,0,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-8.75351008480746
138,7.0,signed_d2_lr,0.01,-22.988114585023176,0.006191728071069662,0.0414500928185823,-15.542784340125293,15,15,0,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-8.752534540879575
2180,7.0,signed_d2_lr,0.003,-22.984917959238746,0.03935465966421309,0.04145261526529193,-14.720097410911649,15,15,1,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-6.837719872205916
2187,7.0,signed_d2_lr,0.01,-22.969050793922108,0.006051493860327711,0.04145305150740027,-15.546101771027288,15,15,0,1,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-8.756150674296649
1163,7.0,signed_d2_lr,0.01,-22.968798037105717,0.006039098393964316,0.04145091496334519,-15.543427157162027,15,15,0,1,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-8.75351008480746
139,7.0,signed_d2_lr,0.01,-22.968542695349292,0.006036794061386735,0.0414500940581364,-15.542784340125293,15,15,0,1,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-8.752534540879575
8452,10.0,signed_d2_lr,0.003,-22.959533504654896,0.007526171820382712,0.04163585727845102,-16.040441786123328,15,15,1,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-7.916505736312884
7428,10.0,signed_d2_lr,0.003,-22.959147631713506,0.0075182500122055644,0.04163240450978722,-16.038323325113414,15,15,1,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-7.92217488923288
6404,10.0,signed_d2_lr,0.003,-22.959003909695657,0.007516654607630779,0.041631993508999175,-16.0378783255134,15,15,1,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-7.922651834955518
8200,4.0,signed_d2_lr,0.01,-22.95097259406678,0.006935583744344335,0.04163501665319244,-15.671436925683036,15,15,1,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.052799270533583
8201,4.0,signed_d2_lr,0.01,-22.95097259406678,0.006935583744344335,0.04163501665319244,-15.671436925683036,15,15,1,1,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.052799270533583
7176,4.0,signed_d2_lr,0.01,-22.950492082522054,0.006927209589610791,0.04163156265257769,-15.669507389688764,15,15,1,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.05847896188634
7177,4.0,signed_d2_lr,0.01,-22.950492082522054,0.006927209589610791,0.04163156265257769,-15.669507389688764,15,15,1,1,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.05847896188634
6152,4.0,signed_d2_lr,0.01,-22.950367061117813,0.00692587515467162,0.04163115166953545,-15.669133292200266,15,15,1,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.058962455016772
6153,4.0,signed_d2_lr,0.01,-22.950367061117813,0.00692587515467162,0.04163115166953545,-15.669133292200266,15,15,1,1,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.058962455016772
1414,14.0,signed_d2_lr,0.003,-22.905705798232166,0.0052738049130681705,0.04145100369265422,-15.424925443425808,15,15,0,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-8.575178660925943
2438,14.0,signed_d2_lr,0.003,-22.90564779704337,0.005283538007567627,0.04145313973669747,-15.427539643721278,15,15,0,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-8.577727557611192
390,14.0,signed_d2_lr,0.003,-22.90545965213501,0.00527159002369381,0.04145018279790605,-15.424284193936177,15,15,0,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-8.57420567986007
8330,7.0,signed_d2_lr,0.01,-22.881283771783533,0.006194909165949831,0.04163571208433559,-15.558108352915612,15,15,0,0,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.046603138201458
7306,7.0,signed_d2_lr,0.01,-22.881071624311513,0.006189443092640402,0.0416322595078021,-15.556662197495807,15,15,0,0,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.052322918006972
6282,7.0,signed_d2_lr,0.01,-22.880958272777445,0.006188279592568593,0.04163184854013437,-15.556336857057351,15,15,0,0,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.05280691552811
5258,7.0,signed_d2_lr,0.01,-22.86721784531532,0.006244501468695829,0.04073709384267746,-15.536048394635182,15,15,0,0,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-8.761639976466363
133,7.0,signed_d2_lr,0.003,-22.86695756341015,0.038289976058553804,0.041449664276131,-14.710236943372145,15,15,1,1,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-6.8776961647887935
1157,7.0,signed_d2_lr,0.003,-22.86615985433269,0.038304579003049774,0.041450485524956004,-14.7110985041089,15,15,1,1,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-6.8717259034186124
8331,7.0,signed_d2_lr,0.01,-22.865245175223837,0.006067930818654035,0.041635712271370584,-15.558108352915612,15,15,0,1,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-8.046603138201458
7307,7.0,signed_d2_lr,0.01,-22.864916846551196,0.006061544931263966,0.041632259700915095,-15.556662197495807,15,15,0,1,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-8.052322918006972
6283,7.0,signed_d2_lr,0.01,-22.864803399413557,0.006060380674167757,0.04163184873356796,-15.556336857057351,15,15,0,1,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-8.05280691552811
3210,7.0,signed_d2_lr,0.01,-22.86478645224437,0.006228760875569536,0.040728826772403755,-15.53211867415476,15,15,0,0,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-8.758062297670921
4234,7.0,signed_d2_lr,0.01,-22.86417824045068,0.006225313148262974,0.04072695400418627,-15.531153100649565,15,15,0,0,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-8.756568286523148
2181,7.0,signed_d2_lr,0.003,-22.862192932193004,0.038383145383721416,0.04145262863897627,-14.720097410911649,15,15,1,1,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-6.837719872205916
8453,10.0,signed_d2_lr,0.003,-22.86026224711737,0.00674001546526257,0.041635843381629054,-16.040441786123328,15,15,1,1,3000,8,8,0.03,20.0,0.25,0.2,0.05,15,-7.916505736312884
7429,10.0,signed_d2_lr,0.003,-22.859733566331865,0.0067309627110972515,0.041632390621770037,-16.038323325113414,15,15,1,1,3000,7,12,0.03,20.0,0.25,0.2,0.05,15,-7.92217488923288
6405,10.0,signed_d2_lr,0.003,-22.859590197141323,0.006729370099892639,0.04163197962295901,-16.0378783255134,15,15,1,1,3000,6,16,0.03,20.0,0.25,0.2,0.05,15,-7.922651834955518
5510,14.0,signed_d2_lr,0.003,-22.847452438021403,0.006112600446361628,0.040737224537949736,-15.580238610791074,15,15,0,0,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-8.827443759879007
5259,7.0,signed_d2_lr,0.01,-22.84686173605119,0.006083448068700935,0.040737095985065676,-15.536048394635182,15,15,0,1,3000,5,8,0.01,20.0,0.0,0.35,0.05,15,-8.761639976466363
3462,14.0,signed_d2_lr,0.003,-22.845056611450975,0.0060973127844343,0.04072895849630969,-15.576397943825814,15,15,0,0,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-8.824001298094952
4486,14.0,signed_d2_lr,0.003,-22.84444880685969,0.006093874784718334,0.04072708574842911,-15.575434876269812,15,15,0,0,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-8.822511362671182
3211,7.0,signed_d2_lr,0.01,-22.844104090505258,0.006065126111338469,0.040728828989898956,-15.53211867415476,15,15,0,1,3000,3,12,0.01,20.0,0.0,0.35,0.05,15,-8.758062297670921
4235,7.0,signed_d2_lr,0.01,-22.84349684138998,0.006061685992260515,0.04072695622437323,-15.531153100649565,15,15,0,1,3000,4,16,0.01,20.0,0.0,0.35,0.05,15,-8.756568286523148
1160,7.0,signed_d2_lr,0.01,-22.79811081027185,0.003539448952874584,0.041450913725091486,-14.839846001711955,15,15,1,0,3000,1,12,0.015,20.0,0.0,0.75,0.05,15,-7.697535204717154
136,7.0,signed_d2_lr,0.01,-22.79792419488157,0.0035381303263255213,0.0414500928185823,-14.839478016205321,15,15,1,0,3000,0,16,0.015,20.0,0.0,0.75,0.05,15,-7.696972143684322
2184,7.0,signed_d2_lr,0.01,-22.79781780404426,0.003545527479532134,0.04145305030246502,-14.841289964416104,15,15,1,0,3000,2,8,0.015,20.0,0.0,0.75,0.05,15,-7.698328762486506
