mpl_mae,new_config_id,new_delta_pct,new_kappa,new_mae,new_max_mode,new_minus_old_delta_pct,new_nuisance_lambda,new_response_lambda,new_retention_power,new_rho,new_ridge_tau,old_delta_pct,old_kappa,old_mae,old_response_lambda,scale,source_curve,test_curve,test_label
0.003408385839825258,23934,-12.201562693343448,0.024880810846173263,0.0029925095047479383,8,0.37164928901860517,0.07,20.0,0.5,0.0,0.05,-12.526656751606913,0.013703333359633963,0.0029814290448999733,10.0,25,cosine_72000.csv,wsd_20000_24000.csv,WSD sharp
0.0031360955249893426,23934,-10.273918022421691,0.024880810846173263,0.0028138956416471025,8,-0.5289445799617543,0.07,20.0,0.5,0.0,0.05,-9.79679304829898,0.013703333359633963,0.0028288587366091713,10.0,25,cosine_72000.csv,wsdld_20000_24000.csv,WSD linear
0.004487187642230267,23934,-54.48697306617761,0.024880810846173263,0.0020422549201794113,8,-28.16901496348424,0.07,20.0,0.5,0.0,0.05,-36.63872643444116,0.013703333359633963,0.002843139237393469,10.0,25,cosine_72000.csv,wsdcon_3.csv,WSD-con 3e-5
0.002926482771138891,23934,-22.156715430717234,0.024880810846173263,0.002278070311408679,8,1.1927258702054022,0.07,20.0,0.5,0.0,0.05,-23.074229002262214,0.013703333359633963,0.0022512194348145538,10.0,25,cosine_72000.csv,wsdcon_9.csv,WSD-con 9e-5
0.002504818961791151,23934,-11.327601647051832,0.024880810846173263,0.0022210830478196298,8,-0.15091686877066746,0.07,20.0,0.5,0.0,0.05,-11.193577775363151,0.013703333359633963,0.0022244401031710145,10.0,25,cosine_72000.csv,wsdcon_18.csv,WSD-con 18e-5
0.0037480705220761528,23934,-17.958596477295032,0.04050677395383602,0.0030749696613320515,8,2.999916776498468,0.07,20.0,0.5,0.0,0.05,-20.34808756134414,0.024621858654901116,0.002985409850383169,10.0,100,cosine_72000.csv,wsd_20000_24000.csv,WSD sharp
0.003248313740665229,23934,-16.054003282713857,0.04050677395383602,0.0027268293461059877,8,1.0121803742040747,0.07,20.0,0.5,0.0,0.05,-16.89517402128684,0.024621858654901116,0.002699505481422466,10.0,100,cosine_72000.csv,wsdld_20000_24000.csv,WSD linear
0.0056693997340904675,23934,-46.36731770027956,0.04050677395383602,0.0030406511476859365,8,-33.07467173825336,0.07,20.0,0.5,0.0,0.05,-19.861906257729988,0.024621858654901116,0.004543348873529426,10.0,100,cosine_72000.csv,wsdcon_3.csv,WSD-con 3e-5
0.004934623402238123,23934,-6.90325980446983,0.04050677395383602,0.004593973528409457,8,-4.841519301388219,0.07,20.0,0.5,0.0,0.05,-2.1666387356599426,0.024621858654901116,0.004827707940146291,10.0,100,cosine_72000.csv,wsdcon_9.csv,WSD-con 9e-5
0.0013816404339982303,23934,-9.600908779589934,0.04050677395383602,0.0012489903962681298,8,0.5986431296620243,0.07,20.0,0.5,0.0,0.05,-10.13885634233227,0.024621858654901116,0.0012415578952275736,10.0,100,cosine_72000.csv,wsdcon_18.csv,WSD-con 18e-5
0.004701998914275349,23934,-21.574074851415403,0.06133718401231365,0.0036875861489968453,8,9.972044146676517,0.07,20.0,0.5,0.0,0.05,-28.68558026985196,0.04339152898551728,0.003353203241433326,10.0,400,cosine_72000.csv,wsd_20000_24000.csv,WSD sharp
0.0038535563963712593,23934,-20.560430049676647,0.06133718401231365,0.0030612486290705065,8,6.304622828976036,0.07,20.0,0.5,0.0,0.05,-25.271763507287393,0.04339152898551728,0.002879694737260368,10.0,400,cosine_72000.csv,wsdld_20000_24000.csv,WSD linear
0.008173606778800102,23934,-60.72622883544903,0.06133718401231365,0.003210083622196179,8,-40.32230955442985,0.07,20.0,0.5,0.0,0.05,-34.19019591522034,0.04339152898551728,0.005379034607788617,10.0,400,cosine_72000.csv,wsdcon_3.csv,WSD-con 3e-5
0.006687305974578527,23934,-13.632499790614471,0.06133718401231365,0.005775659001596361,8,-9.864738246993243,0.07,20.0,0.5,0.0,0.05,-4.180119378746394,0.04339152898551728,0.006407768601619105,10.0,400,cosine_72000.csv,wsdcon_9.csv,WSD-con 9e-5
0.0025579541942073844,23934,-6.481576625343521,0.06133718401231365,0.0023921584330686444,8,-3.0258213160614833,0.07,20.0,0.5,0.0,0.05,-3.5635829621668114,0.04339152898551728,0.0024667993743625787,10.0,400,cosine_72000.csv,wsdcon_18.csv,WSD-con 18e-5
