new_mean_delta_pct,new_mean_gain_vs_old_pct,new_wins,new_worst_delta_pct,old_mean_delta_pct,old_wins,old_worst_delta_pct,rows,test_curve,test_label
-17.244744674017962,4.447870070731196,3,-12.201562693343448,-20.52010819426767,3,-12.526656751606913,3,wsd_20000_24000.csv,WSD sharp
-15.629450451604065,2.2626195410727856,3,-10.273918022421691,-17.321243525624407,3,-9.79679304829898,3,wsdld_20000_24000.csv,WSD linear
-53.860173200635394,-33.85533208538915,3,-46.36731770027956,-30.23027620246383,3,-19.861906257729988,3,wsdcon_3.csv,WSD-con 3e-5
-14.230825008600512,-4.50451055939202,3,-6.90325980446983,-9.806995705556185,3,-2.1666387356599426,3,wsdcon_9.csv,WSD-con 9e-5
-9.136695683995095,-0.8593650183900422,3,-6.481576625343521,-8.298672359954077,3,-3.5635829621668114,3,wsdcon_18.csv,WSD-con 18e-5
-22.020377803770604,-6.501743610273445,15,-6.481576625343521,-17.235459197573235,15,-2.1666387356599426,15,ALL,All WSD targets
