scale,test_curve,kappa,base_mae,corr_mae,delta_pct,win,train_family,test_family,train_curves
25,cosine_72000.csv,0.4814157232423704,0.00744534704076948,0.004345099768276944,-41.64006399589031,1,Cosine decay,Cosine decay,cosine_72000
100,cosine_72000.csv,0.5358652541815775,0.007265129575917493,0.00371242056060038,-48.900834846685456,1,Cosine decay,Cosine decay,cosine_72000
400,cosine_72000.csv,0.3423761046470629,0.005612615040270773,0.004266571104636405,-23.9824738731668,1,Cosine decay,Cosine decay,cosine_72000
25,wsd_20000_24000.csv,0.4814157232423704,0.003408385839825258,0.015470415375954455,353.89272526574035,0,Cosine decay,WSD sharp,cosine_72000
100,wsd_20000_24000.csv,0.5358652541815775,0.0037480705220761528,0.01572215569304798,319.4733156818798,0,Cosine decay,WSD sharp,cosine_72000
400,wsd_20000_24000.csv,0.3423761046470629,0.004701998914275349,0.009194826033613436,95.55142825953847,0,Cosine decay,WSD sharp,cosine_72000
25,wsdcon_3.csv,0.4814157232423704,0.004487187642230267,0.10072641545471428,2144.756036202895,0,Cosine decay,WSD-con step,cosine_72000
25,wsdcon_9.csv,0.4814157232423704,0.002926482771138891,0.033443252243333756,1042.7797413725673,0,Cosine decay,WSD-con step,cosine_72000
25,wsdcon_18.csv,0.4814157232423704,0.002504818961791151,0.010249793640630406,309.2029722300155,0,Cosine decay,WSD-con step,cosine_72000
100,wsdcon_3.csv,0.5358652541815775,0.0056693997340904675,0.1055497541558105,1761.7447896843998,0,Cosine decay,WSD-con step,cosine_72000
100,wsdcon_9.csv,0.5358652541815775,0.004934623402238123,0.034933977309715133,607.9360360888057,0,Cosine decay,WSD-con step,cosine_72000
100,wsdcon_18.csv,0.5358652541815775,0.0013816404339982303,0.010355449778304738,649.5039609066625,0,Cosine decay,WSD-con step,cosine_72000
400,wsdcon_3.csv,0.3423761046470629,0.008173606778800102,0.0642349586144753,685.8826629766631,0,Cosine decay,WSD-con step,cosine_72000
400,wsdcon_9.csv,0.3423761046470629,0.006687305974578527,0.023924814494396526,257.76461530765243,0,Cosine decay,WSD-con step,cosine_72000
400,wsdcon_18.csv,0.3423761046470629,0.0025579541942073844,0.007767964176311729,203.67878337707035,0,Cosine decay,WSD-con step,cosine_72000
25,cosine_72000.csv,0.04769636075258369,0.00744534704076948,0.0069034489761408465,-7.278345276066922,1,WSD sharp,Cosine decay,wsd_20000_24000
100,cosine_72000.csv,0.07542027714846399,0.007265129575917493,0.006408534650872238,-11.790497555400837,1,WSD sharp,Cosine decay,wsd_20000_24000
400,cosine_72000.csv,0.10121370162592605,0.005612615040270773,0.004950139303743405,-11.803334662614029,1,WSD sharp,Cosine decay,wsd_20000_24000
25,wsd_20000_24000.csv,0.04769636075258369,0.003408385839825258,0.0020677978415568985,-39.33204928280916,1,WSD sharp,WSD sharp,wsd_20000_24000
100,wsd_20000_24000.csv,0.07542027714846399,0.0037480705220761528,0.0016506139137705599,-55.960969676305815,1,WSD sharp,WSD sharp,wsd_20000_24000
400,wsd_20000_24000.csv,0.10121370162592605,0.004701998914275349,0.002021126465063665,-57.0155905623991,1,WSD sharp,WSD sharp,wsd_20000_24000
25,wsdcon_3.csv,0.04769636075258369,0.004487187642230267,0.008272183044108112,84.35117279821594,0,WSD sharp,WSD-con step,wsd_20000_24000
25,wsdcon_9.csv,0.04769636075258369,0.002926482771138891,0.004176961426383504,42.72974601377777,0,WSD sharp,WSD-con step,wsd_20000_24000
25,wsdcon_18.csv,0.04769636075258369,0.002504818961791151,0.0020870085965506635,-16.680261991538046,1,WSD sharp,WSD-con step,wsd_20000_24000
100,wsdcon_3.csv,0.07542027714846399,0.0056693997340904675,0.013611529018507115,140.08765754617917,0,WSD sharp,WSD-con step,wsd_20000_24000
100,wsdcon_9.csv,0.07542027714846399,0.004934623402238123,0.007777974416745852,57.620425769839166,0,WSD sharp,WSD-con step,wsd_20000_24000
100,wsdcon_18.csv,0.07542027714846399,0.0013816404339982303,0.002144589280930976,55.22050659192874,0,WSD sharp,WSD-con step,wsd_20000_24000
400,wsdcon_3.csv,0.10121370162592605,0.008173606778800102,0.016081445361976844,96.74845875491975,0,WSD sharp,WSD-con step,wsd_20000_24000
400,wsdcon_9.csv,0.10121370162592605,0.006687305974578527,0.009701601644261688,45.074887871765725,0,WSD sharp,WSD-con step,wsd_20000_24000
400,wsdcon_18.csv,0.10121370162592605,0.0025579541942073844,0.003467345223138071,35.55149779421571,0,WSD sharp,WSD-con step,wsd_20000_24000
25,cosine_72000.csv,0.017738466523894558,0.00744534704076948,0.0072438129923199325,-2.7068455955911896,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
100,cosine_72000.csv,0.020195301411305173,0.007265129575917493,0.007035758996111354,-3.1571436876564274,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
400,cosine_72000.csv,0.03469206327068293,0.005612615040270773,0.00535816226437363,-4.5335868231017535,1,WSD-con step,Cosine decay,wsdcon_3+wsdcon_9+wsdcon_18
25,wsd_20000_24000.csv,0.017738466523894558,0.003408385839825258,0.0028557058009493846,-16.21530146082898,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
100,wsd_20000_24000.csv,0.020195301411305173,0.0037480705220761528,0.0031225222092836806,-16.689875740277294,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
400,wsd_20000_24000.csv,0.03469206327068293,0.004701998914275349,0.0036201808154812357,-23.007621195098427,1,WSD-con step,WSD sharp,wsdcon_3+wsdcon_9+wsdcon_18
25,wsdcon_3.csv,0.017738466523894558,0.004487187642230267,0.0027713089853676678,-38.23951199887322,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
25,wsdcon_9.csv,0.017738466523894558,0.002926482771138891,0.0021998246424053524,-24.830425652933098,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
25,wsdcon_18.csv,0.017738466523894558,0.002504818961791151,0.002141878729140058,-14.489679221829299,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
100,wsdcon_3.csv,0.020195301411305173,0.0056693997340904675,0.004426255684138396,-21.927260525959504,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
100,wsdcon_9.csv,0.020195301411305173,0.004934623402238123,0.004713302863362411,-4.485054295639479,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
100,wsdcon_18.csv,0.020195301411305173,0.0013816404339982303,0.0012245832921661188,-11.3674396005924,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
400,wsdcon_3.csv,0.03469206327068293,0.008173606778800102,0.0050652972800771905,-38.02861555298867,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
400,wsdcon_9.csv,0.03469206327068293,0.006687305974578527,0.006164619186125436,-7.816103980288325,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
400,wsdcon_18.csv,0.03469206327068293,0.0025579541942073844,0.002389361038730291,-6.590937236439998,1,WSD-con step,WSD-con step,wsdcon_3+wsdcon_9+wsdcon_18
