train_family,test_family,lambda,base_mae,corr_mae,delta_pct,wins,tests,mean_kappa
Cosine decay,Cosine decay,10.0,0.006774363885652582,0.004108030477837909,-39.3591701423317,3,3,0.4532190273570036
Cosine decay,WSD sharp,10.0,0.003952818425392253,0.013462465700871958,240.57890477314365,0,3,0.4532190273570036
Cosine decay,WSD-con step,10.0,0.0043692244325636825,0.043465153318632474,894.8024870200795,0,9,0.4532190273570036
WSD sharp,Cosine decay,10.0,0.006774363885652582,0.006087374310252163,-10.141019688289754,3,3,0.07477677984232457
WSD sharp,WSD sharp,10.0,0.003952818425392253,0.0019131794067970408,-51.59961321503936,3,3,0.07477677984232457
WSD sharp,WSD-con step,10.0,0.0043692244325636825,0.007480070890289203,71.19905387648404,1,9,0.07477677984232457
WSD-con step,Cosine decay,10.0,0.006774363885652582,0.006545911417601639,-3.3723087792018713,3,3,0.024208610401960887
WSD-con step,WSD sharp,10.0,0.003952818425392253,0.003199469608571433,-19.058523204137867,3,3,0.024208610401960887
WSD-con step,WSD-con step,10.0,0.0043692244325636825,0.00345515907794588,-20.92054021773988,9,9,0.024208610401960887
