protocol,lambda,base_mae,corr_mae,delta_pct,wins,tests,kappa_25,kappa_100,kappa_400
fit_kappa_on_wsdcon_9,2,0.003682736823033765,0.003608882520064235,-2.0054189728575422,2,6,0.0033103483417201464,0.0,0.0
fit_kappa_on_wsdcon_9,3,0.003682736823033765,0.003522595995157628,-4.348419003892223,4,6,0.005364005641375116,0.0,0.003004207969099184
fit_kappa_on_wsdcon_9,5,0.003682736823033765,0.0032956961386299832,-10.509593897207825,6,6,0.009380705629930786,0.004415584501611894,0.01266791969057859
fit_kappa_on_wsdcon_9,7,0.003682736823033765,0.0031814488414474186,-13.611832875241825,6,6,0.012661037424273519,0.009760121379769197,0.02042225339806898
fit_kappa_on_wsdcon_9,10,0.003682736823033765,0.003148122600947715,-14.516764237463098,6,6,0.016135752669323017,0.015428668529379208,0.02834051980687712
fit_kappa_on_wsdcon_9,14,0.003682736823033765,0.003187883628639966,-13.437104473464634,6,6,0.018947213029419072,0.02000652722226244,0.0344028608648707
fit_kappa_on_wsdcon_9,20,0.003682736823033765,0.003272962271265294,-11.126902938204175,6,6,0.02111228692734436,0.023483954100053484,0.03847845244116927
fit_kappa_on_wsdcon_9,30,0.003682736823033765,0.0033853959601198736,-8.073910170668885,6,6,0.0223426260008593,0.02526552776554858,0.03942546925460821
fit_kappa_on_wsdcon_9,50,0.003682736823033765,0.003511574997010771,-4.647680088146899,6,6,0.021915779920691145,0.023995038999759834,0.03464746091680057
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,2,0.003682736823033765,0.003183712659225567,-13.550361803945366,6,6,0.0075658668937436235,0.004142817773794527,0.010629592427442408
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,3,0.003682736823033765,0.003112868160282313,-15.474053404717791,6,6,0.009065651347062881,0.006409482779296867,0.014324739139694224
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,5,0.003682736823033765,0.0030420846653181257,-17.39608852059874,6,6,0.011863032900580751,0.010816516927031698,0.0211454254701305
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,7,0.003682736823033765,0.0030221602618018296,-17.93711017035873,6,6,0.014406528268860377,0.014890731115774259,0.02717114943219569
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,10,0.003682736823033765,0.0030349850982011456,-17.58886816948855,6,6,0.017738466523894558,0.020195301411305173,0.03469206327068293
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,14,0.003682736823033765,0.0030822950916212706,-16.30422591310401,6,6,0.021283192006093438,0.0257020887399631,0.042126875593802626
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,20,0.003682736823033765,0.0031642160314907203,-14.079767750438865,6,6,0.024963366630532398,0.031206352047281154,0.04912066866461048
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,30,0.003682736823033765,0.0032791914042376354,-10.9577588132865,6,6,0.028241854917337085,0.035825603498894874,0.05435870492013008
fit_kappa_on_wsdcon_3+wsdcon_9+wsdcon_18,50,0.003682736823033765,0.0034223387371423446,-7.070776392783607,6,6,0.029982013789288813,0.03772395751965801,0.054992144808537424
cross_scale_c_from_target_decays_LOO,2,0.003682736823033765,0.0020507379674221393,-44.31483795975455,6,6,0.024835190656431333,0.030019892822188053,0.030688159058535565
cross_scale_c_from_target_decays_LOO,3,0.003682736823033765,0.0020375728827953963,-44.672318965304605,6,6,0.02922975809035256,0.035333538636517434,0.036144428418257636
cross_scale_c_from_target_decays_LOO,5,0.003682736823033765,0.0020263928887436773,-44.97589737964562,6,6,0.03862119497563523,0.046687621202214355,0.047818101947120994
cross_scale_c_from_target_decays_LOO,7,0.003682736823033765,0.002030643554647046,-44.86047599311638,6,6,0.04851840618605812,0.05865041915282922,0.060134505219105405
cross_scale_c_from_target_decays_LOO,10,0.003682736823033765,0.002062200454175218,-44.00358881804597,6,6,0.06377182513755648,0.07708136740045851,0.07913348536911767
cross_scale_c_from_target_decays_LOO,14,0.003682736823033765,0.0020960601110767093,-43.08417321686275,6,6,0.08422376164253575,0.10178373954518295,0.1046247509053891
cross_scale_c_from_target_decays_LOO,20,0.003682736823033765,0.0021288302819226436,-42.19434121363699,6,6,0.11451440412906438,0.13835433272124928,0.14239743708188254
cross_scale_c_from_target_decays_LOO,30,0.003682736823033765,0.0021589150139654993,-41.377428860446564,6,6,0.16377011736121957,0.1978002422167137,0.20385483958589443
cross_scale_c_from_target_decays_LOO,50,0.003682736823033765,0.0021921406689221295,-40.47522876977433,6,6,0.25910438959274856,0.31282888560523786,0.32289846910073083
leave_one_noncos_hold_wsd_20000_24000,5,0.003952818425392253,0.0030967914424516567,-21.656116998484432,3,3,nan,nan,nan
leave_one_noncos_hold_wsd_20000_24000,10,0.003952818425392253,0.0031328878536706797,-20.74293538135915,3,3,nan,nan,nan
leave_one_noncos_hold_wsd_20000_24000,20,0.003952818425392253,0.0033270765225391053,-15.83027185952901,3,3,nan,nan,nan
leave_one_noncos_hold_wsdld_20000_24000,5,0.003412655220675277,0.002781330794420365,-18.49950802032646,3,3,nan,nan,nan
