mean_delta,median_delta,method,nonharm,rows,test_curve,test_label,wins,worst_delta
-20.52010819426767,-20.34808756134414,old_nextgen,3,3,wsd_20000_24000.csv,WSD sharp,3,-12.526656751606913
-17.321243525624407,-16.89517402128684,old_nextgen,3,3,wsdld_20000_24000.csv,WSD linear,3,-9.79679304829898
-30.23027620246383,-34.19019591522034,old_nextgen,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-19.861906257729988
-9.806995705556185,-4.180119378746394,old_nextgen,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-2.1666387356599426
-8.298672359954077,-10.13885634233227,old_nextgen,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-3.5635829621668114
-17.235459197573235,-16.89517402128684,old_nextgen,15,15,ALL,All WSD targets,15,-2.1666387356599426
-17.244744674017962,-17.958596477295032,global_best_mean,3,3,wsd_20000_24000.csv,WSD sharp,3,-12.201562693343448
-15.629450451604065,-16.054003282713857,global_best_mean,3,3,wsdld_20000_24000.csv,WSD linear,3,-10.273918022421691
-53.860173200635394,-54.48697306617761,global_best_mean,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-46.36731770027956
-14.230825008600512,-13.632499790614471,global_best_mean,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-6.90325980446983
-9.136695683995095,-9.600908779589934,global_best_mean,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-6.481576625343521
-22.020377803770604,-16.054003282713857,global_best_mean,15,15,ALL,All WSD targets,15,-6.481576625343521
-15.994374510211351,-16.13699098613529,global_best_worst,3,3,wsd_20000_24000.csv,WSD sharp,3,-10.406609801390331
-13.93481247005838,-13.8591003806806,global_best_worst,3,3,wsdld_20000_24000.csv,WSD linear,3,-8.418436490012503
-41.666140707351666,-40.905252809252055,global_best_worst,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-33.34564202691648
-14.450132401412207,-12.787468150756975,global_best_worst,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-8.330774890371128
-10.515717921334739,-9.30684986998388,global_best_worst,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-8.48810025876755
-19.312235602073667,-13.8591003806806,global_best_worst,15,15,ALL,All WSD targets,15,-8.330774890371128
-31.19472550819962,-31.830024885529685,schedule_adaptive,3,3,wsd_20000_24000.csv,WSD sharp,3,-20.54454247620303
-25.621151315461912,-25.76850177250014,schedule_adaptive,3,3,wsdld_20000_24000.csv,WSD linear,3,-15.666008200006809
-53.860173200635394,-54.48697306617761,schedule_adaptive,3,3,wsdcon_3.csv,WSD-con 3e-5,3,-46.36731770027956
-14.230825008600512,-13.632499790614471,schedule_adaptive,3,3,wsdcon_9.csv,WSD-con 9e-5,3,-6.90325980446983
-9.136695683995095,-9.600908779589934,schedule_adaptive,3,3,wsdcon_18.csv,WSD-con 18e-5,3,-6.481576625343521
-26.808714143378506,-22.156715430717234,schedule_adaptive,15,15,ALL,All WSD targets,15,-6.481576625343521
