base_mae,corr_mae,delta_pct,drop_concentration,kappa,method,response_lambda,scale,target_retention,test_curve,test_label,win
0.003408385839825258,0.0029814290448999733,-12.526656751606913,0.0006394638242375368,0.013703333359633963,old_nextgen,10.0,25,0.19363028951346634,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0028288587366091713,-9.79679304829898,0.00025006251562922964,0.013703333359633963,old_nextgen,10.0,25,0.24367405422491062,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.002843139237393469,-36.63872643444116,1.0,0.013703333359633963,old_nextgen,10.0,25,0.24303548473632608,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022512194348145538,-23.074229002262214,1.0,0.013703333359633963,old_nextgen,10.0,25,0.520084044338764,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022244401031710145,-11.193577775363151,1.0,0.013703333359633963,old_nextgen,10.0,25,0.7093385120550632,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.002985409850383169,-20.34808756134414,0.0006394638242375368,0.024621858654901116,old_nextgen,10.0,100,0.19560070632069068,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.002699505481422466,-16.89517402128684,0.00025006251562922964,0.024621858654901116,old_nextgen,10.0,100,0.2460170141173665,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.004543348873529426,-19.861906257729988,1.0,0.024621858654901116,old_nextgen,10.0,100,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004827707940146291,-2.1666387356599426,1.0,0.024621858654901116,old_nextgen,10.0,100,0.5584955389588916,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0012415578952275736,-10.13885634233227,1.0,0.024621858654901116,old_nextgen,10.0,100,0.7413329414952441,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.003353203241433326,-28.68558026985196,0.0006394638242375368,0.04339152898551728,old_nextgen,10.0,400,0.1934498952473633,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.002879694737260368,-25.271763507287393,0.00025006251562922964,0.04339152898551728,old_nextgen,10.0,400,0.24470286758072735,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.005379034607788617,-34.19019591522034,1.0,0.04339152898551728,old_nextgen,10.0,400,0.2610431617090627,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.006407768601619105,-4.180119378746394,1.0,0.04339152898551728,old_nextgen,10.0,400,0.5584955389588916,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0024667993743625787,-3.5635829621668114,1.0,0.04339152898551728,old_nextgen,10.0,400,0.7413329414952441,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.0029925095047479383,-12.201562693343448,0.0006394638242375368,0.024880810846173263,global_best_mean,20.0,25,0.2880073335025006,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0028138956416471025,-10.273918022421691,0.00025006251562922964,0.024880810846173263,global_best_mean,20.0,25,0.36319340187901605,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0020422549201794113,-54.48697306617761,1.0,0.024880810846173263,global_best_mean,20.0,25,0.4915189229209346,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.002278070311408679,-22.156715430717234,1.0,0.024880810846173263,global_best_mean,20.0,25,0.7694525674765836,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022210830478196298,-11.327601647051832,1.0,0.024880810846173263,global_best_mean,20.0,25,0.8767775377968973,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.0030749696613320515,-17.958596477295032,0.0006394638242375368,0.04050677395383602,global_best_mean,20.0,100,0.2902779028168755,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0027268293461059877,-16.054003282713857,0.00025006251562922964,0.04050677395383602,global_best_mean,20.0,100,0.36565160353328474,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.0030406511476859365,-46.36731770027956,1.0,0.04050677395383602,global_best_mean,20.0,100,0.5241062645252206,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004593973528409457,-6.90325980446983,1.0,0.04050677395383602,global_best_mean,20.0,100,0.7965238124088497,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0012489903962681298,-9.600908779589934,1.0,0.04050677395383602,global_best_mean,20.0,100,0.8932502631106591,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0036875861489968453,-21.574074851415403,0.0006394638242375368,0.06133718401231365,global_best_mean,20.0,400,0.2882870010318845,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0030612486290705065,-20.560430049676647,0.00025006251562922964,0.06133718401231365,global_best_mean,20.0,400,0.36547447600552363,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.003210083622196179,-60.72622883544903,1.0,0.06133718401231365,global_best_mean,20.0,400,0.5241062645252206,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.005775659001596361,-13.632499790614471,1.0,0.06133718401231365,global_best_mean,20.0,400,0.7965238124088497,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0023921584330686444,-6.481576625343521,1.0,0.06133718401231365,global_best_mean,20.0,400,0.8932502631106591,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.0030536884249488024,-10.406609801390331,0.0006394638242375368,0.015264808023132946,global_best_worst,14.0,25,0.20963131812338326,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0028720853149519906,-8.418436490012503,0.00025006251562922964,0.015264808023132946,global_best_worst,14.0,25,0.2668095675772084,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.00265169219315046,-40.905252809252055,1.0,0.015264808023132946,global_best_worst,14.0,25,0.32679068215052676,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022758626099024823,-22.232154163108518,1.0,0.015264808023132946,global_best_worst,14.0,25,0.6290231720966453,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022716992215023597,-9.30684986998388,1.0,0.015264808023132946,global_best_worst,14.0,25,0.7898856194663411,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.00314324471977473,-16.13699098613529,0.0006394638242375368,0.026182482550755747,global_best_worst,14.0,100,0.2116255911878644,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.002798126678666994,-13.8591003806806,0.00025006251562922964,0.026182482550755747,global_best_worst,14.0,100,0.26918300330521305,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.0037789019936857056,-33.34564202691648,1.0,0.026182482550755747,global_best_worst,14.0,100,0.35203315268387897,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004523531034910092,-8.330774890371128,1.0,0.026182482550755747,global_best_worst,14.0,100,0.6652526116027858,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0011916344280078035,-13.75220363525278,1.0,0.026182482550755747,global_best_worst,14.0,100,0.815009903827635,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0036939127876685737,-21.43952274310843,0.0006394638242375368,0.043530457980673,global_best_worst,14.0,400,0.20968460535342648,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0031010762716189954,-19.52690053948204,0.00025006251562922964,0.043530457980673,global_best_worst,14.0,400,0.26844037625165473,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.004025703448487454,-50.74752728588648,1.0,0.043530457980673,global_best_worst,14.0,400,0.35203315268387897,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.00583216885293563,-12.787468150756975,1.0,0.043530457980673,global_best_worst,14.0,400,0.6652526116027858,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.002340832477629712,-8.48810025876755,1.0,0.043530457980673,global_best_worst,14.0,400,0.815009903827635,wsdcon_18.csv,WSD-con 18e-5,1
0.003408385839825258,0.0027081485632094683,-20.54454247620303,0.0006394638242375368,0.01697307065265418,schedule_adaptive,7.0,25,0.29389362334137775,wsd_20000_24000.csv,WSD sharp,1
0.0031360955249893426,0.0026447945428844655,-15.666008200006809,0.00025006251562922964,0.01697307065265418,schedule_adaptive,7.0,25,0.3512769298540737,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.0020422549201794113,-54.48697306617761,1.0,0.024880810846173263,schedule_adaptive,20.0,25,0.4915189229209346,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.002278070311408679,-22.156715430717234,1.0,0.024880810846173263,schedule_adaptive,20.0,25,0.7694525674765836,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0022210830478196298,-11.327601647051832,1.0,0.024880810846173263,schedule_adaptive,20.0,25,0.8767775377968973,wsdcon_18.csv,WSD-con 18e-5,1
0.0037480705220761528,0.002555058742172111,-31.830024885529685,0.0006394638242375368,0.029087548043239247,schedule_adaptive,7.0,100,0.29630340766597957,wsd_20000_24000.csv,WSD sharp,1
0.003248313740665229,0.0024112719568255437,-25.76850177250014,0.00025006251562922964,0.029087548043239247,schedule_adaptive,7.0,100,0.3537969670061872,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.0030406511476859365,-46.36731770027956,1.0,0.04050677395383602,schedule_adaptive,20.0,100,0.5241062645252206,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004593973528409457,-6.90325980446983,1.0,0.04050677395383602,schedule_adaptive,20.0,100,0.7965238124088497,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0012489903962681298,-9.600908779589934,1.0,0.04050677395383602,schedule_adaptive,20.0,100,0.8932502631106591,wsdcon_18.csv,WSD-con 18e-5,1
0.004701998914275349,0.0027643235388602684,-41.20960916286614,0.0006394638242375368,0.047055107923072714,schedule_adaptive,7.0,400,0.29329378518642163,wsd_20000_24000.csv,WSD sharp,1
0.0038535563963712593,0.0024882820596990635,-35.42894397387879,0.00025006251562922964,0.047055107923072714,schedule_adaptive,7.0,400,0.3517145578542816,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.003210083622196179,-60.72622883544903,1.0,0.06133718401231365,schedule_adaptive,20.0,400,0.5241062645252206,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.005775659001596361,-13.632499790614471,1.0,0.06133718401231365,schedule_adaptive,20.0,400,0.7965238124088497,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0023921584330686444,-6.481576625343521,1.0,0.06133718401231365,schedule_adaptive,20.0,400,0.8932502631106591,wsdcon_18.csv,WSD-con 18e-5,1
