base_mae,cap_name,corr_mae,delta_pct,estimator,kappa,rho,scale,test_curve,test_label,train_curve,train_label,win
0.00744534704076948,none,0.007055122146552182,-5.2411914727478965,orth_deg2_rho_0p0_none,0.03434651006178162,0.0,25,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,1
0.003408385839825258,none,0.0023503224948501745,-31.042945097710195,orth_deg2_rho_0p0_none,0.03434651006178162,0.0,25,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.0031360955249893426,none,0.002366026581433328,-24.55502191881198,orth_deg2_rho_0p0_none,0.03434651006178162,0.0,25,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.004487187642230267,none,0.0054264484397569595,20.932059731289755,orth_deg2_rho_0p0_none,0.03434651006178162,0.0,25,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0
0.002926482771138891,none,0.0032761471061810337,11.948279295902541,orth_deg2_rho_0p0_none,0.03434651006178162,0.0,25,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0
0.002504818961791151,none,0.001965262076352836,-21.540753789746436,orth_deg2_rho_0p0_none,0.03434651006178162,0.0,25,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
0.007265129575917493,none,0.006688300042675941,-7.93970055473795,orth_deg2_rho_0p0_none,0.0507878835053786,0.0,100,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,1
0.0037480705220761528,none,0.002174977774791003,-41.97073502271705,orth_deg2_rho_0p0_none,0.0507878835053786,0.0,100,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.003248313740665229,none,0.002116278571108137,-34.849933224900255,orth_deg2_rho_0p0_none,0.0507878835053786,0.0,100,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.0056693997340904675,none,0.008693116036741,53.33397616098103,orth_deg2_rho_0p0_none,0.0507878835053786,0.0,100,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,0
0.004934623402238123,none,0.006325211575586049,28.180228965744746,orth_deg2_rho_0p0_none,0.0507878835053786,0.0,100,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,0
0.0013816404339982303,none,0.0017053334349382617,23.428165025781666,orth_deg2_rho_0p0_none,0.0507878835053786,0.0,100,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,0
0.005612615040270773,none,0.005612615040270773,0.0,orth_deg2_rho_0p0_none,0.0,0.0,400,cosine_72000.csv,Cosine,cosine_72000.csv,Cosine,0
