cap_name,estimator,max_kappa,mean_delta_pct,mean_kappa,rho,test_curve,test_label,tests,train_curve,train_label,wins
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-12.854507738627563,0.01946231658103123,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-28.68971752615434,0.01946231658103123,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.021160307175174,0.01946231658103123,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p02,orth_deg2_rho_0p0_cap_0p02,0.02,-11.134619309857575,0.01946231658103123,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-3.089281021867333,0.02,0.0,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-17.377593783834996,0.02,0.0,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-14.011064074510003,0.02,0.0,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-4.063499106846398,0.02,0.0,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,1
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,1.7537399756701284,0.02,0.0,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,0
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-8.519153783073703,0.02,0.0,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-4.406336042489797,0.03,0.0,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-24.02118920061733,0.03,0.0,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-19.835187837404423,0.03,0.0,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-16.23182172240143,0.03,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-0.9772535589153737,0.03,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-10.856849642925122,0.03,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-4.406336042489797,0.03,0.0,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-24.02118920061733,0.03,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-19.835187837404423,0.03,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-16.23182172240143,0.03,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-0.9772535589153737,0.03,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-10.856849642925122,0.03,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-3.9070525170756043,0.026740667105886875,0.0,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-21.114743298421573,0.026740667105886875,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-17.519783391116686,0.026740667105886875,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-28.160524227064695,0.026740667105886875,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-7.922035369183792,0.026740667105886875,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,2
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-10.059852532126664,0.026740667105886875,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-3.3561522030911597,0.02318317730180861,0.0,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-18.05153785042842,0.02318317730180861,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-15.03831800618459,0.02318317730180861,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-32.11092869243172,0.02318317730180861,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-12.27191944320091,0.02318317730180861,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-10.871514328946063,0.02318317730180861,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-3.530114591533876,0.024352656210137203,0.0,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-19.226255782459067,0.024352656210137203,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-15.909017944744159,0.024352656210137203,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-27.48309502749639,0.024352656210137203,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-7.901957477936317,0.024352656210137203,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p03,orth_deg2_rho_0p0_cap_0p03,0.03,-12.877920916249485,0.024352656210137203,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-3.831471890830033,0.02478217002059387,0.0,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-21.366631049294284,0.02478217002059387,0.0,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-17.33415360378854,0.02478217002059387,0.0,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,12.090604955810306,0.02478217002059387,0.0,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,0
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,9.078340876831858,0.02478217002059387,0.0,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,0
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-4.012069431041009,0.02478217002059387,0.0,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,1
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-5.808677422585962,0.03976076277924278,0.0,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-31.493208601324863,0.03976076277924278,0.0,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-26.275881538574577,0.03976076277924278,0.0,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,7.63913628949057,0.03976076277924278,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,1
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,10.848543561724874,0.03976076277924278,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-5.261700415725042,0.03976076277924278,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,2
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-5.845184423708933,0.04,0.0,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-31.64610734585355,0.04,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-26.446917116539367,0.04,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,8.775644307776643,0.04,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,1
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,11.400165652411262,0.04,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-5.189783723376133,0.04,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,2
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-4.316140557672344,0.030074000439220205,0.0,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-23.29514799214425,0.030074000439220205,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-19.461157978748105,0.030074000439220205,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-28.259554959626172,0.030074000439220205,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-7.214402045320064,0.030074000439220205,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,2
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.04,-9.44053440515434,0.030074000439220205,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.0369957665765904,-3.6437397662493325,0.02551509949400541,0.0,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.0369957665765904,-19.578342465392282,0.02551509949400541,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.0369957665765904,-16.396458351463945,0.02551509949400541,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.0369957665765904,-32.58358021301748,0.02551509949400541,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.0369957665765904,-11.945178689145754,0.02551509949400541,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.0369957665765904,-10.58671722573188,0.02551509949400541,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.03065474283818566,-3.5577298612376977,0.024570903822865756,0.0,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.03065474283818566,-19.371250666423776,0.024570903822865756,0.0,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.03065474283818566,-16.036128055492867,0.024570903822865756,0.0,wsdld_20000_24000.csv,WSD linear,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.03065474283818566,-27.592378338214825,0.024570903822865756,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.03065474283818566,-7.8995144764842,0.024570903822865756,0.0,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p04,orth_deg2_rho_0p0_cap_0p04,0.03065474283818566,-12.883772892163384,0.024570903822865756,0.0,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_18.csv,WSD-con 18e-5,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-4.352573907475221,0.028115503353927207,0.0,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-24.12137672014208,0.028115503353927207,0.0,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-19.62144017816799,0.028115503353927207,0.0,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,23.830387217362297,0.028115503353927207,0.0,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,0
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,13.062281324069966,0.028115503353927207,0.0,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,0
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,0.2901706769518467,0.028115503353927207,0.0,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,1
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-6.722731154948195,0.04642742944590944,0.0,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-36.423551127150034,0.04642742944590944,0.0,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,-30.50454270058556,0.04642742944590944,0.0,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
cap_0p05,orth_deg2_rho_0p0_cap_0p05,0.05,23.369074936287962,0.04642742944590944,0.0,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,1
