kind,scale,train,test,n_train,lambda,kappa,train_delta_pct,test_base_mae,test_corr_mae,test_delta_pct,wins,tests,train_has_final_target,test_has_final_target
all_splits,400,wsdcon_3+wsdcon_9,wsd_20000_24000+wsdld_20000_24000+wsdcon_18,2,20.0,0.049944149954056355,-34.14629198554585,0.003704503168284664,0.0031663304676336026,-14.52752707187608,3,3,False,True
all_splits,25,wsdcon_3+wsdcon_18,wsd_20000_24000+wsdld_20000_24000+wsdcon_9,2,20.0,0.025822119205196743,-40.312659389962946,0.00315698804531783,0.0026871664049057157,-14.881958172407817,3,3,False,True
all_splits,100,wsdcon_3+wsdcon_18,wsd_20000_24000+wsdld_20000_24000+wsdcon_9,2,20.0,0.03292758712128786,-37.377964751872874,0.003977002554993169,0.003472952254879954,-12.67412562962461,3,3,False,True
all_splits,400,wsdcon_3+wsdcon_18,wsd_20000_24000+wsdld_20000_24000+wsdcon_9,2,20.0,0.051492698175926485,-41.95436052543934,0.005080953761741711,0.004286232986990961,-15.641173134359054,3,3,False,True
all_splits,25,wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000+wsdcon_3,2,14.0,0.021157119823719785,-20.534188568572343,0.003677223002348289,0.0026561342965689184,-27.7679299059997,3,3,False,True
all_splits,100,wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000+wsdcon_3,2,20.0,0.023227250145110772,-9.51775622494193,0.00422192799894395,0.0033799912432712583,-19.941997018501713,3,3,False,True
all_splits,400,wsdcon_9+wsdcon_18,wsd_20000_24000+wsdld_20000_24000+wsdcon_3,2,14.0,0.03328633032914124,-9.748530352938678,0.0055763873631489045,0.003989423945814178,-28.45862946720745,3,3,False,True
all_splits,25,wsd_20000_24000+wsdld_20000_24000+wsdcon_3,wsdcon_9+wsdcon_18,3,20.0,0.03012361369525829,-31.582080473123753,0.002715650866465021,0.0022651710405952787,-16.58828207383427,2,2,True,False
all_splits,100,wsd_20000_24000+wsdld_20000_24000+wsdcon_3,wsdcon_9+wsdcon_18,3,20.0,0.04126198510645859,-29.70145556662106,0.0031581319181181768,0.0029356131933278057,-7.0458970859888055,2,2,True,False
all_splits,400,wsd_20000_24000+wsdld_20000_24000+wsdcon_3,wsdcon_9+wsdcon_18,3,20.0,0.062448384913499314,-40.58972289294754,0.004622630084392956,0.004093675534030553,-11.442718554276565,2,2,True,False
all_splits,25,wsd_20000_24000+wsdld_20000_24000+wsdcon_9,wsdcon_3+wsdcon_18,3,14.0,0.03387759081883837,-17.55018739221681,0.003496003302010709,0.0029359790723976196,-16.01898457278328,2,2,True,False
all_splits,100,wsd_20000_24000+wsdld_20000_24000+wsdcon_9,wsdcon_3+wsdcon_18,3,20.0,0.05295750254254917,-12.688476156711337,0.003525520084044349,0.0028785698480230677,-18.350490724736524,2,2,True,False
