step,lr,loss
1.0,7.018313411558286e-08,810.426513671875
2.0,1.4036626823116571e-07,1173.222900390625
3.0,2.1054940234674854e-07,845.58349609375
4.0,2.8073253646233143e-07,959.32763671875
5.0,3.5091567057791426e-07,927.6259155273438
6.0,4.210988046934971e-07,915.8277587890625
7.0,4.912819388090799e-07,880.4804077148438
8.0,5.614650729246629e-07,744.208984375
9.0,6.316482070402456e-07,1005.769775390625
10.0,7.018313411558285e-07,750.9688720703125
11.0,7.720144752714113e-07,913.9368896484375
12.0,8.421976093869942e-07,1049.71142578125
13.0,9.123807435025771e-07,837.425048828125
14.0,9.825638776181598e-07,846.2078857421875
15.0,1.0527470117337428e-06,954.1826782226562
16.0,1.1229301458493257e-06,756.9301147460938
17.0,1.1931132799649084e-06,746.9092407226562
18.0,1.2632964140804912e-06,726.599609375
19.0,1.333479548196074e-06,834.3648681640625
20.0,1.403662682311657e-06,677.414794921875
21.0,1.4738458164272398e-06,1100.613037109375
22.0,1.5440289505428227e-06,774.4853515625
23.0,1.6142120846584056e-06,813.7279052734375
24.0,1.6843952187739884e-06,830.3314819335938
25.0,1.7545783528895713e-06,893.2393798828125
26.0,1.8247614870051542e-06,659.5628662109375
27.0,1.894944621120737e-06,671.7074584960938
28.0,1.9651277552363197e-06,1036.3692626953125
29.0,2.0353108893519026e-06,981.8345947265625
30.0,2.1054940234674856e-06,877.7186889648438
31.0,2.1756771575830685e-06,796.18701171875
32.0,2.2458602916986514e-06,683.1591186523438
33.0,2.3160434258142344e-06,739.842529296875
34.0,2.386226559929817e-06,874.0208740234375
35.0,2.4564096940454e-06,913.9013671875
36.0,2.5265928281609823e-06,816.8082885742188
37.0,2.5967759622765653e-06,846.5671997070312
38.0,2.666959096392148e-06,606.8117065429688
39.0,2.737142230507731e-06,870.6192626953125
40.0,2.807325364623314e-06,563.3338623046875
41.0,2.877508498738897e-06,688.9085693359375
42.0,2.9476916328544795e-06,757.5635986328125
43.0,3.0178747669700625e-06,730.6018676757812
44.0,3.0880579010856454e-06,682.5567016601562
45.0,3.1582410352012283e-06,829.3323974609375
46.0,3.2284241693168113e-06,689.4173583984375
47.0,3.2986073034323938e-06,650.022705078125
48.0,3.3687904375479767e-06,641.2435302734375
49.0,3.4389735716635597e-06,749.7808837890625
50.0,3.5091567057791426e-06,552.93359375
51.0,3.5793398398947255e-06,818.320556640625
52.0,3.6495229740103085e-06,695.0732421875
53.0,3.719706108125891e-06,668.8046264648438
54.0,3.789889242241474e-06,784.37060546875
55.0,3.860072376357057e-06,516.0864868164062
56.0,3.930255510472639e-06,740.6519775390625
57.0,4.000438644588223e-06,609.7257690429688
58.0,4.070621778703805e-06,704.318359375
59.0,4.140804912819389e-06,675.7437744140625
60.0,4.210988046934971e-06,677.7422485351562
61.0,4.2811711810505545e-06,643.6136474609375
62.0,4.351354315166137e-06,725.4798583984375
63.0,4.4215374492817195e-06,774.119384765625
64.0,4.491720583397303e-06,690.6632080078125
65.0,4.561903717512885e-06,766.937744140625
66.0,4.632086851628469e-06,852.6328125
67.0,4.702269985744051e-06,650.8765869140625
68.0,4.772453119859634e-06,850.2139282226562
69.0,4.842636253975217e-06,838.8920288085938
70.0,4.9128193880908e-06,877.9049072265625
71.0,4.983002522206383e-06,804.1677856445312
72.0,5.053185656321965e-06,941.557861328125
73.0,5.123368790437548e-06,646.1536865234375
74.0,5.1935519245531305e-06,753.7862548828125
75.0,5.263735058668714e-06,583.718994140625
76.0,5.333918192784296e-06,493.2238464355469
77.0,5.40410132689988e-06,785.79541015625
78.0,5.474284461015462e-06,857.4005126953125
79.0,5.544467595131046e-06,798.7342529296875
80.0,5.614650729246628e-06,547.795166015625
81.0,5.6848338633622115e-06,1013.0118408203125
82.0,5.755016997477794e-06,601.5081787109375
83.0,5.825200131593377e-06,785.239990234375
84.0,5.895383265708959e-06,742.2146606445312
85.0,5.965566399824542e-06,756.3757934570312
86.0,6.035749533940125e-06,605.3018798828125
87.0,6.105932668055708e-06,644.5073852539062
88.0,6.176115802171291e-06,700.3208618164062
89.0,6.246298936286874e-06,581.6559448242188
90.0,6.316482070402457e-06,934.1231689453125
91.0,6.38666520451804e-06,873.905517578125
92.0,6.4568483386336225e-06,848.2255859375
93.0,6.527031472749206e-06,885.1182861328125
