active_source_config_id,base_config_id,base_mae,channel,config_id,corr_mae,delta_pct,fit_start_step,kappa,max_mode,nuisance_lambda,pair_config_id,raw_map,response_lambda,retention_power,rho,rho_smooth,rho_step,ridge_tau,scale,shrink,smooth_config_id,smooth_lambda,source_corr,source_dot,source_full_l2,source_l2,source_retention,step_config_id,step_lambda,target_factor,target_retention,test_curve,test_label,train_curve,win
1401,1309,0.003408385839825258,smooth,1401,0.0020741187062750326,-39.1465988961693,12000,0.02707108858966617,16,0.04,5814,0.0920650782604762,4.0,0.25,0.0,0.0,0.2,0.05,25,1.0,1401,4.0,0.44886210080913097,0.0006360155318460302,0.5896991271299976,0.0044083255438785995,0.007475550396917572,235,20.0,1.0,0.24335839520469996,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1401,1309,0.0031360955249893426,smooth,1401,0.002086219410909152,-33.47717267265825,12000,0.02707108858966617,16,0.04,5814,0.0920650782604762,4.0,0.25,0.0,0.0,0.2,0.05,25,1.0,1401,4.0,0.44886210080913097,0.0006360155318460302,0.5896991271299976,0.0044083255438785995,0.007475550396917572,235,20.0,1.0,0.29571049622273027,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1401,1309,0.0037480705220761528,smooth,1401,0.0016238021037187247,-56.67631934472623,12000,0.04227333901513613,16,0.04,5814,0.14376585750769555,4.0,0.25,0.0,0.0,0.2,0.05,100,1.0,1401,4.0,0.4830482526916642,0.000993181345758024,0.5896991271299976,0.0044083255438785995,0.007475550396917572,235,20.0,1.0,0.2456990378611949,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1401,1309,0.003248313740665229,smooth,1401,0.001586519143208265,-51.15868509415109,12000,0.04227333901513613,16,0.04,5814,0.14376585750769555,4.0,0.25,0.0,0.0,0.2,0.05,100,1.0,1401,4.0,0.4830482526916642,0.000993181345758024,0.5896991271299976,0.0044083255438785995,0.007475550396917572,235,20.0,1.0,0.2982128580117547,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
1401,1309,0.004701998914275349,smooth,1401,0.0017633255701516547,-62.49838414895912,12000,0.05524199821580266,16,0.04,5814,0.18761615684231783,4.0,0.25,0.0,0.0,0.2,0.05,400,1.0,1401,4.0,0.5045592429719088,0.0013007903832858178,0.5898288261410543,0.004433253538388318,0.00751616967823158,235,20.0,1.0,0.2426121194736792,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,1
1401,1309,0.0038535563963712593,smooth,1401,0.0016940488947170536,-56.03933819906537,12000,0.05524199821580266,16,0.04,5814,0.18761615684231783,4.0,0.25,0.0,0.0,0.2,0.05,400,1.0,1401,4.0,0.5045592429719088,0.0013007903832858178,0.5898288261410543,0.004433253538388318,0.00751616967823158,235,20.0,1.0,0.2956084373364619,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,1
235,466,0.004487187642230267,step,235,0.0018109459149959388,-59.641850098877434,3000,0.02823577040647246,12,0.015,5814,0.049412598211326805,20.0,0.0,0.75,0.5,0.75,0.05,25,0.5714285714285714,1401,7.0,0.3205716320165857,0.0001532844574903984,0.02342438931777075,0.0006021331206838085,0.025705392465749547,235,20.0,1.0,0.36648980196235664,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
235,466,0.002926482771138891,step,235,0.0023095485819453034,-21.08108051336646,3000,0.02823577040647246,12,0.015,5814,0.049412598211326805,20.0,0.0,0.75,0.5,0.75,0.05,25,0.5714285714285714,1401,7.0,0.3205716320165857,0.0001532844574903984,0.02342438931777075,0.0006021331206838085,0.025705392465749547,235,20.0,1.0,0.6798925786633867,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,1
235,466,0.002504818961791151,step,235,0.002199852689764711,-12.175182185955824,3000,0.02823577040647246,12,0.015,5814,0.049412598211326805,20.0,0.0,0.75,0.5,0.75,0.05,25,0.5714285714285714,1401,7.0,0.3205716320165857,0.0001532844574903984,0.02342438931777075,0.0006021331206838085,0.025705392465749547,235,20.0,1.0,0.8229887510545381,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,1
235,466,0.0056693997340904675,step,235,0.0029890526414793326,-47.277440616755854,3000,0.037121895701355725,12,0.015,5814,0.06496331747737252,20.0,0.0,0.75,0.5,0.75,0.05,100,0.5714285714285714,1401,7.0,0.3681241987884232,0.00020152485877605463,0.02342438931777075,0.0006021331206838085,0.025705392465749547,235,20.0,1.0,0.4031018714056573,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,1
