step,baseline_pred_loss,optimized_pred_loss
1,36.8827808133696,36.8827808133696
301,4.841179424569851,4.841179424569851
602,4.303488058996134,4.303488058996134
902,4.067847075901953,4.067847075901953
1203,3.927556731510195,3.927556731510195
1504,3.832214568167797,3.832214568167797
1804,3.762266391415806,3.762266391415806
2105,3.7078466872680185,3.7078466872680185
2405,3.6642147806047323,3.6642147806047323
2706,3.6280169206920605,3.6280169206920605
3007,3.5974511845438633,3.5974511845438633
3307,3.571279003357386,3.571279003357386
3608,3.548403724164711,3.548403724164711
3909,3.528249393134064,3.528249393134064
4209,3.5103740618772843,3.5103740618772843
4510,3.494280071733146,3.494280071733146
4810,3.4797816321206088,3.4797816321206088
5111,3.466549744755422,3.466549744755422
5412,3.4544483056696254,3.4544483056696254
5712,3.4433610012071254,3.4433610012071254
6013,3.4330894783226484,3.4330894783226484
6314,3.423568590947114,3.423568590947114
6614,3.4147398659195294,3.4147398659195294
6915,3.4064711831379384,3.4064711831379384
7215,3.3987553367013508,3.3987553367013508
7516,3.3914873249201114,3.3914873249201114
7817,3.384647329470175,3.384647329470175
8117,3.3782159027954015,3.3782159027954015
8418,3.3721150844349608,3.3721150844349608
8719,3.366336053385837,3.366336053385837
9019,3.3608693401054266,3.3608693401054266
9320,3.3556544478363404,3.3556544478363404
9620,3.3507047310318168,3.3507047310318168
9921,3.3459680954728563,3.3459680954728563
10222,3.3414442871236076,3.3414442871236076
10522,3.3371319495044793,3.3371319495044793
10823,3.3329884688508726,3.3329884688508726
11124,3.3290159651210653,3.3290159651210653
11424,3.3252154510017413,3.3252154510017413
11725,3.321551250022907,3.321551250022907
12025,3.3180383246350864,3.3180383246350864
12326,3.31464464204963,3.31464464204963
12627,3.311374228752245,3.311374228752245
12927,3.3082301204746773,3.3082301204746773
13228,3.305184698675273,3.305184698675273
13529,3.3022424801212926,3.3022424801212926
13829,3.2994070810091283,3.2994070810091283
14130,3.2966543608486387,3.2966543608486387
14430,3.2939977790712747,3.2939977790712747
14731,3.2914151225207893,3.2914151225207893
15032,3.2889111925171752,3.2889111925171752
15332,3.2864900340032204,3.2864900340032204
15633,3.284131875672624,3.284131875672624
15934,3.2818415122600957,3.2818415122600957
16234,3.279623059338449,3.279623059338449
16535,3.2774587635720094,3.2774587635720094
16835,3.275360241301715,3.275360241301715
17136,3.2733108975791856,3.2733108975791856
17437,3.271315370498091,3.271315370498091
17737,3.2693777297019055,3.2693777297019055
18038,3.2674828927776973,3.2674828927776973
18339,3.265635357817833,3.265635357817833
18639,3.263839110471561,3.263839110471561
18940,3.262080360051039,3.262080360051039
19240,3.2603690849056184,3.2603690849056184
19541,3.2586922539300023,3.2586922539300023
19842,3.2570540999998854,3.2570540999998854
20142,3.255458423027802,3.255458423027802
20443,3.2538932056552743,3.2538932056552743
20744,3.2523625155733074,3.2523625155733074
21044,3.250870027340521,3.250870027340521
21345,3.24940460994901,3.24940460994901
21645,3.2479748821916363,3.2479748821916363
21946,3.246570243319007,3.246570243319007
22247,3.2451944892183695,3.2451944892183695
22547,3.2438510795601867,3.2438510795601867
22848,3.2425301330957597,3.2425301330957597
23149,3.241235288551149,3.241235288551149
23449,3.239969877469873,3.239969877469873
23750,3.238724658719565,3.238724658719565
24050,3.23750713963774,3.23750713963774
24351,3.2363084670948834,3.2363084670948834
24652,3.2351320319579533,3.2351320319579533
24952,3.2339809592187487,3.2339809592187487
25253,3.23284692888165,3.23284692888165
25554,3.231733191853328,3.231733191853328
25854,3.230642754962016,3.230642754962016
26155,3.229567778728943,3.229567778728943
26455,3.228514860705257,3.228514860705257
26756,3.227476456037588,3.227476456037588
27057,3.226455598459565,3.226455598459565
27357,3.2254551082218583,3.2254551082218583
27658,3.224467848774848,3.224467848774848
27959,3.2234967324073893,3.2234967324073893
28259,3.2225444743783633,3.2225444743783633
28560,3.2216043099159664,3.2216043099159664
28860,3.220682086583781,3.220682086583781
29161,3.219771270074512,3.219771270074512
29462,3.218874585024935,3.218874585024935
29762,3.217994582218983,3.217994582218983
30063,3.217125048275812,3.217125048275812
30364,3.2162686035668693,3.2162686035668693
30664,3.2154277067075703,3.2154277067075703
30965,3.214596439391427,3.214596439391427
31265,3.213780025160529,3.213780025160529
31566,3.2129727299674187,3.2129727299674187
31867,3.212177012624235,3.212177012624235
32167,3.211395188071631,3.211395188071631
32468,3.2106217803015653,3.2106217803015653
32769,3.209859158595114,3.209859158595114
33069,3.209109556976593,3.209109556976593
33370,3.2083677389253396,3.2083677389253396
33670,3.2076384035044003,3.2076384035044003
33971,3.206916463870688,3.206916463870688
34272,3.2062041500109295,3.2062041500109295
34572,3.205503570640842,3.205503570640842
34873,3.2048098507534877,3.2048098507534877
35174,3.2041251427969435,3.2041251427969435
35474,3.203451484903395,3.203451484903395
35775,3.202784198877937,3.202784198877937
36075,3.20212753794836,3.20212753794836
36376,3.201476949539726,3.201476949539726
36677,3.2008344644648306,3.2008344644648306
36977,3.200202012396967,3.200202012396967
37278,3.199575215656407,3.199575215656407
37579,3.198956038201334,3.198956038201334
37879,3.1983463482618943,3.1983463482618943
38180,3.1977419322900467,3.1977419322900467
38480,3.197146663904311,3.197146663904311
38781,3.1965564345291924,3.1965564345291924
39082,3.195973103213689,3.195973103213689
39382,3.1953984424295285,3.1953984424295285
39683,3.194828491044442,3.194828491044442
39984,3.1942650506693906,3.1942650506693906
40284,3.193709838856251,3.193709838856251
40585,3.1931590344468512,3.1931590344468512
40885,3.192616182902486,3.192616182902486
41186,3.192077550973528,3.192077550973528
41487,3.1915448487168367,3.1915448487168367
41787,3.1910197094483106,3.1910197094483106
42088,3.1904985266337302,3.1904985266337302
42389,3.1899829594456754,3.1899829594456754
42689,3.1894745921905914,3.1894745921905914
42990,3.188969939549972,3.188969939549972
43290,3.1884722606533504,3.1884722606533504
43591,3.187978143883466,3.187978143883466
43892,3.187489168370899,3.187489168370899
44192,3.1870068436598595,3.1870068436598595
44493,3.1865278691800456,3.1865278691800456
44794,3.1860537773953306,3.1860537773953306
45094,3.1855860354836154,3.1855860354836154
45395,3.1851214475334935,3.1851214475334935
45695,3.184663020740689,3.184663020740689
45996,3.1842076233429,3.1842076233429
46297,3.183756717163477,3.183756717163477
46597,3.183311702454793,3.183311702454793
46898,3.1828695443053383,3.1828695443053383
47199,3.182431661179968,3.182431661179968
47499,3.181999419285501,3.181999419285501
47800,3.1815698718707504,3.1815698718707504
48100,3.181145804319479,3.181145804319479
48401,3.1807243299393844,3.1807243299393844
48702,3.180306803699811,3.180306803699811
49002,3.1798945326071903,3.1798945326071903
49303,3.1794847108699376,3.1794847108699376
49603,3.179079997877797,3.179079997877797
49904,3.1786776439257696,3.1786776439257696
50205,3.1782789447892834,3.1782789447892834
50505,3.17788515201812,3.17788515201812
50806,3.1774935903839947,3.1774935903839947
51107,3.1771055179014294,3.1771055179014294
51407,3.176722162651955,3.176722162651955
51708,3.176340914461365,3.176340914461365
52008,3.175964256197465,3.175964256197465
52309,3.1755896341732694,3.1755896341732694
52610,3.1752182506198365,3.1752182506198365
52910,3.1748512870732934,3.1748512870732934
53211,3.174486246691112,3.174486246691112
53512,3.1741243103386623,3.1741243103386623
53812,3.173766630202729,3.173766630202729
54113,3.173410762783124,3.173410762783124
54413,3.17305904443174,3.17305904443174
54714,3.172709083356421,3.172709083356421
55015,3.17236201036959,3.17236201036959
55315,3.172018938173413,3.172018938173413
55616,3.171677517951237,3.171677517951237
55917,3.1713388777968805,3.1713388777968805
56217,3.1710040851200434,3.1710040851200434
56518,3.170670859545809,3.170670859545809
56818,3.1703414011366653,3.1703414011366653
57119,3.170013444052091,3.170013444052091
57420,3.169688080922908,3.169688080922908
57720,3.169366338816448,3.169366338816448
58021,3.16904601586711,3.16904601586711
58322,3.1687281936237968,3.1687281936237968
58622,3.168413827926337,3.168413827926337
58923,3.1681008281567498,3.1681008281567498
59223,3.1677912361581826,3.1677912361581826
59524,3.167482906926935,3.167482906926935
59825,3.1671769184442553,3.1671769184442553
60125,3.1668741433274694,3.1668741433274694
60426,3.1665725941174037,3.1665725941174037
60727,3.1662732503234685,3.1662732503234685
61027,3.1659769429117346,3.1659769429117346
61328,3.1656818314951605,3.1656818314951605
61628,3.165389609920602,3.165389609920602
61929,3.165098420977299,3.165098420977299
62230,3.1648092178809075,3.1648092178809075
62530,3.1645225060260382,3.1645225060260382
62831,3.1642368505110103,3.1642368505110103
63132,3.163952280256493,3.163952280256493
63432,3.163670052972413,3.163670052972413
63733,3.163388176152591,3.163388176152591
64033,3.1631054905902545,3.1631054905902545
64334,3.1628234070617207,3.1628234070617207
64635,3.162527798530104,3.162527798530104
64935,3.1622234233887143,3.1622234233887143
65236,3.1612821316844095,3.1612821316844095
65537,3.155387603767668,3.155387603767668
65837,3.1489816938375297,3.1489816938375297
66138,3.142625854317895,3.142625854317895
66438,3.136419311366317,3.136419311366317
66739,3.13022743962346,3.13022743962346
67040,3.124526400216264,3.124526400216264
67340,3.1189127104492673,3.1189127104492673
67641,3.113570842921623,3.113570842921623
67942,3.1085345885813562,3.1085345885813562
68242,3.103587507123654,3.103587507123654
68543,3.099082593776222,3.099082593776222
68843,3.094689485565673,3.094689485565673
69144,3.090599854309968,3.090599854309968
69445,3.086902231413049,3.086902231413049
69745,3.0832952462970242,3.0832952462970242
70046,3.079924414815501,3.079924414815501
70347,3.076643139179346,3.076643139179346
70647,3.073866791561643,3.073866791561643
70948,3.071828152592387,3.071828152592387
71248,3.069915650566598,3.069915650566598
71549,3.069225002878195,3.069225002878195
71850,3.068881306768938,3.068881306768938
72150,3.0686245693668672,3.0795358016070944
72451,3.068412030748815,3.1124013931344994
72752,3.0682282964465557,3.1475195451038194
73052,3.0680654489366486,3.1548847622774256
73353,3.067917384202172,3.156163969190258
73653,3.067781823116822,3.1566528884573555
73954,3.067655583730258,3.156844353350554
74255,3.067537473948624,3.1568886067162167
74555,3.06742660037584,3.156850153618609
74856,3.067321255410277,3.156760639556847
75157,3.0672210491882734,3.1566378223069456
75457,3.0671256703245513,3.156492832813316
75758,3.067033973154971,3.1563314238313094
76058,3.0669461443246386,3.1561591095325436
76359,3.06686124058244,3.155977813516851
76660,3.0667792549897173,3.1557902792211556
76960,3.0667001845670896,3.1555987411451483
77261,3.06662327548505,3.1554031005865513
77562,3.066548597206749,3.155204883232761
77862,3.0664762135402133,3.155005443659173
78163,3.0664054883902665,3.154803986463298
78463,3.0663367558811294,3.1546022697304856
78764,3.0662694359941747,3.1543992846215914
79065,3.0662036511487654,3.154195973143144
79365,3.0661395141946195,3.153993230783562
79666,3.066076508598425,3.1537898848643104
79967,3.0660147695436164,3.153586758539679
80267,3.065954422602671,3.153384646625957
80568,3.065894998363143,3.1531823024285552
80868,3.0658368304879304,3.1529811539731876
81169,3.0657794747542373,3.1527799303625326
81470,3.0657230746856494,3.1525793618007687
81770,3.0656677651103466,3.1523801604141153
82071,3.0656131329500154,3.1521810393977012
82372,3.065559322831855,3.1519826986344213
82672,3.0655064713865987,3.1517858220517607
82973,3.065454190750817,3.151589121282031
83273,3.0654027953391862,3.1513939233948918
83574,3.065351911597031,3.151198943706117
83875,3.0653016830147375,3.1510048480438604
84175,3.0652522462071974,3.15081228796704
84476,3.0652032461876937,3.1506199886228736
84777,3.065154824839609,3.1504286004686115
85077,3.065107117774252,3.1502387601303257
85378,3.06505978579981,3.150049205939476
85678,3.065013123562971,3.1498612000901143
85979,3.0649668011566504,3.149673490736953
86280,3.0649209571236513,3.1494867067962544
86580,3.064875724609065,3.1493014639732
86881,3.0648307861175277,3.1491165263772953
87182,3.0647862780217086,3.1489325114798263
87482,3.0647423317475346,3.1487500238300687
87783,3.0646986406925087,3.148567844278377
88083,3.064655482263934,3.1483871802369165
88384,3.0646125564105344,3.1482068238206287
88685,3.0645699958601758,3.148027375019146
88985,3.0645279290390306,3.1478494213480737
89286,3.0644860648288903,3.14767177219525
89587,3.064444533818781,3.147495017643975
89887,3.064403462628057,3.147319735712762
90188,3.064362568147181,3.1471447529977237
90488,3.0643221132423073,3.146971227040801
90789,3.064281819697811,3.1467979958894388
91090,3.064241814686314,3.146625634082594
91390,3.064202221887784,3.14645470451587
91691,3.0641627698547658,3.1462840622593884
91992,3.064123583813534,3.1461142728584965
92292,3.0640847857450284,3.1459458906582323
92593,3.064046110363921,3.145777787457367
92893,3.06400780830438,3.145611074529214
93194,3.0639696180910105,3.1454446348452243
93495,3.063931661890541,3.1452790196624716
93795,3.0638940589827466,3.14511476946391
94096,3.063856553217339,3.1449507835061907
94397,3.0638192650345903,3.14478760483211
94697,3.0637823121753534,3.144625765938717
94998,3.0637454433947138,3.1444641820623205
95298,3.0637088989690686,3.1443039212436736
95599,3.063672430713858,3.1441439093875987
95900,3.063636156368192,3.1439846762287105
96200,3.06360019124601,3.143826741397563
96501,3.0635642914755894,3.143669046241539
96801,3.063528691643921,3.1435126330669085
97102,3.063493150582522,3.143356453566238
97403,3.063457783535701,3.1432010247057534
97703,3.063422703556742,3.143046853785319
