max_kappa,mean_delta_pct,mean_kappa,subset_mode,test_curve,test_label,tests,train_curve,train_label,wins
0.0071620819044142595,-0.7088113076957411,0.004586569543809351,even,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,2
0.0071620819044142595,-3.9833388463887878,0.004586569543809351,even,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,2
0.0071620819044142595,-3.210432768640411,0.004586569543809351,even,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,2
0.0071620819044142595,-11.516078640682311,0.004586569543809351,even,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,2
0.0071620819044142595,-5.3363751480161286,0.004586569543809351,even,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,2
0.0071620819044142595,-4.199761381427684,0.004586569543809351,even,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,2
0.03,-3.4467143871946084,0.02375382005999786,even,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
0.03,-18.491336144959785,0.02375382005999786,even,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
0.03,-15.419468781544213,0.02375382005999786,even,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
0.03,-31.520985840266803,0.02375382005999786,even,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.03,-11.741788012453666,0.02375382005999786,even,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.03,-10.147721531338238,0.02375382005999786,even,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
0.03,-3.717885216640519,0.025512061535286446,even,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
0.03,-20.031228038429006,0.025512061535286446,even,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
0.03,-16.654399209939655,0.025512061535286446,even,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
0.03,-30.16373201000496,0.025512061535286446,even,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,3
0.03,-10.07411920721485,0.025512061535286446,even,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,2
0.03,-10.007385018319578,0.025512061535286446,even,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
0.021629933205770304,-2.3760333029945406,0.01635128270546859,even,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
0.021629933205770304,-12.697755085262445,0.01635128270546859,even,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
0.021629933205770304,-10.587511107728497,0.01635128270546859,even,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
0.021629933205770304,-28.38409005944895,0.01635128270546859,even,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.021629933205770304,-11.319617864990384,0.01635128270546859,even,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.021629933205770304,-9.137312582875497,0.01635128270546859,even,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
0.02179207462910145,-2.428543478427969,0.016700095854850498,even,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
0.02179207462910145,-12.991756609279692,0.016700095854850498,even,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
0.02179207462910145,-10.826001293050785,0.016700095854850498,even,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
0.02179207462910145,-28.737735237141376,0.016700095854850498,even,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
0.02179207462910145,-11.56759276981375,0.016700095854850498,even,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
