all_mean_delta_pct,all_mean_factor,all_non_harm_cells,all_tests,all_wins,all_worst_delta_pct,extra_holdout_mean_delta_pct,extra_holdout_mean_factor,extra_holdout_non_harm_cells,extra_holdout_tests,extra_holdout_wins,extra_holdout_worst_delta_pct,main_matrix_mean_delta_pct,main_matrix_mean_factor,main_matrix_non_harm_cells,main_matrix_tests,main_matrix_wins,main_matrix_worst_delta_pct,threshold
-4.771317260211837,1.0,930,1116,558,22.53638404133347,2.248434815493517,1.0,372,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.0
-4.771317260211837,0.6666666666666666,930,1116,558,22.53638404133347,2.248434815493517,0.3333333333333333,372,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.0025
-4.771317260211837,0.6666666666666666,930,1116,558,22.53638404133347,2.248434815493517,0.3333333333333333,372,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.004180221202
-4.944191436596326,0.6344086021505376,966,1116,558,22.53638404133347,1.902686462724537,0.26881720430107525,408,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.004180223202
-4.944191436596326,0.6344086021505376,966,1116,558,22.53638404133347,1.902686462724537,0.26881720430107525,408,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.004741273446
-5.02863652410239,0.6209677419354839,981,1116,558,22.53638404133347,1.73379628771241,0.24193548387096775,423,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.004741275446
-5.02863652410239,0.6209677419354839,981,1116,558,22.53638404133347,1.73379628771241,0.24193548387096775,423,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005
-5.02863652410239,0.6209677419354839,981,1116,558,22.53638404133347,1.73379628771241,0.24193548387096775,423,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005136166641
-5.047979287422781,0.6182795698924731,984,1116,558,22.53638404133347,1.6951107610716287,0.23655913978494625,426,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005136168641
-5.047979287422781,0.6182795698924731,984,1116,558,22.53638404133347,1.6951107610716287,0.23655913978494625,426,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005450423819
-5.219657952564527,0.5940860215053764,1011,1116,558,22.53638404133347,1.3517534307881376,0.1881720430107527,453,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005450425819
-5.219657952564527,0.5940860215053764,1011,1116,558,22.53638404133347,1.3517534307881376,0.1881720430107527,453,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005721164724
-5.219657952564527,0.5940860215053764,1011,1116,558,22.53638404133347,1.3517534307881376,0.1881720430107527,453,558,0,22.53638404133347,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005721165724
-5.895534667958595,0.5,1116,1116,558,0.0,0.0,0.0,558,558,0,0.0,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.005721166724
-5.895534667958595,0.5,1116,1116,558,0.0,0.0,0.0,558,558,0,0.0,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.0075
-5.895534667958595,0.5,1116,1116,558,0.0,0.0,0.0,558,558,0,0.0,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.009200958752
-5.895534667958595,0.5,1116,1116,558,0.0,0.0,0.0,558,558,0,0.0,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.01
-5.895534667958595,0.5,1116,1116,558,0.0,0.0,0.0,558,558,0,0.0,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.014797270403
-5.895534667958595,0.5,1116,1116,558,0.0,0.0,0.0,558,558,0,0.0,-11.79106933591719,1.0,558,558,558,-1.0263101049168721,0.014797271403
