base_mae,corr_mae,delta_pct,nonharm,scale,test_curve,test_label,train_curve,train_label,win
0.003408385839825258,0.003077613490836074,-9.704662691772658,1,25,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0037480705220761528,0.0030171617039801467,-19.50093558248036,1,100,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.004701998914275349,0.002964851128048906,-36.94487850587189,1,400,wsd_20000_24000.csv,WSD sharp,wsdld_20000_24000.csv,WSD linear,1
0.0031360955249893426,0.0028539188666032002,-8.997706101031511,1,25,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.003248313740665229,0.0026247869903018245,-19.195397986270592,1,100,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.0038535563963712593,0.0023796537743828875,-38.24785394022746,1,400,wsdld_20000_24000.csv,WSD linear,wsdld_20000_24000.csv,WSD linear,1
0.004487187642230267,0.00377955810750672,-15.770000970403686,1,25,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.0056693997340904675,0.0045330401475709966,-20.04373725293116,1,100,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.008173606778800102,0.005618445600388075,-31.261121895897336,1,400,wsdcon_3.csv,WSD-con 3e-5,wsdld_20000_24000.csv,WSD linear,1
0.002926482771138891,0.0025669580863270933,-12.285214468284133,1,25,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
0.004934623402238123,0.004620914978248335,-6.357292105563794,1,100,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
0.006687305974578527,0.006080032460463057,-9.080988912784772,1,400,wsdcon_9.csv,WSD-con 9e-5,wsdld_20000_24000.csv,WSD linear,1
0.002504818961791151,0.002362064295343254,-5.699200965239248,1,25,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
0.0013816404339982303,0.0013229119985163644,-4.250630919356924,1,100,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
0.0025579541942073844,0.002557396192005973,-0.021814393810293264,1,400,wsdcon_18.csv,WSD-con 18e-5,wsdld_20000_24000.csv,WSD linear,1
0.00744534704076948,0.007199058645956991,-3.307950502023005,1,25,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.007265129575917493,0.006879456479351633,-5.308550832242442,1,100,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.005612615040270773,0.005190765012062948,-7.516104795733036,1,400,cosine_72000.csv,Cosine,wsdcon_3.csv,WSD-con 3e-5,1
0.003408385839825258,0.0027202861213997736,-20.18843378544144,1,25,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0037480705220761528,0.0026763018776316985,-28.595210205670675,1,100,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.004701998914275349,0.00308585487832656,-34.37142511969,1,400,wsd_20000_24000.csv,WSD sharp,wsdcon_3.csv,WSD-con 3e-5,1
0.0031360955249893426,0.0025490885403514152,-18.71776481170554,1,25,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.003248313740665229,0.0023340048645557887,-28.14718494286198,1,100,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.0038535563963712593,0.0024736798465065427,-35.8078722077116,1,400,wsdld_20000_24000.csv,WSD linear,wsdcon_3.csv,WSD-con 3e-5,1
0.004487187642230267,0.0031803978146892117,-29.12269180014816,1,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0056693997340904675,0.004056201426545902,-28.454481659571474,1,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.008173606778800102,0.005801403373970313,-29.022724838960656,1,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.002926482771138891,0.0022310711147903004,-23.762711443469698,1,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.004934623402238123,0.004688941929754572,-4.978727908032877,1,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.006687305974578527,0.006061291438254001,-9.361236628087466,1,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.002504818961791151,0.0022078490183031355,-11.855944402291552,1,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0013816404339982303,0.0013315107773565244,-3.628270815485568,1,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.0025579541942073844,0.0025399727463675044,-0.7029620733866149,1,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_3.csv,WSD-con 3e-5,1
0.00744534704076948,0.00728788688004377,-2.114880070243663,1,25,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.007265129575917493,0.006988838066801369,-3.802981161299268,1,100,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.005612615040270773,0.005262540809128645,-6.237274935664205,1,400,cosine_72000.csv,Cosine,wsdcon_9.csv,WSD-con 9e-5,1
0.003408385839825258,0.002968461366968604,-12.907120658593286,1,25,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0037480705220761528,0.002980268518686151,-20.485260319080023,1,100,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.004701998914275349,0.0033630452532386543,-28.476264785421545,1,400,wsd_20000_24000.csv,WSD sharp,wsdcon_9.csv,WSD-con 9e-5,1
0.0031360955249893426,0.0027608029164253927,-11.96687427323264,1,25,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.003248313740665229,0.0025933139975462564,-20.164300477478935,1,100,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.0038535563963712593,0.002709014637418099,-29.700921466490794,1,400,wsdld_20000_24000.csv,WSD linear,wsdcon_9.csv,WSD-con 9e-5,1
0.004487187642230267,0.003583618225083542,-20.136653271259775,1,25,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0056693997340904675,0.004481429198053738,-20.954079651385072,1,100,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.008173606778800102,0.0062064215369360375,-24.067529734441795,1,400,wsdcon_3.csv,WSD-con 3e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.002926482771138891,0.0024525358339387462,-16.19510430316663,1,25,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.004934623402238123,0.00461964618395893,-6.3830041850069685,1,100,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.006687305974578527,0.006087848784198248,-8.964105914385968,1,400,wsdcon_9.csv,WSD-con 9e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.002504818961791151,0.0023149564428205406,-7.579889878941315,1,25,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0013816404339982303,0.0013238426929441773,-4.183269368195619,1,100,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.0025579541942073844,0.0025113936878721588,-1.8202243981015886,1,400,wsdcon_18.csv,WSD-con 18e-5,wsdcon_9.csv,WSD-con 9e-5,1
0.00744534704076948,0.007267553475011232,-2.3879822496477354,1,25,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.007265129575917493,0.007069582763621294,-2.691580518321357,1,100,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
0.005612615040270773,0.005334851649679196,-4.948912202219691,1,400,cosine_72000.csv,Cosine,wsdcon_18.csv,WSD-con 18e-5,1
