base_mae,corr_mae,delta_pct,kappa,mode,nonharm,nuisance_weight,scale,target_drop_factor,target_drop_norm,test_curve,test_group,test_label,train_curve,train_group,train_label,win
0.003248313740665229,0.0025105479564669964,-22.712269906759186,0.02362552288632202,single_curve,1,0.0,100,0.9997499999999999,0.899775,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000.csv,wsd,WSD sharp,1
0.0038535563963712593,0.0025723347437564843,-33.247772209101456,0.0409193515854567,single_curve,1,0.0,400,0.9997499999999999,0.899775,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000.csv,wsd,WSD sharp,1
0.004487187642230267,0.003404396367326294,-24.130733128106797,0.014943551337091096,single_curve,1,0.0,25,0.9999999999999999,0.8999999999999999,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.0056693997340904675,0.004345705404607734,-23.34805079139638,0.02362552288632202,single_curve,1,0.0,100,0.9999999999999999,0.8999999999999999,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.008173606778800102,0.005975781470096055,-26.889295854120977,0.0409193515854567,single_curve,1,0.0,400,0.9999999999999999,0.8999999999999999,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.002926482771138891,0.002337633012925178,-20.121415510146747,0.014943551337091096,single_curve,1,0.0,25,0.7777777777777777,0.7,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.004934623402238123,0.004625304681465918,-6.268334897287442,0.02362552288632202,single_curve,1,0.0,100,0.7777777777777777,0.7,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.006687305974578527,0.006065446299610596,-9.299106057534988,0.0409193515854567,single_curve,1,0.0,400,0.7777777777777777,0.7,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.002504818961791151,0.002267349746565181,-9.480494153404207,0.014943551337091096,single_curve,1,0.0,25,0.4444444444444443,0.3999999999999999,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.0013816404339982303,0.0013262901847935903,-4.006125460910681,0.02362552288632202,single_curve,1,0.0,100,0.4444444444444443,0.3999999999999999,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.0025579541942073844,0.002525993627943698,-1.249458115241564,0.0409193515854567,single_curve,1,0.0,400,0.4444444444444443,0.3999999999999999,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000.csv,wsd,WSD sharp,1
0.00744534704076948,0.007326955202058498,-1.5901453359082995,0.008983318888906997,single_curve,1,0.0,25,0.9999999994941389,0.899999999544725,cosine_72000.csv,cosine,Cosine,wsdld_20000_24000.csv,wsd,WSD linear,1
0.007265129575917493,0.007002113981419945,-3.620246435375274,0.019967238690736612,single_curve,1,0.0,100,0.9999999994941389,0.899999999544725,cosine_72000.csv,cosine,Cosine,wsdld_20000_24000.csv,wsd,WSD linear,1
0.005612615040270773,0.005158610496129769,-8.089002022827152,0.04768253186042279,single_curve,1,0.0,400,0.9999999994941389,0.899999999544725,cosine_72000.csv,cosine,Cosine,wsdld_20000_24000.csv,wsd,WSD linear,1
0.003408385839825258,0.0013271300588426783,-61.06279860290941,0.008983318888906997,single_curve,1,0.8,25,0.9999360208900709,0.8999424188010638,wsd_20000_24000.csv,wsd,WSD sharp,wsdld_20000_24000.csv,wsd,WSD linear,1
0.0037480705220761528,0.0012900797030136527,-65.58016463630881,0.019967238690736612,single_curve,1,0.8,100,0.9999360208900709,0.8999424188010638,wsd_20000_24000.csv,wsd,WSD sharp,wsdld_20000_24000.csv,wsd,WSD linear,1
0.004701998914275349,0.0017818707844767022,-62.10397286424478,0.04768253186042279,single_curve,1,0.8,400,0.9999360208900709,0.8999424188010638,wsd_20000_24000.csv,wsd,WSD sharp,wsdld_20000_24000.csv,wsd,WSD linear,1
0.0031360955249893426,0.0009320657083695384,-70.27942226432322,0.008983318888906997,single_curve,1,1.0,25,0.9997499999999999,0.899775,wsdld_20000_24000.csv,wsd,WSD linear,wsdld_20000_24000.csv,wsd,WSD linear,1
