base_mae,corr_mae,delta_pct,group_id,kappa,mode,nonharm,scale,test_curve,test_group,test_label,train_curves,win
0.002926482771138891,0.0022310711147903004,-23.762711443469698,probe3,0.018687835355262025,group,1,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,1
0.004934623402238123,0.004688941929754572,-4.978727908032877,probe3,0.029278974086831423,group,1,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,1
0.006687305974578527,0.006061291438254001,-9.361236628087466,probe3,0.044219749334687725,group,1,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsdcon_3,1
0.002504818961791151,0.0022078490183031355,-11.855944402291552,probe3,0.018687835355262025,group,1,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,1
0.0013816404339982303,0.0013315107773565244,-3.628270815485568,probe3,0.029278974086831423,group,1,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,1
0.0025579541942073844,0.0025399727463675044,-0.7029620733866149,probe3,0.044219749334687725,group,1,400,wsdcon_18.csv,probe,WSD-con 18e-5,wsdcon_3,1
0.00744534704076948,0.007260380609975917,-2.484322487329571,wsd,0.014034856199993721,group,1,25,cosine_72000.csv,cosine,Cosine,wsd_20000_24000+wsdld_20000_24000,1
0.007265129575917493,0.006961249037994716,-4.182727021553512,wsd,0.02306956454717004,group,1,100,cosine_72000.csv,cosine,Cosine,wsd_20000_24000+wsdld_20000_24000,1
0.005612615040270773,0.00521094762139597,-7.156511109221297,wsd,0.0420532581321911,group,1,400,cosine_72000.csv,cosine,Cosine,wsd_20000_24000+wsdld_20000_24000,1
0.003408385839825258,0.0028916122052245782,-15.161829055925601,wsd,0.014034856199993721,group,1,25,wsd_20000_24000.csv,wsd,WSD sharp,wsd_20000_24000+wsdld_20000_24000,1
0.0037480705220761528,0.0029035998159196567,-22.530811551772032,wsd,0.02306956454717004,group,1,100,wsd_20000_24000.csv,wsd,WSD sharp,wsd_20000_24000+wsdld_20000_24000,1
0.004701998914275349,0.0031641953578624943,-32.705315004307145,wsd,0.0420532581321911,group,1,400,wsd_20000_24000.csv,wsd,WSD sharp,wsd_20000_24000+wsdld_20000_24000,1
0.0031360955249893426,0.0026952441122297757,-14.05733368919192,wsd,0.014034856199993721,group,1,25,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000+wsdld_20000_24000,1
0.003248313740665229,0.002527909140049662,-22.177802334697926,wsd,0.02306956454717004,group,1,100,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000+wsdld_20000_24000,1
0.0038535563963712593,0.002536831111283626,-34.169093420497006,wsd,0.0420532581321911,group,1,400,wsdld_20000_24000.csv,wsd,WSD linear,wsd_20000_24000+wsdld_20000_24000,1
0.004487187642230267,0.003458758267895356,-22.91924154577478,wsd,0.014034856199993721,group,1,25,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000+wsdld_20000_24000,1
0.0056693997340904675,0.004374175120735593,-22.845886233186295,wsd,0.02306956454717004,group,1,100,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000+wsdld_20000_24000,1
0.008173606778800102,0.005915870974505014,-27.62227087007637,wsd,0.0420532581321911,group,1,400,wsdcon_3.csv,probe,WSD-con 3e-5,wsd_20000_24000+wsdld_20000_24000,1
0.002926482771138891,0.002371976208808734,-18.94788405381117,wsd,0.014034856199993721,group,1,25,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000+wsdld_20000_24000,1
0.004934623402238123,0.004623689359145546,-6.301069357218858,wsd,0.02306956454717004,group,1,100,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000+wsdld_20000_24000,1
0.006687305974578527,0.006064018827878097,-9.320452048550298,wsd,0.0420532581321911,group,1,400,wsdcon_9.csv,probe,WSD-con 9e-5,wsd_20000_24000+wsdld_20000_24000,1
0.002504818961791151,0.0022817898964478116,-8.903999400573648,wsd,0.014034856199993721,group,1,25,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000+wsdld_20000_24000,1
0.0013816404339982303,0.001325776793615735,-4.04328354960165,wsd,0.02306956454717004,group,1,100,wsdcon_18.csv,probe,WSD-con 18e-5,wsd_20000_24000+wsdld_20000_24000,1
