base_mae,corr_mae,delta_pct,group,kappa,mode,scale,target_factor,target_peak_to_mean,test_curve,test_label,train_curve,train_label,win
0.003408385839825258,0.0029814290448999733,-12.526656751606913,main_matrix,0.013703333359633963,raw_nextgen,25,1.0,6.104594281058583,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.003408385839825258,0.0029814290448999733,-12.526656751606913,main_matrix,0.013703333359633963,target_localization_gate,25,1.0,6.104594281058583,wsd_20000_24000.csv,WSD sharp,cosine_72000.csv,Cosine,1
0.0031360955249893426,0.0028288587366091713,-9.79679304829898,main_matrix,0.013703333359633963,raw_nextgen,25,1.0,11.103998049458134,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.0031360955249893426,0.0028288587366091713,-9.79679304829898,main_matrix,0.013703333359633963,target_localization_gate,25,1.0,11.103998049458134,wsdld_20000_24000.csv,WSD linear,cosine_72000.csv,Cosine,1
0.004487187642230267,0.002843139237393469,-36.63872643444116,main_matrix,0.013703333359633963,raw_nextgen,25,1.0,4.22206118706609,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
0.004487187642230267,0.002843139237393469,-36.63872643444116,main_matrix,0.013703333359633963,target_localization_gate,25,1.0,4.22206118706609,wsdcon_3.csv,WSD-con 3e-5,cosine_72000.csv,Cosine,1
0.002926482771138891,0.0022512194348145538,-23.074229002262214,main_matrix,0.013703333359633963,raw_nextgen,25,1.0,10.37383095937158,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
0.002926482771138891,0.0022512194348145538,-23.074229002262214,main_matrix,0.013703333359633963,target_localization_gate,25,1.0,10.37383095937158,wsdcon_9.csv,WSD-con 9e-5,cosine_72000.csv,Cosine,1
0.002504818961791151,0.0022244401031710145,-11.193577775363151,main_matrix,0.013703333359633963,raw_nextgen,25,1.0,19.549738417616393,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
0.002504818961791151,0.0022244401031710145,-11.193577775363151,main_matrix,0.013703333359633963,target_localization_gate,25,1.0,19.549738417616393,wsdcon_18.csv,WSD-con 18e-5,cosine_72000.csv,Cosine,1
0.004428106847791531,0.004591927592965922,3.699566221083739,extra_holdout,0.013703333359633963,raw_nextgen,25,1.0,1.8284634386196519,cosine_24000.csv,Cosine 24k,cosine_72000.csv,Cosine,0
0.004428106847791531,0.004428106847791531,0.0,extra_holdout,0.013703333359633963,target_localization_gate,25,0.0,1.8284634386196519,cosine_24000.csv,Cosine 24k,cosine_72000.csv,Cosine,0
0.003761619732988638,0.003761619732988638,0.0,extra_holdout,0.013703333359633963,raw_nextgen,25,1.0,0.0,constant_24000.csv,Constant 24k,cosine_72000.csv,Cosine,0
0.003761619732988638,0.003761619732988638,0.0,extra_holdout,0.013703333359633963,target_localization_gate,25,0.0,0.0,constant_24000.csv,Constant 24k,cosine_72000.csv,Cosine,0
0.0015795124507172926,0.0015795124507172926,0.0,extra_holdout,0.013703333359633963,raw_nextgen,25,1.0,0.0,constant_72000.csv,Constant 72k,cosine_72000.csv,Cosine,0
