estimator,max_kappa,mean_delta_pct,mean_kappa,test_curve,test_label,tests,train_curve,train_label,wins
eb_q75,0.004452938456810804,-0.5664487737516896,0.0037662531945284994,cosine_72000.csv,Cosine,3,cosine_72000.csv,Cosine,3
eb_q75,0.004452938456810804,-3.075769616322873,0.0037662531945284994,wsd_20000_24000.csv,WSD sharp,3,cosine_72000.csv,Cosine,3
eb_q75,0.004452938456810804,-2.5242432642789763,0.0037662531945284994,wsdld_20000_24000.csv,WSD linear,3,cosine_72000.csv,Cosine,3
eb_q75,0.004452938456810804,-8.995111216411749,0.0037662531945284994,wsdcon_3.csv,WSD-con 3e-5,3,cosine_72000.csv,Cosine,3
eb_q75,0.004452938456810804,-3.859264810373697,0.0037662531945284994,wsdcon_9.csv,WSD-con 9e-5,3,cosine_72000.csv,Cosine,3
eb_q75,0.004452938456810804,-3.218512349777384,0.0037662531945284994,wsdcon_18.csv,WSD-con 18e-5,3,cosine_72000.csv,Cosine,3
eb_q75,0.03,-4.406336042489797,0.03,cosine_72000.csv,Cosine,3,wsd_20000_24000.csv,WSD sharp,3
eb_q75,0.03,-24.02118920061733,0.03,wsd_20000_24000.csv,WSD sharp,3,wsd_20000_24000.csv,WSD sharp,3
eb_q75,0.03,-19.835187837404423,0.03,wsdld_20000_24000.csv,WSD linear,3,wsd_20000_24000.csv,WSD sharp,3
eb_q75,0.03,-16.23182172240143,0.03,wsdcon_3.csv,WSD-con 3e-5,3,wsd_20000_24000.csv,WSD sharp,2
eb_q75,0.03,-0.9772535589153737,0.03,wsdcon_9.csv,WSD-con 9e-5,3,wsd_20000_24000.csv,WSD sharp,1
eb_q75,0.03,-10.856849642925122,0.03,wsdcon_18.csv,WSD-con 18e-5,3,wsd_20000_24000.csv,WSD sharp,3
eb_q75,0.03,-4.406336042489797,0.03,cosine_72000.csv,Cosine,3,wsdld_20000_24000.csv,WSD linear,3
eb_q75,0.03,-24.02118920061733,0.03,wsd_20000_24000.csv,WSD sharp,3,wsdld_20000_24000.csv,WSD linear,3
eb_q75,0.03,-19.835187837404423,0.03,wsdld_20000_24000.csv,WSD linear,3,wsdld_20000_24000.csv,WSD linear,3
eb_q75,0.03,-16.23182172240143,0.03,wsdcon_3.csv,WSD-con 3e-5,3,wsdld_20000_24000.csv,WSD linear,2
eb_q75,0.03,-0.9772535589153737,0.03,wsdcon_9.csv,WSD-con 9e-5,3,wsdld_20000_24000.csv,WSD linear,1
eb_q75,0.03,-10.856849642925122,0.03,wsdcon_18.csv,WSD-con 18e-5,3,wsdld_20000_24000.csv,WSD linear,3
eb_q75,0.03,-3.3209813386404865,0.022958280341788085,cosine_72000.csv,Cosine,3,wsdcon_3.csv,WSD-con 3e-5,3
eb_q75,0.03,-17.865973391882566,0.022958280341788085,wsd_20000_24000.csv,WSD sharp,3,wsdcon_3.csv,WSD-con 3e-5,3
eb_q75,0.03,-14.884093748757786,0.022958280341788085,wsdld_20000_24000.csv,WSD linear,3,wsdcon_3.csv,WSD-con 3e-5,3
eb_q75,0.03,-32.17218953795152,0.022958280341788085,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
eb_q75,0.03,-12.385870348509384,0.022958280341788085,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
eb_q75,0.03,-10.886979307837516,0.022958280341788085,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_3.csv,WSD-con 3e-5,3
eb_q75,0.02833503625923264,-2.8712665327049893,0.019964450028968978,cosine_72000.csv,Cosine,3,wsdcon_9.csv,WSD-con 9e-5,3
eb_q75,0.02833503625923264,-15.44005241312896,0.019964450028968978,wsd_20000_24000.csv,WSD sharp,3,wsdcon_9.csv,WSD-con 9e-5,3
eb_q75,0.02833503625923264,-12.873703510484637,0.019964450028968978,wsdld_20000_24000.csv,WSD linear,3,wsdcon_9.csv,WSD-con 9e-5,3
eb_q75,0.02833503625923264,-31.556875373407607,0.019964450028968978,wsdcon_3.csv,WSD-con 3e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
eb_q75,0.02833503625923264,-12.862985769637653,0.019964450028968978,wsdcon_9.csv,WSD-con 9e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
eb_q75,0.02833503625923264,-10.567131895743328,0.019964450028968978,wsdcon_18.csv,WSD-con 18e-5,3,wsdcon_9.csv,WSD-con 9e-5,3
eb_q75,0.03,-3.5800217601584436,0.024396253393942875,cosine_72000.csv,Cosine,3,wsdcon_18.csv,WSD-con 18e-5,3
eb_q75,0.03,-19.660543589159047,0.024396253393942875,wsd_20000_24000.csv,WSD sharp,3,wsdcon_18.csv,WSD-con 18e-5,3
