A,B,K,L0,alpha,heldout_curve,model,objective,scale
0.5013739694704982,363.7874746029305,0.0,3.0625556366128364,0.5284598751469928,cosine_72000.csv,fixed_shape_mpl,0.00020031811756917556,25
0.5152417044990906,363.78759940581233,0.014457833117910594,3.0492990197341134,0.5140154114404346,cosine_72000.csv,joint_lag,0.0001195954952186837,25
0.49754711840924243,380.9354035717679,0.0,3.06259326973534,0.5306771404899144,wsd_20000_24000.csv,fixed_shape_mpl,0.00039701856956564396,25
0.5071512475080737,385.97202779018056,0.03202991048538147,3.051796457737867,0.5217343625597306,wsd_20000_24000.csv,joint_lag,0.00024762166864291665,25
0.5050985417118822,363.7875265903502,0.0,3.06012760075002,0.5228697394578543,wsdld_20000_24000.csv,fixed_shape_mpl,0.0004408268489666947,25
0.5062815094294909,386.2647856745993,0.029646023628552284,3.052588038045343,0.5225329373459981,wsdld_20000_24000.csv,joint_lag,0.0002549608005223312,25
0.5038355914230986,363.78751106746876,0.0,3.0611549482309566,0.525090086046809,wsdcon_3.csv,fixed_shape_mpl,0.0004050763534649561,25
0.49963740982022664,386.6496223676913,0.017518094173385186,3.0585383692891526,0.5306781902530026,wsdcon_3.csv,joint_lag,0.0002711918813321576,25
0.5051907953826379,363.78750125825945,0.0,3.0600464171267165,0.5231799220811258,wsdcon_9.csv,fixed_shape_mpl,0.00042437313154832597,25
0.5062107440607907,380.13580627409027,0.020796719261269924,3.054357366345857,0.523171502754779,wsdcon_9.csv,joint_lag,0.00030396227058444186,25
0.49931162280436237,373.7148138039757,0.0,3.0626998660895906,0.5298340395016654,wsdcon_18.csv,fixed_shape_mpl,0.00044667850963942777,25
0.504364230881732,382.8631738396555,0.022789807031743325,3.055190602352876,0.5256229958395559,wsdcon_18.csv,joint_lag,0.0003107404959241214,25
0.584456072518908,437.94646821146756,0.0,2.668237918121079,0.46553174458577024,cosine_72000.csv,fixed_shape_mpl,0.00048304614175034757,100
0.6071182355900477,468.3595069488937,0.037782839775883696,2.638020486056807,0.446729639603253,cosine_72000.csv,joint_lag,0.00015064116372829294,100
0.569919642976067,437.94642911017877,0.0,2.682399295301046,0.4774428056574765,wsd_20000_24000.csv,fixed_shape_mpl,0.0007155432182744371,100
0.5757677189792191,466.4505220392819,0.049790357761850784,2.668454469933095,0.4735058341882493,wsd_20000_24000.csv,joint_lag,0.00029818653548398206,100
0.5578684661527025,459.953403112964,0.0,2.6878487047153663,0.48775229209498483,wsdld_20000_24000.csv,fixed_shape_mpl,0.0006763047737882919,100
0.5745989571592063,466.75773196671213,0.04718473384935304,2.6695308094712757,0.47442834165593023,wsdld_20000_24000.csv,joint_lag,0.0003095472232282826,100
0.5689290718327038,437.94639831353305,0.0,2.683284198022843,0.47877982129674146,wsdcon_3.csv,fixed_shape_mpl,0.0006500262948171264,100
0.5666085950977867,466.21761751560865,0.03168235147186785,2.6772983264512686,0.48235642871373263,wsdcon_3.csv,joint_lag,0.00031146356052319236,100
0.5708591061001828,437.94638781952335,0.0,2.6815944324506047,0.47647570217158147,wsdcon_9.csv,fixed_shape_mpl,0.0006511638047685057,100
0.5790702705950013,457.4592258527074,0.04001788087865807,2.6679944599455996,0.47050015878108514,wsdcon_9.csv,joint_lag,0.00031872079730277544,100
0.5635680002849353,449.07689533711545,0.0,2.6853809983256056,0.48318476624226175,wsdcon_18.csv,fixed_shape_mpl,0.0007556857674247898,100
0.5735753003007981,463.5986047553632,0.04173712737057737,2.6713916446843133,0.47608732521505803,wsdcon_18.csv,joint_lag,0.00037769031476185056,100
0.65094879887844,511.21903423423737,0.0,2.379252382671868,0.4286336091801723,cosine_72000.csv,fixed_shape_mpl,0.0008283804776401842,400
0.6846419849842413,540.0978508031158,0.05223198774198087,2.338417990499494,0.40496802951084954,cosine_72000.csv,joint_lag,0.00029098623116070844,400
0.6188454496597223,527.2052512902972,0.0,2.4048257703749254,0.4510496844572405,wsd_20000_24000.csv,fixed_shape_mpl,0.0011573770515538265,400
0.650942794551559,537.4071655886361,0.07072076471931828,2.3705833345551115,0.4283892255598236,wsd_20000_24000.csv,joint_lag,0.0005467027766166536,400
0.6197652555651562,525.6905643083898,0.0,2.4043515983685455,0.45028266553465834,wsdld_20000_24000.csv,fixed_shape_mpl,0.0012105186025902946,400
0.649888871729965,537.5710547978779,0.06843548759501056,2.371597405201902,0.4290974410183319,wsdld_20000_24000.csv,joint_lag,0.000569694738494077,400
0.6145905025801021,527.7891738955192,0.0,2.4085228376379773,0.45548243662245,wsdcon_3.csv,fixed_shape_mpl,0.0010827749495776905,400
0.6337357688780404,541.4429851984039,0.047270172738648135,2.386134975673514,0.44160099235194616,wsdcon_3.csv,joint_lag,0.0005133441442957741,400
0.6378205264730207,499.9997647500105,0.0,2.3941590774027537,0.43619605842467457,wsdcon_9.csv,fixed_shape_mpl,0.0011594822480442025,400
0.6503811986540834,528.9629492497155,0.05235943786952085,2.3737492433103564,0.4283262688317182,wsdcon_9.csv,joint_lag,0.0005490357224008294,400
0.6262834391813646,515.1900371171728,0.0,2.4009628792768654,0.4453477586923014,wsdcon_18.csv,fixed_shape_mpl,0.0013090550617842092,400
0.6465598315053768,536.8217732556983,0.06138794946311357,2.375085669583341,0.4318910513926716,wsdcon_18.csv,joint_lag,0.0006346868893886075,400
