delta_pct,fixed_shape_mpl_mae,fixed_shape_mpl_objective,heldout_curve,heldout_label,joint_lag_mae,joint_lag_objective,nonharm,scale,target_tau,train_curves,win
9.327815927693916,0.0033947317262579316,0.00020031811756917556,cosine_72000.csv,Cosine,0.0037113860529222977,0.0001195954952186837,0,25,8192.0,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,0
4.28805380085473,0.003037790298187669,0.00039701856956564396,wsd_20000_24000.csv,WSD sharp,0.0031680523805311016,0.00024762166864291665,0,25,4998.75,cosine_72000+wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,0
43.55346837652696,0.0020756556663610237,0.0004408268489666947,wsdld_20000_24000.csv,WSD linear,0.002979675700615162,0.0002549608005223312,0,25,4998.75,cosine_72000+wsd_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,0
-6.416628002333413,0.004033860328404333,0.0004050763534649561,wsdcon_3.csv,WSD-con 3e-5,0.0037750225169969217,0.0002711918813321576,1,25,1535.9999999999993,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_9+wsdcon_18,1
-38.616494548194346,0.0034150993928717503,0.00042437313154832597,wsdcon_9.csv,WSD-con 9e-5,0.002096307722008013,0.00030396227058444186,1,25,733.1839999999999,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_18,1
-5.401610001850599,0.0018085148813830393,0.00044667850963942777,wsdcon_18.csv,WSD-con 18e-5,0.0017108259606652965,0.0003107404959241214,1,25,512.0,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9,1
69.38451020557224,0.0038670602744020196,0.00048304614175034757,cosine_72000.csv,Cosine,0.006550201105150119,0.00015064116372829294,0,100,8192.0,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,0
7.699496850307264,0.0028195638877006263,0.0007155432182744371,wsd_20000_24000.csv,WSD sharp,0.003036656120426537,0.00029818653548398206,0,100,4998.75,cosine_72000+wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,0
-18.470806294751483,0.0033950014070649953,0.0006763047737882919,wsdld_20000_24000.csv,WSD linear,0.0027679172734619327,0.0003095472232282826,1,100,4998.75,cosine_72000+wsd_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,1
-29.779785328925524,0.00579142424002764,0.0006500262948171264,wsdcon_3.csv,WSD-con 3e-5,0.004066750533860053,0.00031146356052319236,1,100,1535.9999999999993,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_9+wsdcon_18,1
-38.262128151172384,0.005728357673638833,0.0006511638047685057,wsdcon_9.csv,WSD-con 9e-5,0.0035365661195936255,0.00031872079730277544,1,100,733.1839999999999,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_18,1
-35.915976652531356,0.0019562545952656663,0.0007556857674247898,wsdcon_18.csv,WSD-con 18e-5,0.0012536466515659778,0.00037769031476185056,1,100,512.0,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9,1
38.075455808461925,0.004764879662288936,0.0008283804776401842,cosine_72000.csv,Cosine,0.00657912931243015,0.00029098623116070844,0,400,8192.0,wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,0
-36.852338611315346,0.004895576589460631,0.0011573770515538265,wsd_20000_24000.csv,WSD sharp,0.0030914421277363157,0.0005467027766166536,1,400,4998.75,cosine_72000+wsdld_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,1
-34.67157751707282,0.003969137757139793,0.0012105186025902946,wsdld_20000_24000.csv,WSD linear,0.002592975082913664,0.000569694738494077,1,400,4998.75,cosine_72000+wsd_20000_24000+wsdcon_3+wsdcon_9+wsdcon_18,1
-32.07676552800306,0.00942530528162695,0.0010827749495776905,wsdcon_3.csv,WSD-con 3e-5,0.006401972206140984,0.0005133441442957741,1,400,1535.9999999999993,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_9+wsdcon_18,1
-42.79474500310131,0.007971123722166113,0.0011594822480442025,wsdcon_9.csv,WSD-con 9e-5,0.004559901651383407,0.0005490357224008294,1,400,733.1839999999999,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_18,1
-35.367369006769245,0.002926454968857109,0.0013090550617842092,wsdcon_18.csv,WSD-con 18e-5,0.0018914448412044812,0.0006346868893886075,1,400,512.0,cosine_72000+wsd_20000_24000+wsdld_20000_24000+wsdcon_3+wsdcon_9,1
